18679   , -2892.83    , array([ 0.519798   ,  0.0605794  ,  5.29747e-24,  0.0792778  ])
18680   , -2892.83    , array([ 0.520318   ,  0.0605794  ,  5.29747e-24,  0.0792778  ])
18681   , -2892.35    , array([ 0.519798   ,  0.06064    ,  5.29747e-24,  0.0792778  ])
18682   , -2892.83    , array([ 0.519798   ,  0.0605794  ,  5.30277e-24,  0.0792778  ])
18683   , -2890.63    , array([ 0.519798   ,  0.0605794  ,  5.29747e-24,  0.0793571  ])
18684   , -2892.83    , array([ 0.519798   ,  0.0605794  ,  5.29747e-24,  0.0792778  ])
18685   , -395.111    , array([ 0.519798   ,  0.074956   ,  5.29747e-24,  0.212779   ])
18686   , -395.111    , array([ 0.519798   ,  0.074956   ,  5.29747e-24,  0.212779   ])
18687   , -395.111    , array([ 0.520318   ,  0.074956   ,  5.29747e-24,  0.212779   ])
18688   , -395.241    , array([ 0.519798   ,  0.075031   ,  5.29747e-24,  0.212779   ])
18689   , -395.111    , array([ 0.519798   ,  0.074956   ,  5.30277e-24,  0.212779   ])
18690   , -394.912    , array([ 0.519798   ,  0.074956   ,  5.29747e-24,  0.212992   ])
18697   , -395.069    , array([ 0.519798   ,  0.0749393  ,  5.29747e-24,  0.212793   ])
18698   , -395.069    , array([ 0.519798   ,  0.0749393  ,  5.29747e-24,  0.212793   ])
18699   , -395.069    , array([ 0.520318   ,  0.0749393  ,  5.29747e-24,  0.212793   ])
18700   , -395.198    , array([ 0.519798   ,  0.0750142  ,  5.29747e-24,  0.212793   ])
18701   , -395.069    , array([ 0.519798   ,  0.0749393  ,  5.30277e-24,  0.212793   ])
18702   , -394.872    , array([ 0.519798   ,  0.0749393  ,  5.29747e-24,  0.213006   ])
18703   , -393.425    , array([ 0.519798   ,  0.0736033  ,  5.29747e-24,  0.213956   ])
18704   , -393.425    , array([ 0.519798   ,  0.0736033  ,  5.29747e-24,  0.213956   ])
18705   , -393.425    , array([ 0.520318   ,  0.0736033  ,  5.29747e-24,  0.213956   ])
18706   , -393.423    , array([ 0.519798   ,  0.0736769  ,  5.29747e-24,  0.213956   ])
18707   , -393.425    , array([ 0.519798   ,  0.0736033  ,  5.30277e-24,  0.213956   ])
18708   , -393.44     , array([ 0.519798   ,  0.0736033  ,  5.29747e-24,  0.21417    ])
18709   , -393.418    , array([ 0.519798   ,  0.0733034  ,  5.29747e-24,  0.213303   ])
18710   , -393.418    , array([ 0.519798   ,  0.0733034  ,  5.29747e-24,  0.213303   ])
18711   , -393.418    , array([ 0.520318   ,  0.0733034  ,  5.29747e-24,  0.213303   ])
18712   , -393.42     , array([ 0.519798   ,  0.0733767  ,  5.29747e-24,  0.213303   ])
18713   , -393.418    , array([ 0.519798   ,  0.0733034  ,  5.30277e-24,  0.213303   ])
18714   , -393.426    , array([ 0.519798   ,  0.0733034  ,  5.29747e-24,  0.213516   ])
18715   , -393.421    , array([ 0.519798   ,  0.0721159  ,  5.29747e-24,  0.210711   ])
18716   , -393.421    , array([ 0.519798   ,  0.0721159  ,  5.29747e-24,  0.210711   ])
18717   , -393.421    , array([ 0.520318   ,  0.0721159  ,  5.29747e-24,  0.210711   ])
18718   , -393.439    , array([ 0.519798   ,  0.0721881  ,  5.29747e-24,  0.210711   ])
18719   , -393.421    , array([ 0.519798   ,  0.0721159  ,  5.30277e-24,  0.210711   ])
18720   , -393.404    , array([ 0.519798   ,  0.0721159  ,  5.29747e-24,  0.210922   ])
18721   , -393.421    , array([ 0.519798   ,  0.0720445  ,  5.29747e-24,  0.210571   ])
18722   , -393.421    , array([ 0.519798   ,  0.0720445  ,  5.29747e-24,  0.210571   ])
18723   , -393.421    , array([ 0.520318   ,  0.0720445  ,  5.29747e-24,  0.210571   ])
18724   , -393.44     , array([ 0.519798   ,  0.0721166  ,  5.29747e-24,  0.210571   ])
18725   , -393.421    , array([ 0.519798   ,  0.0720445  ,  5.30277e-24,  0.210571   ])
18726   , -393.404    , array([ 0.519798   ,  0.0720445  ,  5.29747e-24,  0.210782   ])
18727   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
