17067   , -2336.8     , array([ 0.154923   ,  6.97412    ,  2.55818e-08,  9.34727e-79])
17068   , -2336.8     , array([ 0.155078   ,  6.97412    ,  2.55818e-08,  9.34727e-79])
17069   , -2336.8     , array([ 0.154923   ,  6.9811     ,  2.55818e-08,  9.34727e-79])
17070   , -2336.8     , array([ 0.154923   ,  6.97412    ,  2.56074e-08,  9.34727e-79])
17071   , -2336.8     , array([ 0.154923   ,  6.97412    ,  2.55818e-08,  9.35662e-79])
17072   , -2336.8     , array([ 0.154923   ,  6.97412    ,  2.55818e-08,  9.34727e-79])
17073   , -2336.8     , array([ 0.154432   ,  6.97412    ,  2.56505e-08,  9.34727e-79])
17074   , -2336.8     , array([ 0.154432   ,  6.97412    ,  2.56505e-08,  9.34727e-79])
17075   , -2336.8     , array([ 0.154587   ,  6.97412    ,  2.56505e-08,  9.34727e-79])
17076   , -2336.8     , array([ 0.154432   ,  6.9811     ,  2.56505e-08,  9.34727e-79])
17077   , -2336.8     , array([ 0.154432   ,  6.97412    ,  2.56762e-08,  9.34727e-79])
17078   , -2336.8     , array([ 0.154432   ,  6.97412    ,  2.56505e-08,  9.35662e-79])
17079   , -2336.8     , array([ 0.152486   ,  6.97412    ,  2.59272e-08,  9.34727e-79])
17080   , -2336.8     , array([ 0.152486   ,  6.97412    ,  2.59272e-08,  9.34727e-79])
17081   , -2336.8     , array([ 0.152639   ,  6.97412    ,  2.59272e-08,  9.34727e-79])
17082   , -2336.8     , array([ 0.152486   ,  6.9811     ,  2.59272e-08,  9.34727e-79])
17083   , -2336.8     , array([ 0.152486   ,  6.97412    ,  2.59532e-08,  9.34727e-79])
17084   , -2336.8     , array([ 0.152486   ,  6.97412    ,  2.59272e-08,  9.35662e-79])
17085   , -2336.8     , array([ 0.144942   ,  6.97412    ,  2.70642e-08,  9.34727e-79])
17086   , -2336.8     , array([ 0.144942   ,  6.97412    ,  2.70642e-08,  9.34727e-79])
17087   , -2336.8     , array([ 0.145087   ,  6.97412    ,  2.70642e-08,  9.34727e-79])
17088   , -2336.8     , array([ 0.144942   ,  6.9811     ,  2.70642e-08,  9.34727e-79])
17089   , -2336.8     , array([ 0.144942   ,  6.97412    ,  2.70913e-08,  9.34727e-79])
17090   , -2336.8     , array([ 0.144942   ,  6.97412    ,  2.70642e-08,  9.35662e-79])
