17715   , -2336.8     , array([ 0.026966   ,  1.79394    ,  0.59918    ,  1.59067e-27])
17716   , -2336.8     , array([ 0.026993   ,  1.79394    ,  0.59918    ,  1.59067e-27])
17717   , -2336.8     , array([ 0.026966   ,  1.79574    ,  0.59918    ,  1.59067e-27])
17718   , -2336.8     , array([ 0.026966   ,  1.79394    ,  0.599779   ,  1.59067e-27])
17719   , -2336.8     , array([ 0.026966   ,  1.79394    ,  0.59918    ,  1.59227e-27])
17720   , -2336.8     , array([ 0.026966   ,  1.79394    ,  0.59918    ,  1.59067e-27])
17721   , -2336.8     , array([ 0.0270066  ,  1.79394    ,  0.598256   ,  1.59067e-27])
17722   , -2336.8     , array([ 0.0270066  ,  1.79394    ,  0.598256   ,  1.59067e-27])
17723   , -2336.8     , array([ 0.0270336  ,  1.79394    ,  0.598256   ,  1.59067e-27])
17724   , -2336.8     , array([ 0.0270066  ,  1.79574    ,  0.598256   ,  1.59067e-27])
17725   , -2336.8     , array([ 0.0270066  ,  1.79394    ,  0.598855   ,  1.59067e-27])
17726   , -2336.8     , array([ 0.0270066  ,  1.79394    ,  0.598256   ,  1.59227e-27])
17727   , -2336.8     , array([ 0.0271694  ,  1.79394    ,  0.594575   ,  1.59067e-27])
17728   , -2336.8     , array([ 0.0271694  ,  1.79394    ,  0.594575   ,  1.59067e-27])
17729   , -2336.8     , array([ 0.0271966  ,  1.79394    ,  0.594575   ,  1.59067e-27])
17730   , -2336.8     , array([ 0.0271694  ,  1.79574    ,  0.594575   ,  1.59067e-27])
17731   , -2336.8     , array([ 0.0271694  ,  1.79394    ,  0.59517    ,  1.59067e-27])
17732   , -2336.8     , array([ 0.0271694  ,  1.79394    ,  0.594575   ,  1.59227e-27])
17733   , -2336.8     , array([ 0.0278306  ,  1.79394    ,  0.580076   ,  1.59067e-27])
17734   , -2336.8     , array([ 0.0278306  ,  1.79394    ,  0.580076   ,  1.59067e-27])
17735   , -2336.8     , array([ 0.0278584  ,  1.79394    ,  0.580076   ,  1.59067e-27])
17736   , -2336.8     , array([ 0.0278306  ,  1.79574    ,  0.580076   ,  1.59067e-27])
17737   , -2336.8     , array([ 0.0278306  ,  1.79394    ,  0.580656   ,  1.59067e-27])
17738   , -2336.8     , array([ 0.0278306  ,  1.79394    ,  0.580076   ,  1.59227e-27])
17739   , -2336.79    , array([ 0.0306401  ,  1.79394    ,  0.525529   ,  1.59067e-27])
