225     , -2336.8     , array([ 0.0546609  ,  0.0163002  ,  1.4515e-46 ,  4.001e-10  ])
226     , -2336.8     , array([ 0.0547155  ,  0.0163002  ,  1.4515e-46 ,  4.001e-10  ])
227     , -2336.8     , array([ 0.0546609  ,  0.0163165  ,  1.4515e-46 ,  4.001e-10  ])
228     , -2336.8     , array([ 0.0546609  ,  0.0163002  ,  1.45296e-46,  4.001e-10  ])
229     , -2336.8     , array([ 0.0546609  ,  0.0163002  ,  1.4515e-46 ,  4.005e-10  ])
230     , -2336.8     , array([ 0.0546609  ,  0.0163002  ,  1.4515e-46 ,  4.001e-10  ])
231     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.4515e-46 ,  4.00286e-10])
232     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.4515e-46 ,  4.00286e-10])
233     , -2336.8     , array([ 0.0547155  ,  0.0162925  ,  1.4515e-46 ,  4.00286e-10])
234     , -2336.8     , array([ 0.0546609  ,  0.0163088  ,  1.4515e-46 ,  4.00286e-10])
235     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.45296e-46,  4.00286e-10])
236     , -2336.8     , array([ 0.0546609  ,  0.0162925  ,  1.4515e-46 ,  4.00686e-10])
237     , -2336.8     , array([ 0.0546609  ,  0.0162618  ,  1.4515e-46 ,  4.0103e-10 ])
238     , -2336.8     , array([ 0.0546609  ,  0.0162618  ,  1.4515e-46 ,  4.0103e-10 ])
239     , -2336.8     , array([ 0.0547155  ,  0.0162618  ,  1.4515e-46 ,  4.0103e-10 ])
240     , -2336.8     , array([ 0.0546609  ,  0.0162781  ,  1.4515e-46 ,  4.0103e-10 ])
241     , -2336.8     , array([ 0.0546609  ,  0.0162618  ,  1.45296e-46,  4.0103e-10 ])
242     , -2336.8     , array([ 0.0546609  ,  0.0162618  ,  1.4515e-46 ,  4.01431e-10])
243     , -2336.8     , array([ 0.0546609  ,  0.0161396  ,  1.4515e-46 ,  4.04019e-10])
244     , -2336.8     , array([ 0.0546609  ,  0.0161396  ,  1.4515e-46 ,  4.04019e-10])
245     , -2336.8     , array([ 0.0547155  ,  0.0161396  ,  1.4515e-46 ,  4.04019e-10])
246     , -2336.8     , array([ 0.0546609  ,  0.0161558  ,  1.4515e-46 ,  4.04019e-10])
247     , -2336.8     , array([ 0.0546609  ,  0.0161396  ,  1.45296e-46,  4.04019e-10])
248     , -2336.8     , array([ 0.0546609  ,  0.0161396  ,  1.4515e-46 ,  4.04423e-10])
249     , -2336.8     , array([ 0.0546609  ,  0.0156601  ,  1.4515e-46 ,  4.16201e-10])
250     , -2336.8     , array([ 0.0546609  ,  0.0156601  ,  1.4515e-46 ,  4.16201e-10])
251     , -2336.8     , array([ 0.0547155  ,  0.0156601  ,  1.4515e-46 ,  4.16201e-10])
252     , -2336.8     , array([ 0.0546609  ,  0.0156757  ,  1.4515e-46 ,  4.16201e-10])
253     , -2336.8     , array([ 0.0546609  ,  0.0156601  ,  1.45296e-46,  4.16201e-10])
254     , -2336.8     , array([ 0.0546609  ,  0.0156601  ,  1.4515e-46 ,  4.16617e-10])
255     , -2336.8     , array([ 0.0546609  ,  0.01388    ,  1.4515e-46 ,  4.68713e-10])
256     , -2336.8     , array([ 0.0546609  ,  0.01388    ,  1.4515e-46 ,  4.68713e-10])
257     , -2336.8     , array([ 0.0547155  ,  0.01388    ,  1.4515e-46 ,  4.68713e-10])
258     , -2336.8     , array([ 0.0546609  ,  0.0138939  ,  1.4515e-46 ,  4.68713e-10])
259     , -2336.8     , array([ 0.0546609  ,  0.01388    ,  1.45296e-46,  4.68713e-10])
260     , -2336.8     , array([ 0.0546609  ,  0.01388    ,  1.4515e-46 ,  4.69182e-10])
261     , -2336.8     , array([ 0.0546609  ,  0.00856601 ,  1.4515e-46 ,  7.53919e-10])
262     , -2336.8     , array([ 0.0546609  ,  0.00856601 ,  1.4515e-46 ,  7.53919e-10])
263     , -2336.8     , array([ 0.0547155  ,  0.00856601 ,  1.4515e-46 ,  7.53919e-10])
264     , -2336.8     , array([ 0.0546609  ,  0.00857459 ,  1.4515e-46 ,  7.53919e-10])
265     , -2336.8     , array([ 0.0546609  ,  0.00856601 ,  1.45296e-46,  7.53919e-10])
266     , -2336.8     , array([ 0.0546609  ,  0.00856601 ,  1.4515e-46 ,  7.54674e-10])
267     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
268     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
269     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
270     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
271     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
272     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
279     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
280     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
281     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
282     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
283     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
284     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
285     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
286     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
287     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
288     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
289     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
290     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
297     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
298     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
299     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
300     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
301     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
302     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
303     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
304     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
305     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
306     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
307     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
308     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
315     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
316     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
317     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
318     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
319     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
320     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
321     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
322     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
323     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
324     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
325     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
326     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
333     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
334     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
335     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
336     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
337     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
338     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
339     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
340     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
341     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
342     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
343     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
344     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
351     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
352     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
353     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
354     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
355     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
356     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
357     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
358     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
