3946    , -2336.81    , array([ 1.30181    ,  0.0202206  ,  2.13905e-07,  3.42491e-28])
3947    , -2336.81    , array([ 1.30312    ,  0.0202206  ,  2.13905e-07,  3.42491e-28])
3948    , -2336.81    , array([ 1.30181    ,  0.0202408  ,  2.13905e-07,  3.42491e-28])
3949    , -2336.81    , array([ 1.30181    ,  0.0202206  ,  2.14119e-07,  3.42491e-28])
3950    , -2336.81    , array([ 1.30181    ,  0.0202206  ,  2.13905e-07,  3.42834e-28])
3951    , -2336.81    , array([ 1.30181    ,  0.0202206  ,  2.13905e-07,  3.42491e-28])
3952    , -2336.81    , array([ 1.29771    ,  0.0202206  ,  2.13701e-07,  3.42491e-28])
3953    , -2336.81    , array([ 1.29771    ,  0.0202206  ,  2.13701e-07,  3.42491e-28])
3954    , -2336.81    , array([ 1.29901    ,  0.0202206  ,  2.13701e-07,  3.42491e-28])
3955    , -2336.81    , array([ 1.29771    ,  0.0202408  ,  2.13701e-07,  3.42491e-28])
3956    , -2336.81    , array([ 1.29771    ,  0.0202206  ,  2.13915e-07,  3.42491e-28])
3957    , -2336.81    , array([ 1.29771    ,  0.0202206  ,  2.13701e-07,  3.42834e-28])
3958    , -2336.81    , array([ 1.28144    ,  0.0202206  ,  2.12888e-07,  3.42491e-28])
3959    , -2336.81    , array([ 1.28144    ,  0.0202206  ,  2.12888e-07,  3.42491e-28])
3960    , -2336.81    , array([ 1.28272    ,  0.0202206  ,  2.12888e-07,  3.42491e-28])
3961    , -2336.81    , array([ 1.28144    ,  0.0202408  ,  2.12888e-07,  3.42491e-28])
3962    , -2336.81    , array([ 1.28144    ,  0.0202206  ,  2.13101e-07,  3.42491e-28])
3963    , -2336.81    , array([ 1.28144    ,  0.0202206  ,  2.12888e-07,  3.42834e-28])
3964    , -2336.81    , array([ 1.21835    ,  0.0202206  ,  2.09666e-07,  3.42491e-28])
3965    , -2336.81    , array([ 1.21835    ,  0.0202206  ,  2.09666e-07,  3.42491e-28])
3966    , -2336.81    , array([ 1.21957    ,  0.0202206  ,  2.09666e-07,  3.42491e-28])
3967    , -2336.81    , array([ 1.21835    ,  0.0202408  ,  2.09666e-07,  3.42491e-28])
3968    , -2336.81    , array([ 1.21835    ,  0.0202206  ,  2.09875e-07,  3.42491e-28])
3969    , -2336.81    , array([ 1.21835    ,  0.0202206  ,  2.09666e-07,  3.42834e-28])
3970    , -2336.8     , array([ 0.995561   ,  0.0202206  ,  1.97256e-07,  3.42491e-28])
3971    , -2336.8     , array([ 0.995561   ,  0.0202206  ,  1.97256e-07,  3.42491e-28])
3972    , -2336.8     , array([ 0.996557   ,  0.0202206  ,  1.97256e-07,  3.42491e-28])
3973    , -2336.8     , array([ 0.995561   ,  0.0202408  ,  1.97256e-07,  3.42491e-28])
3974    , -2336.8     , array([ 0.995561   ,  0.0202206  ,  1.97454e-07,  3.42491e-28])
3975    , -2336.8     , array([ 0.995561   ,  0.0202206  ,  1.97256e-07,  3.42834e-28])
3976    , -2336.8     , array([ 0.443869   ,  0.0202206  ,  1.54542e-07,  3.42491e-28])
3977    , -2336.8     , array([ 0.443869   ,  0.0202206  ,  1.54542e-07,  3.42491e-28])
3978    , -2336.8     , array([ 0.444313   ,  0.0202206  ,  1.54542e-07,  3.42491e-28])
3979    , -2336.8     , array([ 0.443869   ,  0.0202408  ,  1.54542e-07,  3.42491e-28])
3980    , -2336.8     , array([ 0.443869   ,  0.0202206  ,  1.54697e-07,  3.42491e-28])
3981    , -2336.8     , array([ 0.443869   ,  0.0202206  ,  1.54542e-07,  3.42834e-28])
3982    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
3983    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
3984    , -2336.74    , array([ 0.0175564  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
3985    , -2336.74    , array([ 0.0175388  ,  0.0202408  ,  5.8225e-08 ,  3.42491e-28])
3986    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.82833e-08,  3.42491e-28])
3987    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42834e-28])
3994    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
3995    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
3996    , -2336.74    , array([ 0.0175564  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
3997    , -2336.74    , array([ 0.0175388  ,  0.0202408  ,  5.8225e-08 ,  3.42491e-28])
3998    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.82833e-08,  3.42491e-28])
3999    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42834e-28])
4000    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
4001    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
4002    , -2336.74    , array([ 0.0175564  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
4003    , -2336.74    , array([ 0.0175388  ,  0.0202408  ,  5.8225e-08 ,  3.42491e-28])
4004    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.82833e-08,  3.42491e-28])
4005    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42834e-28])
4012    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
4013    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
4014    , -2336.74    , array([ 0.0175564  ,  0.0202206  ,  5.8225e-08 ,  3.42491e-28])
4015    , -2336.74    , array([ 0.0175388  ,  0.0202408  ,  5.8225e-08 ,  3.42491e-28])
4016    , -2336.74    , array([ 0.0175388  ,  0.0202206  ,  5.82833e-08,  3.42491e-28])
