2644    , -2336.8     , array([ 0.139696   ,  0.0518803  ,  5.87513e-09,  2.25346e-53])
2645    , -2336.8     , array([ 0.139836   ,  0.0518803  ,  5.87513e-09,  2.25346e-53])
2646    , -2336.8     , array([ 0.139696   ,  0.0519322  ,  5.87513e-09,  2.25346e-53])
2647    , -2336.8     , array([ 0.139696   ,  0.0518803  ,  5.88101e-09,  2.25346e-53])
2648    , -2336.8     , array([ 0.139696   ,  0.0518803  ,  5.87513e-09,  2.25572e-53])
2649    , -2336.8     , array([ 0.139696   ,  0.0518803  ,  5.87513e-09,  2.25346e-53])
2650    , -2336.8     , array([ 0.139584   ,  0.0518803  ,  5.87922e-09,  2.25346e-53])
2651    , -2336.8     , array([ 0.139584   ,  0.0518803  ,  5.87922e-09,  2.25346e-53])
2652    , -2336.8     , array([ 0.139723   ,  0.0518803  ,  5.87922e-09,  2.25346e-53])
2653    , -2336.8     , array([ 0.139584   ,  0.0519322  ,  5.87922e-09,  2.25346e-53])
2654    , -2336.8     , array([ 0.139584   ,  0.0518803  ,  5.8851e-09 ,  2.25346e-53])
2655    , -2336.8     , array([ 0.139584   ,  0.0518803  ,  5.87922e-09,  2.25572e-53])
2656    , -2336.8     , array([ 0.139134   ,  0.0518803  ,  5.89559e-09,  2.25346e-53])
2657    , -2336.8     , array([ 0.139134   ,  0.0518803  ,  5.89559e-09,  2.25346e-53])
2658    , -2336.8     , array([ 0.139273   ,  0.0518803  ,  5.89559e-09,  2.25346e-53])
2659    , -2336.8     , array([ 0.139134   ,  0.0519322  ,  5.89559e-09,  2.25346e-53])
2660    , -2336.8     , array([ 0.139134   ,  0.0518803  ,  5.90149e-09,  2.25346e-53])
2661    , -2336.8     , array([ 0.139134   ,  0.0518803  ,  5.89559e-09,  2.25572e-53])
2662    , -2336.8     , array([ 0.137347   ,  0.0518803  ,  5.96157e-09,  2.25346e-53])
2663    , -2336.8     , array([ 0.137347   ,  0.0518803  ,  5.96157e-09,  2.25346e-53])
2664    , -2336.8     , array([ 0.137485   ,  0.0518803  ,  5.96157e-09,  2.25346e-53])
2665    , -2336.8     , array([ 0.137347   ,  0.0519322  ,  5.96157e-09,  2.25346e-53])
2666    , -2336.8     , array([ 0.137347   ,  0.0518803  ,  5.96753e-09,  2.25346e-53])
