4942    , -2329.07    , array([ 0.0718439  ,  0.105313   ,  2.06201e-18,  4.76686e-05])
4943    , -2329.07    , array([ 0.0719158  ,  0.105313   ,  2.06201e-18,  4.76686e-05])
4944    , -2329.08    , array([ 0.0718439  ,  0.105419   ,  2.06201e-18,  4.76686e-05])
4945    , -2329.07    , array([ 0.0718439  ,  0.105313   ,  2.06407e-18,  4.76686e-05])
4946    , -2329.06    , array([ 0.0718439  ,  0.105313   ,  2.06201e-18,  4.77163e-05])
4947    , -2329.07    , array([ 0.0718439  ,  0.105313   ,  2.06201e-18,  4.76686e-05])
4948    , -2303.33    , array([ 0.0718439  ,  0.0496288  ,  2.06201e-18,  9.35129e-05])
4949    , -2303.33    , array([ 0.0718439  ,  0.0496288  ,  2.06201e-18,  9.35129e-05])
4950    , -2303.33    , array([ 0.0719158  ,  0.0496288  ,  2.06201e-18,  9.35129e-05])
4951    , -2303.36    , array([ 0.0718439  ,  0.0496784  ,  2.06201e-18,  9.35129e-05])
4952    , -2303.33    , array([ 0.0718439  ,  0.0496288  ,  2.06407e-18,  9.35129e-05])
4953    , -2303.29    , array([ 0.0718439  ,  0.0496288  ,  2.06201e-18,  9.36064e-05])
4954    , -4745.8     , array([ 0.0718439  ,  0.00244758 ,  2.06201e-18,  0.00138493 ])
4955    , -4745.8     , array([ 0.0718439  ,  0.00244758 ,  2.06201e-18,  0.00138493 ])
4956    , -4745.8     , array([ 0.0719158  ,  0.00244758 ,  2.06201e-18,  0.00138493 ])
4957    , -4741.99    , array([ 0.0718439  ,  0.00245003 ,  2.06201e-18,  0.00138493 ])
4958    , -4745.8     , array([ 0.0718439  ,  0.00244758 ,  2.06407e-18,  0.00138493 ])
4959    , -4749.51    , array([ 0.0718439  ,  0.00244758 ,  2.06201e-18,  0.00138632 ])
4960    , -2166.75    , array([ 0.0718439  ,  0.0200398  ,  2.06201e-18,  0.000210667])
4961    , -2166.75    , array([ 0.0718439  ,  0.0200398  ,  2.06201e-18,  0.000210667])
4962    , -2166.75    , array([ 0.0719158  ,  0.0200398  ,  2.06201e-18,  0.000210667])
4963    , -2166.9     , array([ 0.0718439  ,  0.0200599  ,  2.06201e-18,  0.000210667])
4964    , -2166.75    , array([ 0.0718439  ,  0.0200398  ,  2.06407e-18,  0.000210667])
4965    , -2166.61    , array([ 0.0718439  ,  0.0200398  ,  2.06201e-18,  0.000210878])
4966    , -1796.04    , array([ 0.0718439  ,  0.00726713 ,  2.06201e-18,  0.000522565])
4967    , -1796.04    , array([ 0.0718439  ,  0.00726713 ,  2.06201e-18,  0.000522565])
