1339    , -2202.01    , array([ 0.0175624  ,  0.441747   ,  0.000141059,  7.01303e-12])
1340    , -2202.13    , array([ 0.01758    ,  0.441747   ,  0.000141059,  7.01303e-12])
1341    , -2202.01    , array([ 0.0175624  ,  0.442189   ,  0.000141059,  7.01303e-12])
1342    , -2201.89    , array([ 0.0175624  ,  0.441747   ,  0.0001412  ,  7.01303e-12])
1343    , -2202.01    , array([ 0.0175624  ,  0.441747   ,  0.000141059,  7.02004e-12])
1344    , -2202.01    , array([ 0.0175624  ,  0.441747   ,  0.000141059,  7.01303e-12])
1345    , -1933.19    , array([ 0.00854822 ,  0.441747   ,  0.000286418,  7.01303e-12])
1346    , -1933.19    , array([ 0.00854822 ,  0.441747   ,  0.000286418,  7.01303e-12])
1347    , -1933.43    , array([ 0.00855677 ,  0.441747   ,  0.000286418,  7.01303e-12])
1348    , -1933.19    , array([ 0.00854822 ,  0.442189   ,  0.000286418,  7.01303e-12])
1349    , -1932.96    , array([ 0.00854822 ,  0.441747   ,  0.000286704,  7.01303e-12])
1350    , -1933.19    , array([ 0.00854822 ,  0.441747   ,  0.000286418,  7.02004e-12])
1357    , -1933.19    , array([ 0.00854816 ,  0.441747   ,  0.000286419,  7.01303e-12])
1358    , -1933.19    , array([ 0.00854816 ,  0.441747   ,  0.000286419,  7.01303e-12])
1359    , -1933.42    , array([ 0.00855671 ,  0.441747   ,  0.000286419,  7.01303e-12])
1360    , -1933.19    , array([ 0.00854816 ,  0.442189   ,  0.000286419,  7.01303e-12])
1361    , -1932.96    , array([ 0.00854816 ,  0.441747   ,  0.000286706,  7.01303e-12])
1362    , -1933.19    , array([ 0.00854816 ,  0.441747   ,  0.000286419,  7.02004e-12])
1363    , -8215.13    , array([ 0.0012774  ,  0.441747   ,  0.00185806 ,  7.01303e-12])
1364    , -8215.13    , array([ 0.0012774  ,  0.441747   ,  0.00185806 ,  7.01303e-12])
1365    , -8212.68    , array([ 0.00127867 ,  0.441747   ,  0.00185806 ,  7.01303e-12])
1366    , -8215.13    , array([ 0.0012774  ,  0.442189   ,  0.00185806 ,  7.01303e-12])
1367    , -8217.34    , array([ 0.0012774  ,  0.441747   ,  0.00185992 ,  7.01303e-12])
1368    , -8215.13    , array([ 0.0012774  ,  0.441747   ,  0.00185806 ,  7.02004e-12])
1369    , -1900.05    , array([ 0.00795063 ,  0.441747   ,  0.000307581,  7.01303e-12])
1370    , -1900.05    , array([ 0.00795063 ,  0.441747   ,  0.000307581,  7.01303e-12])
1371    , -1900.28    , array([ 0.00795858 ,  0.441747   ,  0.000307581,  7.01303e-12])
1372    , -1900.05    , array([ 0.00795063 ,  0.442189   ,  0.000307581,  7.01303e-12])
1373    , -1899.83    , array([ 0.00795063 ,  0.441747   ,  0.000307889,  7.01303e-12])
1374    , -1900.05    , array([ 0.00795063 ,  0.441747   ,  0.000307581,  7.02004e-12])
1375    , -1803.47    , array([ 0.00505329 ,  0.441747   ,  0.000480364,  7.01303e-12])
1376    , -1803.47    , array([ 0.00505329 ,  0.441747   ,  0.000480364,  7.01303e-12])
1377    , -1803.35    , array([ 0.00505835 ,  0.441747   ,  0.000480364,  7.01303e-12])
1378    , -1803.47    , array([ 0.00505329 ,  0.442189   ,  0.000480364,  7.01303e-12])
1379    , -1803.59    , array([ 0.00505329 ,  0.441747   ,  0.000480844,  7.01303e-12])
1380    , -1803.47    , array([ 0.00505329 ,  0.441747   ,  0.000480364,  7.02004e-12])
1381    , -1799.62    , array([ 0.00592522 ,  0.441747   ,  0.000410743,  7.01303e-12])
1382    , -1799.62    , array([ 0.00592522 ,  0.441747   ,  0.000410743,  7.01303e-12])
1383    , -1799.7     , array([ 0.00593115 ,  0.441747   ,  0.000410743,  7.01303e-12])
1384    , -1799.62    , array([ 0.00592522 ,  0.442189   ,  0.000410743,  7.01303e-12])
1385    , -1799.54    , array([ 0.00592522 ,  0.441747   ,  0.000411154,  7.01303e-12])
