7294    , -2339.68    , array([ 5.76316    ,  0.468422   ,  0.000180398,  7.79311e-58])
7295    , -2339.68    , array([ 5.76892    ,  0.468422   ,  0.000180398,  7.79311e-58])
7296    , -2339.68    , array([ 5.76316    ,  0.46889    ,  0.000180398,  7.79311e-58])
7297    , -2339.68    , array([ 5.76316    ,  0.468422   ,  0.000180578,  7.79311e-58])
7298    , -2339.68    , array([ 5.76316    ,  0.468422   ,  0.000180398,  7.80091e-58])
7299    , -2339.68    , array([ 5.76316    ,  0.468422   ,  0.000180398,  7.79311e-58])
7300    , -2337.82    , array([ 4.68417    ,  0.468422   ,  6.71323e-05,  7.79311e-58])
7301    , -2337.82    , array([ 4.68417    ,  0.468422   ,  6.71323e-05,  7.79311e-58])
7302    , -2337.82    , array([ 4.68886    ,  0.468422   ,  6.71323e-05,  7.79311e-58])
7303    , -2337.82    , array([ 4.68417    ,  0.46889    ,  6.71323e-05,  7.79311e-58])
7304    , -2337.82    , array([ 4.68417    ,  0.468422   ,  6.71994e-05,  7.79311e-58])
7305    , -2337.82    , array([ 4.68417    ,  0.468422   ,  6.71323e-05,  7.80091e-58])
7306    , -2337.36    , array([ 3.80059    ,  0.468422   ,  3.93866e-05,  7.79311e-58])
7307    , -2337.36    , array([ 3.80059    ,  0.468422   ,  3.93866e-05,  7.79311e-58])
7308    , -2337.36    , array([ 3.80439    ,  0.468422   ,  3.93866e-05,  7.79311e-58])
7309    , -2337.36    , array([ 3.80059    ,  0.46889    ,  3.93866e-05,  7.79311e-58])
7310    , -2337.36    , array([ 3.80059    ,  0.468422   ,  3.9426e-05 ,  7.79311e-58])
7311    , -2337.36    , array([ 3.80059    ,  0.468422   ,  3.93866e-05,  7.80091e-58])
7312    , -2337.04    , array([ 2.60506    ,  0.468422   ,  2.00021e-05,  7.79311e-58])
7313    , -2337.04    , array([ 2.60506    ,  0.468422   ,  2.00021e-05,  7.79311e-58])
7314    , -2337.04    , array([ 2.60766    ,  0.468422   ,  2.00021e-05,  7.79311e-58])
7315    , -2337.04    , array([ 2.60506    ,  0.46889    ,  2.00021e-05,  7.79311e-58])
7316    , -2337.04    , array([ 2.60506    ,  0.468422   ,  2.00221e-05,  7.79311e-58])
7317    , -2337.04    , array([ 2.60506    ,  0.468422   ,  2.00021e-05,  7.80091e-58])
7318    , -2336.89    , array([ 1.65072    ,  0.468422   ,  1.09825e-05,  7.79311e-58])
7319    , -2336.89    , array([ 1.65072    ,  0.468422   ,  1.09825e-05,  7.79311e-58])
7320    , -2336.89    , array([ 1.65237    ,  0.468422   ,  1.09825e-05,  7.79311e-58])
7321    , -2336.89    , array([ 1.65072    ,  0.46889    ,  1.09825e-05,  7.79311e-58])
7322    , -2336.89    , array([ 1.65072    ,  0.468422   ,  1.09935e-05,  7.79311e-58])
7323    , -2336.89    , array([ 1.65072    ,  0.468422   ,  1.09825e-05,  7.80091e-58])
7324    , -2336.79    , array([ 0.887062   ,  0.468422   ,  5.88422e-06,  7.79311e-58])
7325    , -2336.79    , array([ 0.887062   ,  0.468422   ,  5.88422e-06,  7.79311e-58])
7326    , -2336.79    , array([ 0.88795    ,  0.468422   ,  5.88422e-06,  7.79311e-58])
7327    , -2336.79    , array([ 0.887062   ,  0.46889    ,  5.88422e-06,  7.79311e-58])
7328    , -2336.79    , array([ 0.887062   ,  0.468422   ,  5.89011e-06,  7.79311e-58])
7329    , -2336.79    , array([ 0.887062   ,  0.468422   ,  5.88422e-06,  7.80091e-58])
7330    , -2336.7     , array([ 0.353751   ,  0.468422   ,  2.88007e-06,  7.79311e-58])
7331    , -2336.7     , array([ 0.353751   ,  0.468422   ,  2.88007e-06,  7.79311e-58])
7332    , -2336.7     , array([ 0.354105   ,  0.468422   ,  2.88007e-06,  7.79311e-58])
7333    , -2336.7     , array([ 0.353751   ,  0.46889    ,  2.88007e-06,  7.79311e-58])
7334    , -2336.7     , array([ 0.353751   ,  0.468422   ,  2.88295e-06,  7.79311e-58])
7335    , -2336.7     , array([ 0.353751   ,  0.468422   ,  2.88007e-06,  7.80091e-58])
7336    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7337    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7338    , -2336.51    , array([ 0.0522346  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7339    , -2336.51    , array([ 0.0521824  ,  0.46889    ,  8.44457e-07,  7.79311e-58])
7340    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.45302e-07,  7.79311e-58])
7341    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.80091e-58])
7348    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7349    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7350    , -2336.51    , array([ 0.0522346  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7351    , -2336.51    , array([ 0.0521824  ,  0.46889    ,  8.44457e-07,  7.79311e-58])
7352    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.45302e-07,  7.79311e-58])
7353    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.80091e-58])
7354    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7355    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7356    , -2336.51    , array([ 0.0522346  ,  0.468422   ,  8.44457e-07,  7.79311e-58])
7357    , -2336.51    , array([ 0.0521824  ,  0.46889    ,  8.44457e-07,  7.79311e-58])
7358    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.45302e-07,  7.79311e-58])
7359    , -2336.51    , array([ 0.0521824  ,  0.468422   ,  8.44457e-07,  7.80091e-58])
7360    , -2335.58    , array([ 0.00113547 ,  0.468422   ,  7.25983e-08,  7.79311e-58])
7361    , -2335.58    , array([ 0.00113547 ,  0.468422   ,  7.25983e-08,  7.79311e-58])
7362    , -2335.58    , array([ 0.00113661 ,  0.468422   ,  7.25983e-08,  7.79311e-58])
7363    , -2335.58    , array([ 0.00113547 ,  0.46889    ,  7.25983e-08,  7.79311e-58])
7364    , -2335.58    , array([ 0.00113547 ,  0.468422   ,  7.2671e-08 ,  7.79311e-58])
7365    , -2335.58    , array([ 0.00113547 ,  0.468422   ,  7.25983e-08,  7.80091e-58])
