11137   , -1628.95    , array([ 0.316321   ,  0.0154797  ,  0.0298369  ,  2.36494e-19])
11138   , -1629.46    , array([ 0.316638   ,  0.0154797  ,  0.0298369  ,  2.36494e-19])
11139   , -1628.95    , array([ 0.316321   ,  0.0154952  ,  0.0298369  ,  2.36494e-19])
11140   , -1628.49    , array([ 0.316321   ,  0.0154797  ,  0.0298668  ,  2.36494e-19])
11141   , -1628.95    , array([ 0.316321   ,  0.0154797  ,  0.0298369  ,  2.3673e-19 ])
11142   , -1628.95    , array([ 0.316321   ,  0.0154797  ,  0.0298369  ,  2.36494e-19])
11143   , -1496.67    , array([ 0.149143   ,  0.0154797  ,  0.0585655  ,  2.36494e-19])
11144   , -1496.67    , array([ 0.149143   ,  0.0154797  ,  0.0585655  ,  2.36494e-19])
11145   , -1495.5     , array([ 0.149292   ,  0.0154797  ,  0.0585655  ,  2.36494e-19])
11146   , -1496.67    , array([ 0.149143   ,  0.0154952  ,  0.0585655  ,  2.36494e-19])
11147   , -1496.71    , array([ 0.149143   ,  0.0154797  ,  0.0586241  ,  2.36494e-19])
11148   , -1496.67    , array([ 0.149143   ,  0.0154797  ,  0.0585655  ,  2.3673e-19 ])
11149   , -1379.84    , array([ 0.228457   ,  0.0154797  ,  0.0399502  ,  2.36494e-19])
11150   , -1379.84    , array([ 0.228457   ,  0.0154797  ,  0.0399502  ,  2.36494e-19])
11151   , -1379.96    , array([ 0.228686   ,  0.0154797  ,  0.0399502  ,  2.36494e-19])
11152   , -1379.84    , array([ 0.228457   ,  0.0154952  ,  0.0399502  ,  2.36494e-19])
11153   , -1379.43    , array([ 0.228457   ,  0.0154797  ,  0.0399901  ,  2.36494e-19])
11154   , -1379.84    , array([ 0.228457   ,  0.0154797  ,  0.0399502  ,  2.3673e-19 ])
11155   , -788.435    , array([ 0.262948   ,  0.0154797  ,  0.139984   ,  2.36494e-19])
11156   , -788.435    , array([ 0.262948   ,  0.0154797  ,  0.139984   ,  2.36494e-19])
11157   , -788.057    , array([ 0.263211   ,  0.0154797  ,  0.139984   ,  2.36494e-19])
11158   , -788.435    , array([ 0.262948   ,  0.0154952  ,  0.139984   ,  2.36494e-19])
11159   , -787.956    , array([ 0.262948   ,  0.0154797  ,  0.140124   ,  2.36494e-19])
11160   , -788.435    , array([ 0.262948   ,  0.0154797  ,  0.139984   ,  2.3673e-19 ])
11167   , -788.424    , array([ 0.262949   ,  0.0154797  ,  0.139987   ,  2.36494e-19])
11168   , -788.424    , array([ 0.262949   ,  0.0154797  ,  0.139987   ,  2.36494e-19])
