6026    , -2322.71    , array([ 0.461559   ,  0.498829   ,  0.000635552,  5.63272e-12])
6027    , -2322.74    , array([ 0.462021   ,  0.498829   ,  0.000635552,  5.63272e-12])
6028    , -2322.71    , array([ 0.461559   ,  0.499328   ,  0.000635552,  5.63272e-12])
6029    , -2322.7     , array([ 0.461559   ,  0.498829   ,  0.000636187,  5.63272e-12])
6030    , -2322.71    , array([ 0.461559   ,  0.498829   ,  0.000635552,  5.63835e-12])
6031    , -2322.71    , array([ 0.461559   ,  0.498829   ,  0.000635552,  5.63272e-12])
6032    , -2257.84    , array([ 0.189737   ,  0.498829   ,  0.00102649 ,  5.63272e-12])
6033    , -2257.84    , array([ 0.189737   ,  0.498829   ,  0.00102649 ,  5.63272e-12])
6034    , -2257.93    , array([ 0.189927   ,  0.498829   ,  0.00102649 ,  5.63272e-12])
6035    , -2257.84    , array([ 0.189737   ,  0.499328   ,  0.00102649 ,  5.63272e-12])
6036    , -2257.76    , array([ 0.189737   ,  0.498829   ,  0.00102752 ,  5.63272e-12])
6037    , -2257.84    , array([ 0.189737   ,  0.498829   ,  0.00102649 ,  5.63835e-12])
6038    , -7301.15    , array([ 0.00541814 ,  0.498829   ,  0.006985   ,  5.63272e-12])
6039    , -7301.15    , array([ 0.00541814 ,  0.498829   ,  0.006985   ,  5.63272e-12])
6040    , -7298.55    , array([ 0.00542356 ,  0.498829   ,  0.006985   ,  5.63272e-12])
6041    , -7301.15    , array([ 0.00541814 ,  0.499328   ,  0.006985   ,  5.63272e-12])
6042    , -7302.99    , array([ 0.00541814 ,  0.498829   ,  0.00699199 ,  5.63272e-12])
6043    , -7301.15    , array([ 0.00541814 ,  0.498829   ,  0.006985   ,  5.63835e-12])
6044    , -2228.83    , array([ 0.156361   ,  0.498829   ,  0.00113938 ,  5.63272e-12])
6045    , -2228.83    , array([ 0.156361   ,  0.498829   ,  0.00113938 ,  5.63272e-12])
6046    , -2228.94    , array([ 0.156517   ,  0.498829   ,  0.00113938 ,  5.63272e-12])
6047    , -2228.83    , array([ 0.156361   ,  0.499328   ,  0.00113938 ,  5.63272e-12])
6048    , -2228.73    , array([ 0.156361   ,  0.498829   ,  0.00114052 ,  5.63272e-12])
6049    , -2228.83    , array([ 0.156361   ,  0.498829   ,  0.00113938 ,  5.63835e-12])
6050    , -2186.3     , array([ 0.125757   ,  0.498829   ,  0.00128139 ,  5.63272e-12])
6051    , -2186.3     , array([ 0.125757   ,  0.498829   ,  0.00128139 ,  5.63272e-12])
6052    , -2186.45    , array([ 0.125882   ,  0.498829   ,  0.00128139 ,  5.63272e-12])
6053    , -2186.3     , array([ 0.125757   ,  0.499328   ,  0.00128139 ,  5.63272e-12])
6054    , -2186.16    , array([ 0.125757   ,  0.498829   ,  0.00128267 ,  5.63272e-12])
6055    , -2186.3     , array([ 0.125757   ,  0.498829   ,  0.00128139 ,  5.63835e-12])
6056    , -1794.95    , array([ 0.026103   ,  0.498829   ,  0.00299174 ,  5.63272e-12])
6057    , -1794.95    , array([ 0.026103   ,  0.498829   ,  0.00299174 ,  5.63272e-12])
6058    , -1794.71    , array([ 0.0261291  ,  0.498829   ,  0.00299174 ,  5.63272e-12])
6059    , -1794.95    , array([ 0.026103   ,  0.499328   ,  0.00299174 ,  5.63272e-12])
6060    , -1795.14    , array([ 0.026103   ,  0.498829   ,  0.00299473 ,  5.63272e-12])
6061    , -1794.95    , array([ 0.026103   ,  0.498829   ,  0.00299174 ,  5.63835e-12])
6062    , -1999.82    , array([ 0.0679202  ,  0.498829   ,  0.00178631 ,  5.63272e-12])
6063    , -1999.82    , array([ 0.0679202  ,  0.498829   ,  0.00178631 ,  5.63272e-12])
