5550    , -2556.93    , array([ 6.26357    ,  6.22627    ,  0.0119212  ,  5.72069e-36])
5551    , -2556.97    , array([ 6.26984    ,  6.22627    ,  0.0119212  ,  5.72069e-36])
5552    , -2556.93    , array([ 6.26357    ,  6.2325     ,  0.0119212  ,  5.72069e-36])
5553    , -2557.17    , array([ 6.26357    ,  6.22627    ,  0.0119331  ,  5.72069e-36])
5554    , -2556.93    , array([ 6.26357    ,  6.22627    ,  0.0119212  ,  5.72642e-36])
5555    , -2556.93    , array([ 6.26357    ,  6.22627    ,  0.0119212  ,  5.72069e-36])
5556    , -2409.14    , array([ 5.16484    ,  6.22627    ,  0.00442339 ,  5.72069e-36])
5557    , -2409.14    , array([ 5.16484    ,  6.22627    ,  0.00442339 ,  5.72069e-36])
5558    , -2409.16    , array([ 5.17001    ,  6.22627    ,  0.00442339 ,  5.72069e-36])
5559    , -2409.14    , array([ 5.16484    ,  6.2325     ,  0.00442339 ,  5.72069e-36])
5560    , -2409.22    , array([ 5.16484    ,  6.22627    ,  0.00442781 ,  5.72069e-36])
5561    , -2409.14    , array([ 5.16484    ,  6.22627    ,  0.00442339 ,  5.72642e-36])
5562    , -1980.56    , array([ 0.034701   ,  6.22627    ,  0.00660772 ,  5.72069e-36])
5563    , -1980.56    , array([ 0.034701   ,  6.22627    ,  0.00660772 ,  5.72069e-36])
5564    , -1979.67    , array([ 0.0347357  ,  6.22627    ,  0.00660772 ,  5.72069e-36])
5565    , -1980.56    , array([ 0.034701   ,  6.2325     ,  0.00660772 ,  5.72069e-36])
5566    , -1981.26    , array([ 0.034701   ,  6.22627    ,  0.00661433 ,  5.72069e-36])
5567    , -1980.56    , array([ 0.034701   ,  6.22627    ,  0.00660772 ,  5.72642e-36])
5568    , -2408.32    , array([ 4.84655    ,  6.22627    ,  0.00444602 ,  5.72069e-36])
5569    , -2408.32    , array([ 4.84655    ,  6.22627    ,  0.00444602 ,  5.72069e-36])
5570    , -2408.34    , array([ 4.8514     ,  6.22627    ,  0.00444602 ,  5.72069e-36])
5571    , -2408.32    , array([ 4.84655    ,  6.2325     ,  0.00444602 ,  5.72069e-36])
5572    , -2408.4     , array([ 4.84655    ,  6.22627    ,  0.00445047 ,  5.72069e-36])
5573    , -2408.32    , array([ 4.84655    ,  6.22627    ,  0.00444602 ,  5.72642e-36])
5574    , -1892.96    , array([ 0.140795   ,  6.22627    ,  0.00590551 ,  5.72069e-36])
5575    , -1892.96    , array([ 0.140795   ,  6.22627    ,  0.00590551 ,  5.72069e-36])
5576    , -1893.26    , array([ 0.140936   ,  6.22627    ,  0.00590551 ,  5.72069e-36])
5577    , -1892.96    , array([ 0.140795   ,  6.2325     ,  0.00590551 ,  5.72069e-36])
5578    , -1892.68    , array([ 0.140795   ,  6.22627    ,  0.00591142 ,  5.72069e-36])
5579    , -1892.96    , array([ 0.140795   ,  6.22627    ,  0.00590551 ,  5.72642e-36])
5580    , -1725.67    , array([ 0.065554   ,  6.22627    ,  0.00627899 ,  5.72069e-36])
5581    , -1725.67    , array([ 0.065554   ,  6.22627    ,  0.00627899 ,  5.72069e-36])
5582    , -1725.67    , array([ 0.0656196  ,  6.22627    ,  0.00627899 ,  5.72069e-36])
5583    , -1725.67    , array([ 0.065554   ,  6.2325     ,  0.00627899 ,  5.72069e-36])
5584    , -1725.59    , array([ 0.065554   ,  6.22627    ,  0.00628527 ,  5.72069e-36])
5585    , -1725.67    , array([ 0.065554   ,  6.22627    ,  0.00627899 ,  5.72642e-36])
5592    , -1725.66    , array([ 0.0655333  ,  6.22627    ,  0.0062792  ,  5.72069e-36])
5593    , -1725.66    , array([ 0.0655333  ,  6.22627    ,  0.0062792  ,  5.72069e-36])
5594    , -1725.66    , array([ 0.0655989  ,  6.22627    ,  0.0062792  ,  5.72069e-36])
5595    , -1725.66    , array([ 0.0655333  ,  6.2325     ,  0.0062792  ,  5.72069e-36])
5596    , -1725.59    , array([ 0.0655333  ,  6.22627    ,  0.00628548 ,  5.72069e-36])
5597    , -1725.66    , array([ 0.0655333  ,  6.22627    ,  0.0062792  ,  5.72642e-36])
5598    , -1725.61    , array([ 0.0648473  ,  6.22627    ,  0.00628619 ,  5.72069e-36])
5599    , -1725.61    , array([ 0.0648473  ,  6.22627    ,  0.00628619 ,  5.72069e-36])
5600    , -1725.61    , array([ 0.0649122  ,  6.22627    ,  0.00628619 ,  5.72069e-36])
5601    , -1725.61    , array([ 0.0648473  ,  6.2325     ,  0.00628619 ,  5.72069e-36])
5602    , -1725.55    , array([ 0.0648473  ,  6.22627    ,  0.00629248 ,  5.72069e-36])
5603    , -1725.61    , array([ 0.0648473  ,  6.22627    ,  0.00628619 ,  5.72642e-36])
5604    , -1725.51    , array([ 0.0649221  ,  6.22627    ,  0.00629509 ,  5.72069e-36])
5605    , -1725.51    , array([ 0.0649221  ,  6.22627    ,  0.00629509 ,  5.72069e-36])
5606    , -1725.51    , array([ 0.064987   ,  6.22627    ,  0.00629509 ,  5.72069e-36])
5607    , -1725.51    , array([ 0.0649221  ,  6.2325     ,  0.00629509 ,  5.72069e-36])
5608    , -1725.45    , array([ 0.0649221  ,  6.22627    ,  0.00630139 ,  5.72069e-36])
5609    , -1725.51    , array([ 0.0649221  ,  6.22627    ,  0.00629509 ,  5.72642e-36])
5610    , -1725.1     , array([ 0.0652222  ,  6.22627    ,  0.00633081 ,  5.72069e-36])
5611    , -1725.1     , array([ 0.0652222  ,  6.22627    ,  0.00633081 ,  5.72069e-36])
5612    , -1725.1     , array([ 0.0652874  ,  6.22627    ,  0.00633081 ,  5.72069e-36])
5613    , -1725.1     , array([ 0.0652222  ,  6.2325     ,  0.00633081 ,  5.72069e-36])
5614    , -1725.04    , array([ 0.0652222  ,  6.22627    ,  0.00633714 ,  5.72069e-36])
5615    , -1725.1     , array([ 0.0652222  ,  6.22627    ,  0.00633081 ,  5.72642e-36])
5616    , -1723.44    , array([ 0.0664364  ,  6.22627    ,  0.00647572 ,  5.72069e-36])
5617    , -1723.44    , array([ 0.0664364  ,  6.22627    ,  0.00647572 ,  5.72069e-36])
5618    , -1723.43    , array([ 0.0665028  ,  6.22627    ,  0.00647572 ,  5.72069e-36])
5619    , -1723.44    , array([ 0.0664364  ,  6.2325     ,  0.00647572 ,  5.72069e-36])
5620    , -1723.37    , array([ 0.0664364  ,  6.22627    ,  0.0064822  ,  5.72069e-36])
5621    , -1723.44    , array([ 0.0664364  ,  6.22627    ,  0.00647572 ,  5.72642e-36])
5622    , -1716.39    , array([ 0.0715236  ,  6.22627    ,  0.0070893  ,  5.72069e-36])
5623    , -1716.39    , array([ 0.0715236  ,  6.22627    ,  0.0070893  ,  5.72069e-36])
5624    , -1716.39    , array([ 0.0715951  ,  6.22627    ,  0.0070893  ,  5.72069e-36])
