6186    , -2336.71    , array([ 1.25291    ,  0.00888842 ,  5.813e-39  ,  4.17697e-08])
6187    , -2336.71    , array([ 1.25417    ,  0.00888842 ,  5.813e-39  ,  4.17697e-08])
6188    , -2336.72    , array([ 1.25291    ,  0.00889732 ,  5.813e-39  ,  4.17697e-08])
6189    , -2336.71    , array([ 1.25291    ,  0.00888842 ,  5.81882e-39,  4.17697e-08])
6190    , -2336.71    , array([ 1.25291    ,  0.00888842 ,  5.813e-39  ,  4.18115e-08])
6191    , -2336.71    , array([ 1.25291    ,  0.00888842 ,  5.813e-39  ,  4.17697e-08])
6192    , -2336.7     , array([ 1.25291    ,  0.00812153 ,  5.813e-39  ,  4.56814e-08])
6193    , -2336.7     , array([ 1.25291    ,  0.00812153 ,  5.813e-39  ,  4.56814e-08])
6194    , -2336.7     , array([ 1.25417    ,  0.00812153 ,  5.813e-39  ,  4.56814e-08])
6195    , -2336.7     , array([ 1.25291    ,  0.00812965 ,  5.813e-39  ,  4.56814e-08])
6196    , -2336.7     , array([ 1.25291    ,  0.00812153 ,  5.81882e-39,  4.56814e-08])
6197    , -2336.7     , array([ 1.25291    ,  0.00812153 ,  5.813e-39  ,  4.57271e-08])
6198    , -2336.58    , array([ 1.25291    ,  0.00566096 ,  5.813e-39  ,  6.53505e-08])
6199    , -2336.58    , array([ 1.25291    ,  0.00566096 ,  5.813e-39  ,  6.53505e-08])
6200    , -2336.58    , array([ 1.25417    ,  0.00566096 ,  5.813e-39  ,  6.53505e-08])
6201    , -2336.58    , array([ 1.25291    ,  0.00566662 ,  5.813e-39  ,  6.53505e-08])
6202    , -2336.58    , array([ 1.25291    ,  0.00566096 ,  5.81882e-39,  6.53505e-08])
6203    , -2336.58    , array([ 1.25291    ,  0.00566096 ,  5.813e-39  ,  6.54159e-08])
6204    , -2332.89    , array([ 1.25291    ,  0.00133629 ,  5.813e-39  ,  2.73709e-07])
6205    , -2332.89    , array([ 1.25291    ,  0.00133629 ,  5.813e-39  ,  2.73709e-07])
6206    , -2332.89    , array([ 1.25417    ,  0.00133629 ,  5.813e-39  ,  2.73709e-07])
6207    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6208    , -2332.89    , array([ 1.25291    ,  0.00133629 ,  5.81882e-39,  2.73709e-07])
6209    , -2332.88    , array([ 1.25291    ,  0.00133629 ,  5.813e-39  ,  2.73983e-07])
6216    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6217    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6218    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6219    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6220    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6221    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6222    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6223    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6224    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6225    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6226    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6227    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6234    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6235    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6236    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6237    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6238    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6239    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6240    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6241    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6242    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6243    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6244    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6245    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6252    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6253    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6254    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6255    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6256    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6257    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6258    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6259    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6260    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6261    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6262    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6263    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6270    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6271    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6272    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6273    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6274    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6275    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6276    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6277    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6278    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6279    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6280    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6281    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6288    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6289    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6290    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6291    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6292    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6293    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6294    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6295    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6296    , -2332.89    , array([ 1.25417    ,  0.00133628 ,  5.813e-39  ,  2.73709e-07])
6297    , -2332.89    , array([ 1.25291    ,  0.00133762 ,  5.813e-39  ,  2.73709e-07])
6298    , -2332.89    , array([ 1.25291    ,  0.00133628 ,  5.81882e-39,  2.73709e-07])
6299    , -2332.88    , array([ 1.25291    ,  0.00133628 ,  5.813e-39  ,  2.73983e-07])
6300    , -2331.2     , array([ 1.25291    ,  0.00111564 ,  5.813e-39  ,  3.27374e-07])
6301    , -2331.2     , array([ 1.25291    ,  0.00111564 ,  5.813e-39  ,  3.27374e-07])
6302    , -2331.2     , array([ 1.25417    ,  0.00111564 ,  5.813e-39  ,  3.27374e-07])
6303    , -2331.2     , array([ 1.25291    ,  0.00111676 ,  5.813e-39  ,  3.27374e-07])
6304    , -2331.2     , array([ 1.25291    ,  0.00111564 ,  5.81882e-39,  3.27374e-07])
6305    , -2331.19    , array([ 1.25291    ,  0.00111564 ,  5.813e-39  ,  3.27702e-07])
6306    , -2331.2     , array([ 1.25291    ,  0.00111564 ,  5.813e-39  ,  3.27374e-07])
6307    , -2331.2     , array([ 1.25291    ,  0.00111564 ,  5.813e-39  ,  3.27374e-07])
