1070    , -1271.02    , array([ 0.184356   ,  0.376852   ,  0.0691742  ,  4.68919e-07])
1071    , -1270.2     , array([ 0.18454    ,  0.376852   ,  0.0691742  ,  4.68919e-07])
1072    , -1271.02    , array([ 0.184356   ,  0.377229   ,  0.0691742  ,  4.68919e-07])
1073    , -1270.82    , array([ 0.184356   ,  0.376852   ,  0.0692434  ,  4.68919e-07])
1074    , -1271.02    , array([ 0.184356   ,  0.376852   ,  0.0691742  ,  4.69388e-07])
1075    , -1271.02    , array([ 0.184356   ,  0.376852   ,  0.0691742  ,  4.68919e-07])
1076    , -1355.9     , array([ 0.491617   ,  0.376862   ,  0.0880227  ,  4.68933e-07])
1077    , -1355.9     , array([ 0.491617   ,  0.376862   ,  0.0880227  ,  4.68933e-07])
1078    , -1356.99    , array([ 0.492109   ,  0.376862   ,  0.0880227  ,  4.68933e-07])
1079    , -1355.9     , array([ 0.491617   ,  0.377239   ,  0.0880227  ,  4.68933e-07])
1080    , -1355.28    , array([ 0.491617   ,  0.376862   ,  0.0881107  ,  4.68933e-07])
1081    , -1355.9     , array([ 0.491617   ,  0.376862   ,  0.0880227  ,  4.69402e-07])
1082    , -1087.6     , array([ 0.283363   ,  0.376856   ,  0.0768791  ,  4.68925e-07])
1083    , -1087.6     , array([ 0.283363   ,  0.376856   ,  0.0768791  ,  4.68925e-07])
1084    , -1087.73    , array([ 0.283646   ,  0.376856   ,  0.0768791  ,  4.68925e-07])
1085    , -1087.6     , array([ 0.283363   ,  0.377233   ,  0.0768791  ,  4.68925e-07])
1086    , -1087.05    , array([ 0.283363   ,  0.376856   ,  0.076956   ,  4.68925e-07])
1087    , -1087.6     , array([ 0.283363   ,  0.376856   ,  0.0768791  ,  4.69394e-07])
1088    , -733.3      , array([ 0.372508   ,  0.376867   ,  0.160935   ,  4.68935e-07])
1089    , -733.3      , array([ 0.372508   ,  0.376867   ,  0.160935   ,  4.68935e-07])
1090    , -733.802    , array([ 0.372881   ,  0.376867   ,  0.160935   ,  4.68935e-07])
1091    , -733.3      , array([ 0.372508   ,  0.377244   ,  0.160935   ,  4.68935e-07])
1092    , -732.738    , array([ 0.372508   ,  0.376867   ,  0.161096   ,  4.68935e-07])
1093    , -733.3      , array([ 0.372508   ,  0.376867   ,  0.160935   ,  4.69404e-07])
1094    , -1102.15    , array([ 0.518806   ,  0.380797   ,  0.773515   ,  4.70792e-07])
1095    , -1102.15    , array([ 0.518806   ,  0.380797   ,  0.773515   ,  4.70792e-07])
1096    , -1102.74    , array([ 0.519325   ,  0.380797   ,  0.773515   ,  4.70792e-07])
1097    , -1102.15    , array([ 0.518806   ,  0.381178   ,  0.773515   ,  4.70792e-07])
1098    , -1103.17    , array([ 0.518806   ,  0.380797   ,  0.774289   ,  4.70792e-07])
1099    , -1102.15    , array([ 0.518806   ,  0.380797   ,  0.773515   ,  4.71263e-07])
1100    , -566.187    , array([ 0.419128   ,  0.378261   ,  0.281415   ,  4.69595e-07])
1101    , -566.187    , array([ 0.419128   ,  0.378261   ,  0.281415   ,  4.69595e-07])
1102    , -566.899    , array([ 0.419547   ,  0.378261   ,  0.281415   ,  4.69595e-07])
1103    , -566.187    , array([ 0.419128   ,  0.37864    ,  0.281415   ,  4.69595e-07])
1104    , -565.951    , array([ 0.419128   ,  0.378261   ,  0.281697   ,  4.69595e-07])
1105    , -566.187    , array([ 0.419128   ,  0.378261   ,  0.281415   ,  4.70065e-07])
1106    , -463.042    , array([ 0.360072   ,  0.38456    ,  0.359303   ,  4.75765e-07])
1107    , -463.042    , array([ 0.360072   ,  0.38456    ,  0.359303   ,  4.75765e-07])
1108    , -463.395    , array([ 0.360433   ,  0.38456    ,  0.359303   ,  4.75765e-07])
1109    , -463.042    , array([ 0.360072   ,  0.384945   ,  0.359303   ,  4.75765e-07])
1110    , -463.081    , array([ 0.360072   ,  0.38456    ,  0.359662   ,  4.75765e-07])
1111    , -463.042    , array([ 0.360072   ,  0.38456    ,  0.359303   ,  4.76241e-07])
1112    , -425.836    , array([ 0.297186   ,  0.393875   ,  0.327828   ,  4.81984e-07])
