7447    , -2336.8     , array([ 1.10004    ,  1.51423    ,  1.95618e-07,  3.24107e-75])
7448    , -2336.8     , array([ 1.10115    ,  1.51423    ,  1.95618e-07,  3.24107e-75])
7449    , -2336.8     , array([ 1.10004    ,  1.51575    ,  1.95618e-07,  3.24107e-75])
7450    , -2336.8     , array([ 1.10004    ,  1.51423    ,  1.95814e-07,  3.24107e-75])
7451    , -2336.8     , array([ 1.10004    ,  1.51423    ,  1.95618e-07,  3.24431e-75])
7452    , -2336.8     , array([ 1.10004    ,  1.51423    ,  1.95618e-07,  3.24107e-75])
7453    , -2336.8     , array([ 1.09629    ,  1.51423    ,  1.95551e-07,  3.24107e-75])
7454    , -2336.8     , array([ 1.09629    ,  1.51423    ,  1.95551e-07,  3.24107e-75])
7455    , -2336.8     , array([ 1.09739    ,  1.51423    ,  1.95551e-07,  3.24107e-75])
7456    , -2336.8     , array([ 1.09629    ,  1.51575    ,  1.95551e-07,  3.24107e-75])
7457    , -2336.8     , array([ 1.09629    ,  1.51423    ,  1.95747e-07,  3.24107e-75])
7458    , -2336.8     , array([ 1.09629    ,  1.51423    ,  1.95551e-07,  3.24431e-75])
7459    , -2336.8     , array([ 1.08142    ,  1.51423    ,  1.95284e-07,  3.24107e-75])
7460    , -2336.8     , array([ 1.08142    ,  1.51423    ,  1.95284e-07,  3.24107e-75])
7461    , -2336.8     , array([ 1.0825     ,  1.51423    ,  1.95284e-07,  3.24107e-75])
7462    , -2336.8     , array([ 1.08142    ,  1.51575    ,  1.95284e-07,  3.24107e-75])
7463    , -2336.8     , array([ 1.08142    ,  1.51423    ,  1.95479e-07,  3.24107e-75])
7464    , -2336.8     , array([ 1.08142    ,  1.51423    ,  1.95284e-07,  3.24431e-75])
7465    , -2336.8     , array([ 1.02392    ,  1.51423    ,  1.94218e-07,  3.24107e-75])
7466    , -2336.8     , array([ 1.02392    ,  1.51423    ,  1.94218e-07,  3.24107e-75])
7467    , -2336.8     , array([ 1.02494    ,  1.51423    ,  1.94218e-07,  3.24107e-75])
7468    , -2336.8     , array([ 1.02392    ,  1.51575    ,  1.94218e-07,  3.24107e-75])
7469    , -2336.8     , array([ 1.02392    ,  1.51423    ,  1.94413e-07,  3.24107e-75])
7470    , -2336.8     , array([ 1.02392    ,  1.51423    ,  1.94218e-07,  3.24431e-75])
7471    , -2336.8     , array([ 0.822904   ,  1.51423    ,  1.90014e-07,  3.24107e-75])
7472    , -2336.8     , array([ 0.822904   ,  1.51423    ,  1.90014e-07,  3.24107e-75])
7473    , -2336.8     , array([ 0.823727   ,  1.51423    ,  1.90014e-07,  3.24107e-75])
7474    , -2336.8     , array([ 0.822904   ,  1.51575    ,  1.90014e-07,  3.24107e-75])
7475    , -2336.8     , array([ 0.822904   ,  1.51423    ,  1.90204e-07,  3.24107e-75])
7476    , -2336.8     , array([ 0.822904   ,  1.51423    ,  1.90014e-07,  3.24431e-75])
7477    , -2336.8     , array([ 0.343307   ,  1.51423    ,  1.74086e-07,  3.24107e-75])
7478    , -2336.8     , array([ 0.343307   ,  1.51423    ,  1.74086e-07,  3.24107e-75])
7479    , -2336.8     , array([ 0.34365    ,  1.51423    ,  1.74086e-07,  3.24107e-75])
7480    , -2336.8     , array([ 0.343307   ,  1.51575    ,  1.74086e-07,  3.24107e-75])
7481    , -2336.8     , array([ 0.343307   ,  1.51423    ,  1.7426e-07 ,  3.24107e-75])
7482    , -2336.8     , array([ 0.343307   ,  1.51423    ,  1.74086e-07,  3.24431e-75])
7483    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7484    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7485    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7486    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7487    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7488    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7495    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7496    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7497    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7498    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7499    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7500    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7501    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7502    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7503    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7504    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7505    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7506    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7513    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7514    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7515    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7516    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7517    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7518    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7519    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7520    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7521    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7522    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7523    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7524    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7531    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7532    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7533    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7534    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7535    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7536    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7537    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7538    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7539    , -2336.58    , array([ 0.0104099  ,  1.51423    ,  1.22653e-07,  3.24107e-75])
7540    , -2336.58    , array([ 0.0103995  ,  1.51575    ,  1.22653e-07,  3.24107e-75])
7541    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22776e-07,  3.24107e-75])
7542    , -2336.58    , array([ 0.0103995  ,  1.51423    ,  1.22653e-07,  3.24431e-75])
7543    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7544    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7545    , -2335.72    , array([ 0.00181181 ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7546    , -2335.71    , array([ 0.00181    ,  1.51575    ,  1.02952e-07,  3.24107e-75])
7547    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.03055e-07,  3.24107e-75])
7548    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24431e-75])
7549    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7550    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7551    , -2335.72    , array([ 0.00181181 ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7552    , -2335.71    , array([ 0.00181    ,  1.51575    ,  1.02952e-07,  3.24107e-75])
7553    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.03055e-07,  3.24107e-75])
7554    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24431e-75])
7561    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7562    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7563    , -2335.72    , array([ 0.00181181 ,  1.51423    ,  1.02952e-07,  3.24107e-75])
7564    , -2335.71    , array([ 0.00181    ,  1.51575    ,  1.02952e-07,  3.24107e-75])
7565    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.03055e-07,  3.24107e-75])
7566    , -2335.71    , array([ 0.00181    ,  1.51423    ,  1.02952e-07,  3.24431e-75])
7567    , -2335.66    , array([ 0.00170796 ,  1.51423    ,  1.02356e-07,  3.24107e-75])
7568    , -2335.66    , array([ 0.00170796 ,  1.51423    ,  1.02356e-07,  3.24107e-75])
7569    , -2335.66    , array([ 0.00170967 ,  1.51423    ,  1.02356e-07,  3.24107e-75])
