8080    , -1479.74    , array([ 0.151261   ,  0.0276092  ,  0.0562717  ,  4.84312e-07])
8081    , -1478.64    , array([ 0.151412   ,  0.0276092  ,  0.0562717  ,  4.84312e-07])
8082    , -1479.73    , array([ 0.151261   ,  0.0276368  ,  0.0562717  ,  4.84312e-07])
8083    , -1479.76    , array([ 0.151261   ,  0.0276092  ,  0.056328   ,  4.84312e-07])
8084    , -1479.74    , array([ 0.151261   ,  0.0276092  ,  0.0562717  ,  4.84797e-07])
8085    , -1479.74    , array([ 0.151261   ,  0.0276092  ,  0.0562717  ,  4.84312e-07])
8086    , -1481.54    , array([ 0.415223   ,  0.0276172  ,  0.0551837  ,  4.84197e-07])
8087    , -1481.54    , array([ 0.415223   ,  0.0276172  ,  0.0551837  ,  4.84197e-07])
8088    , -1482.31    , array([ 0.415638   ,  0.0276172  ,  0.0551837  ,  4.84197e-07])
8089    , -1481.54    , array([ 0.415223   ,  0.0276449  ,  0.0551837  ,  4.84197e-07])
8090    , -1480.97    , array([ 0.415223   ,  0.0276172  ,  0.0552389  ,  4.84197e-07])
8091    , -1481.54    , array([ 0.415223   ,  0.0276172  ,  0.0551837  ,  4.84681e-07])
8092    , -1239.16    , array([ 0.240273   ,  0.0276129  ,  0.0557705  ,  4.84259e-07])
8093    , -1239.16    , array([ 0.240273   ,  0.0276129  ,  0.0557705  ,  4.84259e-07])
8094    , -1239.16    , array([ 0.240513   ,  0.0276129  ,  0.0557705  ,  4.84259e-07])
8095    , -1239.16    , array([ 0.240273   ,  0.0276405  ,  0.0557705  ,  4.84259e-07])
8096    , -1238.72    , array([ 0.240273   ,  0.0276129  ,  0.0558263  ,  4.84259e-07])
8097    , -1239.16    , array([ 0.240273   ,  0.0276129  ,  0.0557705  ,  4.84744e-07])
8098    , -736.325    , array([ 0.382962   ,  0.0276293  ,  0.164407   ,  4.84013e-07])
8099    , -736.325    , array([ 0.382962   ,  0.0276293  ,  0.164407   ,  4.84013e-07])
8100    , -736.898    , array([ 0.383345   ,  0.0276293  ,  0.164407   ,  4.84013e-07])
8101    , -736.325    , array([ 0.382962   ,  0.027657   ,  0.164407   ,  4.84013e-07])
8102    , -735.764    , array([ 0.382962   ,  0.0276293  ,  0.164571   ,  4.84013e-07])
8103    , -736.325    , array([ 0.382962   ,  0.0276293  ,  0.164407   ,  4.84497e-07])
8104    , -2199.86    , array([ 0.821237   ,  0.0330883  ,  2.18616    ,  4.1247e-07 ])
8105    , -2199.86    , array([ 0.821237   ,  0.0330883  ,  2.18616    ,  4.1247e-07 ])
8106    , -2200.25    , array([ 0.822058   ,  0.0330883  ,  2.18616    ,  4.1247e-07 ])
8107    , -2199.86    , array([ 0.821237   ,  0.0331215  ,  2.18616    ,  4.1247e-07 ])
8108    , -2200.21    , array([ 0.821237   ,  0.0330883  ,  2.18834    ,  4.1247e-07 ])
8109    , -2199.86    , array([ 0.821237   ,  0.0330883  ,  2.18616    ,  4.12883e-07])
8110    , -649.968    , array([ 0.41526    ,  0.0281631  ,  0.216367   ,  4.75865e-07])
8111    , -649.968    , array([ 0.41526    ,  0.0281631  ,  0.216367   ,  4.75865e-07])
8112    , -650.706    , array([ 0.415675   ,  0.0281631  ,  0.216367   ,  4.75865e-07])
8113    , -649.967    , array([ 0.41526    ,  0.0281913  ,  0.216367   ,  4.75865e-07])
8114    , -649.529    , array([ 0.41526    ,  0.0281631  ,  0.216583   ,  4.75865e-07])
8115    , -649.968    , array([ 0.41526    ,  0.0281631  ,  0.216367   ,  4.76342e-07])
8116    , -524.699    , array([ 0.403209   ,  0.0324058  ,  0.306365   ,  4.22732e-07])
8117    , -524.699    , array([ 0.403209   ,  0.0324058  ,  0.306365   ,  4.22732e-07])
8118    , -525.295    , array([ 0.403613   ,  0.0324058  ,  0.306365   ,  4.22732e-07])
8119    , -524.699    , array([ 0.403209   ,  0.0324383  ,  0.306365   ,  4.22732e-07])
8120    , -524.551    , array([ 0.403209   ,  0.0324058  ,  0.306671   ,  4.22732e-07])
8121    , -524.699    , array([ 0.403209   ,  0.0324058  ,  0.306365   ,  4.23155e-07])
8122    , -444.486    , array([ 0.338923   ,  0.0431208  ,  0.356599   ,  3.31548e-07])
8123    , -444.486    , array([ 0.338923   ,  0.0431208  ,  0.356599   ,  3.31548e-07])
8124    , -444.745    , array([ 0.339262   ,  0.0431208  ,  0.356599   ,  3.31548e-07])
8125    , -444.485    , array([ 0.338923   ,  0.0431639  ,  0.356599   ,  3.31548e-07])
8126    , -444.509    , array([ 0.338923   ,  0.0431208  ,  0.356955   ,  3.31548e-07])
8127    , -444.486    , array([ 0.338923   ,  0.0431208  ,  0.356599   ,  3.3188e-07 ])
8128    , -420.12     , array([ 0.293396   ,  0.0546212  ,  0.34271    ,  2.71381e-07])
8129    , -420.12     , array([ 0.293396   ,  0.0546212  ,  0.34271    ,  2.71381e-07])
8130    , -420.226    , array([ 0.293689   ,  0.0546212  ,  0.34271    ,  2.71381e-07])
8131    , -420.12     , array([ 0.293396   ,  0.0546758  ,  0.34271    ,  2.71381e-07])
8132    , -420.051    , array([ 0.293396   ,  0.0546212  ,  0.343052   ,  2.71381e-07])
8133    , -420.12     , array([ 0.293396   ,  0.0546212  ,  0.34271    ,  2.71653e-07])
8134    , -408.948    , array([ 0.257965   ,  0.0727481  ,  0.371312   ,  2.14116e-07])
8135    , -408.948    , array([ 0.257965   ,  0.0727481  ,  0.371312   ,  2.14116e-07])
8136    , -409.003    , array([ 0.258223   ,  0.0727481  ,  0.371312   ,  2.14116e-07])
8137    , -408.948    , array([ 0.257965   ,  0.0728208  ,  0.371312   ,  2.14116e-07])
8138    , -409.026    , array([ 0.257965   ,  0.0727481  ,  0.371683   ,  2.14116e-07])
8139    , -408.948    , array([ 0.257965   ,  0.0727481  ,  0.371312   ,  2.1433e-07 ])
8140    , -403.688    , array([ 0.235704   ,  0.0880821  ,  0.362487   ,  1.8346e-07 ])
8141    , -403.688    , array([ 0.235704   ,  0.0880821  ,  0.362487   ,  1.8346e-07 ])
