10895   , -2336.42    , array([ 0.0405269  ,  1.19715    ,  8.35788e-07,  7.8957e-31 ])
10896   , -2336.42    , array([ 0.0405674  ,  1.19715    ,  8.35788e-07,  7.8957e-31 ])
10897   , -2336.42    , array([ 0.0405269  ,  1.19835    ,  8.35788e-07,  7.8957e-31 ])
10898   , -2336.42    , array([ 0.0405269  ,  1.19715    ,  8.36624e-07,  7.8957e-31 ])
10899   , -2336.42    , array([ 0.0405269  ,  1.19715    ,  8.35788e-07,  7.9036e-31 ])
10900   , -2336.42    , array([ 0.0405269  ,  1.19715    ,  8.35788e-07,  7.8957e-31 ])
10901   , -2335.97    , array([ 0.0272804  ,  1.19715    ,  1.22232e-06,  7.8957e-31 ])
10902   , -2335.97    , array([ 0.0272804  ,  1.19715    ,  1.22232e-06,  7.8957e-31 ])
10903   , -2335.97    , array([ 0.0273077  ,  1.19715    ,  1.22232e-06,  7.8957e-31 ])
10904   , -2335.97    , array([ 0.0272804  ,  1.19835    ,  1.22232e-06,  7.8957e-31 ])
10905   , -2335.97    , array([ 0.0272804  ,  1.19715    ,  1.22355e-06,  7.8957e-31 ])
10906   , -2335.97    , array([ 0.0272804  ,  1.19715    ,  1.22232e-06,  7.9036e-31 ])
10907   , -2318.02    , array([ 0.00560125 ,  1.19715    ,  5.59175e-06,  7.8957e-31 ])
10908   , -2318.02    , array([ 0.00560125 ,  1.19715    ,  5.59175e-06,  7.8957e-31 ])
10909   , -2318.04    , array([ 0.00560685 ,  1.19715    ,  5.59175e-06,  7.8957e-31 ])
10910   , -2318.02    , array([ 0.00560125 ,  1.19835    ,  5.59175e-06,  7.8957e-31 ])
10911   , -2318       , array([ 0.00560125 ,  1.19715    ,  5.59735e-06,  7.8957e-31 ])
10912   , -2318.02    , array([ 0.00560125 ,  1.19715    ,  5.59175e-06,  7.9036e-31 ])
10919   , -2318.02    , array([ 0.00560123 ,  1.19715    ,  5.59177e-06,  7.8957e-31 ])
10920   , -2318.02    , array([ 0.00560123 ,  1.19715    ,  5.59177e-06,  7.8957e-31 ])
10921   , -2318.04    , array([ 0.00560684 ,  1.19715    ,  5.59177e-06,  7.8957e-31 ])
10922   , -2318.02    , array([ 0.00560123 ,  1.19835    ,  5.59177e-06,  7.8957e-31 ])
10923   , -2318       , array([ 0.00560123 ,  1.19715    ,  5.59736e-06,  7.8957e-31 ])
10924   , -2318.02    , array([ 0.00560123 ,  1.19715    ,  5.59177e-06,  7.9036e-31 ])
10925   , -2318.02    , array([ 0.00560122 ,  1.19715    ,  5.59178e-06,  7.8957e-31 ])
10926   , -2318.02    , array([ 0.00560122 ,  1.19715    ,  5.59178e-06,  7.8957e-31 ])
10927   , -2318.04    , array([ 0.00560682 ,  1.19715    ,  5.59178e-06,  7.8957e-31 ])
10928   , -2318.02    , array([ 0.00560122 ,  1.19835    ,  5.59178e-06,  7.8957e-31 ])
10929   , -2318       , array([ 0.00560122 ,  1.19715    ,  5.59737e-06,  7.8957e-31 ])
10930   , -2318.02    , array([ 0.00560122 ,  1.19715    ,  5.59178e-06,  7.9036e-31 ])
10937   , -2318.02    , array([ 0.00560122 ,  1.19715    ,  5.59178e-06,  7.8957e-31 ])
10938   , -2318.02    , array([ 0.00560122 ,  1.19715    ,  5.59178e-06,  7.8957e-31 ])
10939   , -2318.04    , array([ 0.00560682 ,  1.19715    ,  5.59178e-06,  7.8957e-31 ])
10940   , -2318.02    , array([ 0.00560122 ,  1.19835    ,  5.59178e-06,  7.8957e-31 ])
10941   , -2318       , array([ 0.00560122 ,  1.19715    ,  5.59738e-06,  7.8957e-31 ])
10942   , -2318.02    , array([ 0.00560122 ,  1.19715    ,  5.59178e-06,  7.9036e-31 ])
10943   , -2318.02    , array([ 0.00560121 ,  1.19715    ,  5.59179e-06,  7.8957e-31 ])
10944   , -2318.02    , array([ 0.00560121 ,  1.19715    ,  5.59179e-06,  7.8957e-31 ])
10945   , -2318.04    , array([ 0.00560682 ,  1.19715    ,  5.59179e-06,  7.8957e-31 ])
10946   , -2318.02    , array([ 0.00560121 ,  1.19835    ,  5.59179e-06,  7.8957e-31 ])
10947   , -2318       , array([ 0.00560121 ,  1.19715    ,  5.59738e-06,  7.8957e-31 ])
10948   , -2318.02    , array([ 0.00560121 ,  1.19715    ,  5.59179e-06,  7.9036e-31 ])
10949   , -2025.77    , array([ 0.00115005 ,  1.19715    ,  2.55806e-05,  7.8957e-31 ])
10950   , -2025.77    , array([ 0.00115005 ,  1.19715    ,  2.55806e-05,  7.8957e-31 ])
10951   , -2025.99    , array([ 0.0011512  ,  1.19715    ,  2.55806e-05,  7.8957e-31 ])
10952   , -2025.77    , array([ 0.00115005 ,  1.19835    ,  2.55806e-05,  7.8957e-31 ])
10953   , -2025.55    , array([ 0.00115005 ,  1.19715    ,  2.56062e-05,  7.8957e-31 ])
