469     , -53952.5    , array([ 0.012019   ,  0.862434   ,  0.00906367 ,  0.0343166  ])
470     , -53952.3    , array([ 0.012031   ,  0.862434   ,  0.00906367 ,  0.0343166  ])
471     , -53952.1    , array([ 0.012019   ,  0.863297   ,  0.00906367 ,  0.0343166  ])
472     , -53952.8    , array([ 0.012019   ,  0.862434   ,  0.00907274 ,  0.0343166  ])
473     , -53953.5    , array([ 0.012019   ,  0.862434   ,  0.00906367 ,  0.0343509  ])
474     , -53952.5    , array([ 0.012019   ,  0.862434   ,  0.00906367 ,  0.0343166  ])
475     , -54378.5    , array([ 0.0146905  ,  1.26909    ,  0.00690825 ,  0.0143775  ])
476     , -54378.5    , array([ 0.0146905  ,  1.26909    ,  0.00690825 ,  0.0143775  ])
477     , -54379.7    , array([ 0.0147052  ,  1.26909    ,  0.00690825 ,  0.0143775  ])
478     , -54378.3    , array([ 0.0146905  ,  1.27036    ,  0.00690825 ,  0.0143775  ])
479     , -54377.2    , array([ 0.0146905  ,  1.26909    ,  0.00691517 ,  0.0143775  ])
480     , -54377.6    , array([ 0.0146905  ,  1.26909    ,  0.00690825 ,  0.0143919  ])
481     , -53795.1    , array([ 0.0127437  ,  0.965297   ,  0.00837344 ,  0.0266256  ])
482     , -53795.1    , array([ 0.0127437  ,  0.965297   ,  0.00837344 ,  0.0266256  ])
483     , -53795.7    , array([ 0.0127564  ,  0.965297   ,  0.00837344 ,  0.0266256  ])
484     , -53794.7    , array([ 0.0127437  ,  0.966263   ,  0.00837344 ,  0.0266256  ])
485     , -53794.6    , array([ 0.0127437  ,  0.965297   ,  0.00838182 ,  0.0266256  ])
486     , -53795.2    , array([ 0.0127437  ,  0.965297   ,  0.00837344 ,  0.0266523  ])
487     , -53626.7    , array([ 0.0104066  ,  1.28645    ,  0.00971885 ,  0.0200722  ])
488     , -53626.7    , array([ 0.0104066  ,  1.28645    ,  0.00971885 ,  0.0200722  ])
489     , -53626.8    , array([ 0.010417   ,  1.28645    ,  0.00971885 ,  0.0200722  ])
490     , -53626.5    , array([ 0.0104066  ,  1.28774    ,  0.00971885 ,  0.0200722  ])
491     , -53626.7    , array([ 0.0104066  ,  1.28645    ,  0.00972858 ,  0.0200722  ])
492     , -53626.6    , array([ 0.0104066  ,  1.28645    ,  0.00971885 ,  0.0200922  ])
493     , -53438.5    , array([ 0.00994286 ,  4.29063    ,  0.00750113 ,  0.0261956  ])
494     , -53438.5    , array([ 0.00994286 ,  4.29063    ,  0.00750113 ,  0.0261956  ])
495     , -53438.7    , array([ 0.0099528  ,  4.29063    ,  0.00750113 ,  0.0261956  ])
496     , -53438.5    , array([ 0.00994286 ,  4.29492    ,  0.00750113 ,  0.0261956  ])
497     , -53438.5    , array([ 0.00994286 ,  4.29063    ,  0.00750863 ,  0.0261956  ])
498     , -53438.7    , array([ 0.00994286 ,  4.29063    ,  0.00750113 ,  0.0262218  ])
505     , -53438.5    , array([ 0.00994282 ,  4.29063    ,  0.0075011  ,  0.0261956  ])
506     , -53438.5    , array([ 0.00994282 ,  4.29063    ,  0.0075011  ,  0.0261956  ])
507     , -53438.7    , array([ 0.00995277 ,  4.29063    ,  0.0075011  ,  0.0261956  ])
508     , -53438.5    , array([ 0.00994282 ,  4.29492    ,  0.0075011  ,  0.0261956  ])
509     , -53438.5    , array([ 0.00994282 ,  4.29063    ,  0.0075086  ,  0.0261956  ])
510     , -53438.7    , array([ 0.00994282 ,  4.29063    ,  0.0075011  ,  0.0262218  ])
511     , -53396.2    , array([ 0.00360433 ,  4.39042    ,  0.00269579 ,  0.0266831  ])
512     , -53396.2    , array([ 0.00360433 ,  4.39042    ,  0.00269579 ,  0.0266831  ])
513     , -53396.4    , array([ 0.00360794 ,  4.39042    ,  0.00269579 ,  0.0266831  ])
514     , -53396.2    , array([ 0.00360433 ,  4.39481    ,  0.00269579 ,  0.0266831  ])
515     , -53396.1    , array([ 0.00360433 ,  4.39042    ,  0.00269848 ,  0.0266831  ])
516     , -53396.4    , array([ 0.00360433 ,  4.39042    ,  0.00269579 ,  0.0267098  ])
517     , -53351.8    , array([ 0.00184499 ,  6.36887    ,  0.00150299 ,  0.024771   ])
518     , -53351.8    , array([ 0.00184499 ,  6.36887    ,  0.00150299 ,  0.024771   ])
519     , -53351.8    , array([ 0.00184684 ,  6.36887    ,  0.00150299 ,  0.024771   ])
520     , -53351.8    , array([ 0.00184499 ,  6.37525    ,  0.00150299 ,  0.024771   ])
521     , -53351.9    , array([ 0.00184499 ,  6.36887    ,  0.00150449 ,  0.024771   ])
522     , -53351.9    , array([ 0.00184499 ,  6.36887    ,  0.00150299 ,  0.0247958  ])
529     , -53351.8    , array([ 0.00184499 ,  6.36887    ,  0.00150299 ,  0.024771   ])
530     , -53351.8    , array([ 0.00184499 ,  6.36887    ,  0.00150299 ,  0.024771   ])
531     , -53351.8    , array([ 0.00184684 ,  6.36887    ,  0.00150299 ,  0.024771   ])
532     , -53351.8    , array([ 0.00184499 ,  6.37525    ,  0.00150299 ,  0.024771   ])
533     , -53351.9    , array([ 0.00184499 ,  6.36887    ,  0.00150449 ,  0.024771   ])
534     , -53351.9    , array([ 0.00184499 ,  6.36887    ,  0.00150299 ,  0.0247958  ])
535     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
536     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
537     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
538     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
539     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
540     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
547     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
548     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
549     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
550     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
551     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
552     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
559     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
560     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
561     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
562     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
563     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
564     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
571     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
572     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
573     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
574     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
575     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
576     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
583     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
584     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
585     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
586     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
587     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
588     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
595     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
596     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
597     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
598     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
599     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
600     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
607     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
608     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
609     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
610     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
611     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
612     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
619     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
620     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
621     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
622     , -53327.2    , array([ 0.00100045 ,  10.082     ,  0.000803411,  0.0244802  ])
623     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000804215,  0.0244802  ])
624     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0245047  ])
625     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
626     , -53327.2    , array([ 0.00100045 ,  10.0719    ,  0.000803411,  0.0244802  ])
627     , -53327.2    , array([ 0.00100145 ,  10.0719    ,  0.000803411,  0.0244802  ])
