1212    , -56629.7    , array([ 0.00583122 ,  1.10507    ,  0.00704121 ,  0.0576225  ])
1213    , -56623.1    , array([ 0.00583705 ,  1.10507    ,  0.00704121 ,  0.0576225  ])
1214    , -56629.9    , array([ 0.00583122 ,  1.10617    ,  0.00704121 ,  0.0576225  ])
1215    , -56636.4    , array([ 0.00583122 ,  1.10507    ,  0.00704826 ,  0.0576225  ])
1216    , -56635      , array([ 0.00583122 ,  1.10507    ,  0.00704121 ,  0.0576801  ])
1217    , -56629.7    , array([ 0.00583122 ,  1.10507    ,  0.00704121 ,  0.0576225  ])
1218    , -54528.5    , array([ 0.0108515  ,  1.08668    ,  0.00377353 ,  0.0351262  ])
1219    , -54528.5    , array([ 0.0108515  ,  1.08668    ,  0.00377353 ,  0.0351262  ])
1220    , -54530.3    , array([ 0.0108624  ,  1.08668    ,  0.00377353 ,  0.0351262  ])
1221    , -54528.3    , array([ 0.0108515  ,  1.08776    ,  0.00377353 ,  0.0351262  ])
1222    , -54526.7    , array([ 0.0108515  ,  1.08668    ,  0.00377731 ,  0.0351262  ])
1223    , -54528.7    , array([ 0.0108515  ,  1.08668    ,  0.00377353 ,  0.0351613  ])
1224    , -55645.9    , array([ 0.00402088 ,  1.65444    ,  0.00891087 ,  0.00151384 ])
1225    , -55645.9    , array([ 0.00402088 ,  1.65444    ,  0.00891087 ,  0.00151384 ])
1226    , -55649.8    , array([ 0.00402491 ,  1.65444    ,  0.00891087 ,  0.00151384 ])
1227    , -55645.9    , array([ 0.00402088 ,  1.6561     ,  0.00891087 ,  0.00151384 ])
1228    , -55641.7    , array([ 0.00402088 ,  1.65444    ,  0.00891979 ,  0.00151384 ])
1229    , -55644.2    , array([ 0.00402088 ,  1.65444    ,  0.00891087 ,  0.00151535 ])
1230    , -54089.9    , array([ 0.00903713 ,  1.1742     ,  0.00442099 ,  0.0196777  ])
1231    , -54089.9    , array([ 0.00903713 ,  1.1742     ,  0.00442099 ,  0.0196777  ])
1232    , -54091.2    , array([ 0.00904617 ,  1.1742     ,  0.00442099 ,  0.0196777  ])
1233    , -54089.6    , array([ 0.00903713 ,  1.17538    ,  0.00442099 ,  0.0196777  ])
1234    , -54088.6    , array([ 0.00903713 ,  1.1742     ,  0.00442541 ,  0.0196777  ])
1235    , -54089.2    , array([ 0.00903713 ,  1.1742     ,  0.00442099 ,  0.0196974  ])
1242    , -54089.9    , array([ 0.00903713 ,  1.17421    ,  0.00442099 ,  0.0196777  ])
1243    , -54089.9    , array([ 0.00903713 ,  1.17421    ,  0.00442099 ,  0.0196777  ])
