1500    , -56387.2    , array([ 0.00614845 ,  0.753374   ,  0.00559607 ,  0.0766877  ])
1501    , -56383.2    , array([ 0.0061546  ,  0.753374   ,  0.00559607 ,  0.0766877  ])
1502    , -56387.6    , array([ 0.00614845 ,  0.754127   ,  0.00559607 ,  0.0766877  ])
1503    , -56391.1    , array([ 0.00614845 ,  0.753374   ,  0.00560167 ,  0.0766877  ])
1504    , -56391.2    , array([ 0.00614845 ,  0.753374   ,  0.00559607 ,  0.0767644  ])
1505    , -56387.2    , array([ 0.00614845 ,  0.753374   ,  0.00559607 ,  0.0766877  ])
1506    , -55030.3    , array([ 0.0109538  ,  0.702719   ,  0.00313186 ,  0.0426272  ])
1507    , -55030.3    , array([ 0.0109538  ,  0.702719   ,  0.00313186 ,  0.0426272  ])
1508    , -55032      , array([ 0.0109647  ,  0.702719   ,  0.00313186 ,  0.0426272  ])
1509    , -55030.1    , array([ 0.0109538  ,  0.703422   ,  0.00313186 ,  0.0426272  ])
1510    , -55028.6    , array([ 0.0109538  ,  0.702719   ,  0.00313499 ,  0.0426272  ])
1511    , -55030.7    , array([ 0.0109538  ,  0.702719   ,  0.00313186 ,  0.0426698  ])
1512    , -54873.7    , array([ 0.00606887 ,  0.704209   ,  0.00536015 ,  0.00707369 ])
1513    , -54873.7    , array([ 0.00606887 ,  0.704209   ,  0.00536015 ,  0.00707369 ])
1514    , -54874.2    , array([ 0.00607495 ,  0.704209   ,  0.00536015 ,  0.00707369 ])
1515    , -54873.5    , array([ 0.00606887 ,  0.704913   ,  0.00536015 ,  0.00707369 ])
1516    , -54873.2    , array([ 0.00606887 ,  0.704209   ,  0.00536551 ,  0.00707369 ])
1517    , -54872.3    , array([ 0.00606887 ,  0.704209   ,  0.00536015 ,  0.00708077 ])
1518    , -55051.5    , array([ 0.0123107  ,  30.391     ,  0.0084733  ,  0.00562158 ])
1519    , -55051.5    , array([ 0.0123107  ,  30.391     ,  0.0084733  ,  0.00562158 ])
1520    , -55051.6    , array([ 0.012323   ,  30.391     ,  0.0084733  ,  0.00562158 ])
1521    , -55051.5    , array([ 0.0123107  ,  30.4214    ,  0.0084733  ,  0.00562158 ])
1522    , -55051.2    , array([ 0.0123107  ,  30.391     ,  0.00848178 ,  0.00562158 ])
1523    , -55050.2    , array([ 0.0123107  ,  30.391     ,  0.0084733  ,  0.0056272  ])
1524    , -54854.9    , array([ 0.00700733 ,  1.51386    ,  0.00588309 ,  0.00675088 ])
1525    , -54854.9    , array([ 0.00700733 ,  1.51386    ,  0.00588309 ,  0.00675088 ])
1526    , -54855.3    , array([ 0.00701434 ,  1.51386    ,  0.00588309 ,  0.00675088 ])
1527    , -54854.8    , array([ 0.00700733 ,  1.51537    ,  0.00588309 ,  0.00675088 ])
1528    , -54854.4    , array([ 0.00700733 ,  1.51386    ,  0.00588898 ,  0.00675088 ])
1529    , -54853.4    , array([ 0.00700733 ,  1.51386    ,  0.00588309 ,  0.00675763 ])
