1       , -33480.1    , array([ 0.00997714 ,  0.62984    ,  0.00345109 ,  0.0659654  ])
2       , -33482.7    , array([ 0.00998712 ,  0.62984    ,  0.00345109 ,  0.0659654  ])
3       , -33477.1    , array([ 0.00997714 ,  0.630471   ,  0.00345109 ,  0.0659654  ])
4       , -33477.5    , array([ 0.00997714 ,  0.62984    ,  0.00345454 ,  0.0659654  ])
5       , -33477.7    , array([ 0.00997714 ,  0.62984    ,  0.00345109 ,  0.0660314  ])
6       , -33480.1    , array([ 0.00997714 ,  0.62984    ,  0.00345109 ,  0.0659654  ])
7       , -27314.2    , array([ 0.00606992 ,  1.11025    ,  0.00567235 ,  0.103726   ])
8       , -27314.2    , array([ 0.00606992 ,  1.11025    ,  0.00567235 ,  0.103726   ])
9       , -27317.7    , array([ 0.00607599 ,  1.11025    ,  0.00567235 ,  0.103726   ])
10      , -27311.8    , array([ 0.00606992 ,  1.11136    ,  0.00567235 ,  0.103726   ])
11      , -27310.8    , array([ 0.00606992 ,  1.11025    ,  0.00567803 ,  0.103726   ])
12      , -27314.7    , array([ 0.00606992 ,  1.11025    ,  0.00567235 ,  0.10383    ])
13      , -98643.9    , array([ 0.00153443 ,  4.12358    ,  0.022225   ,  0.196862   ])
14      , -98643.9    , array([ 0.00153443 ,  4.12358    ,  0.022225   ,  0.196862   ])
15      , -98631.4    , array([ 0.00153597 ,  4.12358    ,  0.022225   ,  0.196862   ])
16      , -98655.8    , array([ 0.00153443 ,  4.12771    ,  0.022225   ,  0.196862   ])
17      , -98644      , array([ 0.00153443 ,  4.12358    ,  0.0222473  ,  0.196862   ])
18      , -98644.3    , array([ 0.00153443 ,  4.12358    ,  0.022225   ,  0.197059   ])
19      , -26958.1    , array([ 0.00581551 ,  1.15655    ,  0.00591874 ,  0.105816   ])
20      , -26958.1    , array([ 0.00581551 ,  1.15655    ,  0.00591874 ,  0.105816   ])
21      , -26961      , array([ 0.00582133 ,  1.15655    ,  0.00591874 ,  0.105816   ])
22      , -26955.8    , array([ 0.00581551 ,  1.15771    ,  0.00591874 ,  0.105816   ])
23      , -26955.2    , array([ 0.00581551 ,  1.15655    ,  0.00592466 ,  0.105816   ])
24      , -26959      , array([ 0.00581551 ,  1.15655    ,  0.00591874 ,  0.105922   ])
25      , -26324.2    , array([ 0.00589485 ,  1.59765    ,  0.00581825 ,  0.0991336  ])
26      , -26324.2    , array([ 0.00589485 ,  1.59765    ,  0.00581825 ,  0.0991336  ])
27      , -26327.3    , array([ 0.00590075 ,  1.59765    ,  0.00581825 ,  0.0991336  ])
28      , -26322.3    , array([ 0.00589485 ,  1.59925    ,  0.00581825 ,  0.0991336  ])
29      , -26321.2    , array([ 0.00589485 ,  1.59765    ,  0.00582407 ,  0.0991336  ])
30      , -26324.7    , array([ 0.00589485 ,  1.59765    ,  0.00581825 ,  0.0992328  ])
37      , -26324.2    , array([ 0.00589477 ,  1.59765    ,  0.00581817 ,  0.0991336  ])
38      , -26324.2    , array([ 0.00589477 ,  1.59765    ,  0.00581817 ,  0.0991336  ])
39      , -26327.3    , array([ 0.00590067 ,  1.59765    ,  0.00581817 ,  0.0991336  ])
40      , -26322.3    , array([ 0.00589477 ,  1.59925    ,  0.00581817 ,  0.0991336  ])
41      , -26321.2    , array([ 0.00589477 ,  1.59765    ,  0.005824   ,  0.0991336  ])
42      , -26324.7    , array([ 0.00589477 ,  1.59765    ,  0.00581817 ,  0.0992328  ])
49      , -26324.2    , array([ 0.00589475 ,  1.59765    ,  0.00581815 ,  0.0991336  ])
50      , -26324.2    , array([ 0.00589475 ,  1.59765    ,  0.00581815 ,  0.0991336  ])
51      , -26327.3    , array([ 0.00590064 ,  1.59765    ,  0.00581815 ,  0.0991336  ])
52      , -26322.3    , array([ 0.00589475 ,  1.59925    ,  0.00581815 ,  0.0991336  ])
53      , -26321.2    , array([ 0.00589475 ,  1.59765    ,  0.00582397 ,  0.0991336  ])
54      , -26324.7    , array([ 0.00589475 ,  1.59765    ,  0.00581815 ,  0.0992328  ])
61      , -26324.2    , array([ 0.00589473 ,  1.59765    ,  0.00581814 ,  0.0991336  ])
62      , -26324.2    , array([ 0.00589473 ,  1.59765    ,  0.00581814 ,  0.0991336  ])
63      , -26327.3    , array([ 0.00590063 ,  1.59765    ,  0.00581814 ,  0.0991336  ])
64      , -26322.3    , array([ 0.00589473 ,  1.59925    ,  0.00581814 ,  0.0991336  ])
65      , -26321.2    , array([ 0.00589473 ,  1.59765    ,  0.00582396 ,  0.0991336  ])
66      , -26324.7    , array([ 0.00589473 ,  1.59765    ,  0.00581814 ,  0.0992328  ])
67      , -26053      , array([ 0.00127099 ,  1.77372    ,  0.00127556 ,  0.0999948  ])
68      , -26053      , array([ 0.00127099 ,  1.77372    ,  0.00127556 ,  0.0999948  ])
69      , -26055.8    , array([ 0.00127226 ,  1.77372    ,  0.00127556 ,  0.0999948  ])
70      , -26051.3    , array([ 0.00127099 ,  1.77549    ,  0.00127556 ,  0.0999948  ])
71      , -26050.3    , array([ 0.00127099 ,  1.77372    ,  0.00127683 ,  0.0999948  ])
72      , -26053.6    , array([ 0.00127099 ,  1.77372    ,  0.00127556 ,  0.100095   ])
73      , -25557.4    , array([ 0.00279653 ,  2.1372     ,  0.00303834 ,  0.0954612  ])
74      , -25557.4    , array([ 0.00279653 ,  2.1372     ,  0.00303834 ,  0.0954612  ])
75      , -25559.6    , array([ 0.00279933 ,  2.1372     ,  0.00303834 ,  0.0954612  ])
76      , -25556.1    , array([ 0.00279653 ,  2.13933    ,  0.00303834 ,  0.0954612  ])
77      , -25555.2    , array([ 0.00279653 ,  2.1372     ,  0.00304138 ,  0.0954612  ])
78      , -25558.1    , array([ 0.00279653 ,  2.1372     ,  0.00303834 ,  0.0955567  ])
79      , -24797.9    , array([ 0.00234163 ,  3.30986    ,  0.00295415 ,  0.0847667  ])
80      , -24797.9    , array([ 0.00234163 ,  3.30986    ,  0.00295415 ,  0.0847667  ])
81      , -24798.8    , array([ 0.00234398 ,  3.30986    ,  0.00295415 ,  0.0847667  ])
82      , -24797.3    , array([ 0.00234163 ,  3.31317    ,  0.00295415 ,  0.0847667  ])
83      , -24797.2    , array([ 0.00234163 ,  3.30986    ,  0.00295711 ,  0.0847667  ])
84      , -24798.9    , array([ 0.00234163 ,  3.30986    ,  0.00295415 ,  0.0848515  ])
91      , -24797.9    , array([ 0.00234163 ,  3.30986    ,  0.00295415 ,  0.0847667  ])
92      , -24797.9    , array([ 0.00234163 ,  3.30986    ,  0.00295415 ,  0.0847667  ])
93      , -24798.8    , array([ 0.00234397 ,  3.30986    ,  0.00295415 ,  0.0847667  ])
94      , -24797.3    , array([ 0.00234163 ,  3.31317    ,  0.00295415 ,  0.0847667  ])
95      , -24797.2    , array([ 0.00234163 ,  3.30986    ,  0.0029571  ,  0.0847667  ])
96      , -24798.9    , array([ 0.00234163 ,  3.30986    ,  0.00295415 ,  0.0848515  ])
97      , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
98      , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
99      , -24416.6    , array([ 0.00104414 ,  5.16512    ,  0.00140366 ,  0.0732273  ])
100     , -24415.6    , array([ 0.0010431  ,  5.17029    ,  0.00140366 ,  0.0732273  ])
101     , -24415.3    , array([ 0.0010431  ,  5.16512    ,  0.00140506 ,  0.0732273  ])
102     , -24416.6    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0733006  ])
109     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
110     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
111     , -24416.6    , array([ 0.00104414 ,  5.16512    ,  0.00140366 ,  0.0732273  ])
112     , -24415.6    , array([ 0.0010431  ,  5.17029    ,  0.00140366 ,  0.0732273  ])
113     , -24415.3    , array([ 0.0010431  ,  5.16512    ,  0.00140506 ,  0.0732273  ])
114     , -24416.6    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0733005  ])
121     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
122     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
123     , -24416.6    , array([ 0.00104414 ,  5.16512    ,  0.00140366 ,  0.0732273  ])
124     , -24415.6    , array([ 0.0010431  ,  5.17029    ,  0.00140366 ,  0.0732273  ])
125     , -24415.3    , array([ 0.0010431  ,  5.16512    ,  0.00140506 ,  0.0732273  ])
126     , -24416.6    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0733005  ])
133     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
134     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
135     , -24416.6    , array([ 0.00104414 ,  5.16512    ,  0.00140366 ,  0.0732273  ])
136     , -24415.6    , array([ 0.0010431  ,  5.17029    ,  0.00140366 ,  0.0732273  ])
137     , -24415.3    , array([ 0.0010431  ,  5.16512    ,  0.00140506 ,  0.0732273  ])
138     , -24416.6    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0733005  ])
145     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
146     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
147     , -24416.6    , array([ 0.00104414 ,  5.16512    ,  0.00140366 ,  0.0732273  ])
148     , -24415.6    , array([ 0.0010431  ,  5.17029    ,  0.00140366 ,  0.0732273  ])
149     , -24415.3    , array([ 0.0010431  ,  5.16512    ,  0.00140506 ,  0.0732273  ])
150     , -24416.6    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0733005  ])
157     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
158     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
159     , -24416.6    , array([ 0.00104414 ,  5.16512    ,  0.00140366 ,  0.0732273  ])
160     , -24415.6    , array([ 0.0010431  ,  5.17029    ,  0.00140366 ,  0.0732273  ])
161     , -24415.3    , array([ 0.0010431  ,  5.16512    ,  0.00140506 ,  0.0732273  ])
162     , -24416.6    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0733005  ])
169     , -24415.9    , array([ 0.0010431  ,  5.16512    ,  0.00140366 ,  0.0732273  ])
