1       , -32567      , array([ 0.0074344  ,  0.574082   ,  0.00447526 ,  0.0492951  ])
2       , -32571.8    , array([ 0.00744183 ,  0.574082   ,  0.00447526 ,  0.0492951  ])
3       , -32564      , array([ 0.0074344  ,  0.574657   ,  0.00447526 ,  0.0492951  ])
4       , -32562.3    , array([ 0.0074344  ,  0.574082   ,  0.00447974 ,  0.0492951  ])
5       , -32563.9    , array([ 0.0074344  ,  0.574082   ,  0.00447526 ,  0.0493444  ])
6       , -32567      , array([ 0.0074344  ,  0.574082   ,  0.00447526 ,  0.0492951  ])
7       , -26607.9    , array([ 0.0040826  ,  0.843574   ,  0.00814754 ,  0.0729597  ])
8       , -26607.9    , array([ 0.0040826  ,  0.843574   ,  0.00814754 ,  0.0729597  ])
9       , -26603      , array([ 0.00408668 ,  0.843574   ,  0.00814754 ,  0.0729597  ])
10      , -26606.6    , array([ 0.0040826  ,  0.844418   ,  0.00814754 ,  0.0729597  ])
11      , -26612.8    , array([ 0.0040826  ,  0.843574   ,  0.00815569 ,  0.0729597  ])
12      , -26611.8    , array([ 0.0040826  ,  0.843574   ,  0.00814754 ,  0.0730327  ])
19      , -26607.6    , array([ 0.00408261 ,  0.843665   ,  0.00814751 ,  0.0729582  ])
20      , -26607.6    , array([ 0.00408261 ,  0.843665   ,  0.00814751 ,  0.0729582  ])
21      , -26602.7    , array([ 0.00408669 ,  0.843665   ,  0.00814751 ,  0.0729582  ])
22      , -26606.3    , array([ 0.00408261 ,  0.844509   ,  0.00814751 ,  0.0729582  ])
23      , -26612.6    , array([ 0.00408261 ,  0.843665   ,  0.00815567 ,  0.0729582  ])
24      , -26611.6    , array([ 0.00408261 ,  0.843665   ,  0.00814751 ,  0.0730312  ])
25      , -24047.3    , array([ 0.00426988 ,  16.7328    ,  0.00740215 ,  0.0421444  ])
26      , -24047.3    , array([ 0.00426988 ,  16.7328    ,  0.00740215 ,  0.0421444  ])
27      , -24048.4    , array([ 0.00427415 ,  16.7328    ,  0.00740215 ,  0.0421444  ])
28      , -24047.3    , array([ 0.00426988 ,  16.7495    ,  0.00740215 ,  0.0421444  ])
29      , -24046.3    , array([ 0.00426988 ,  16.7328    ,  0.00740955 ,  0.0421444  ])
30      , -24047.1    , array([ 0.00426988 ,  16.7328    ,  0.00740215 ,  0.0421866  ])
37      , -24047.3    , array([ 0.0042697  ,  16.7329    ,  0.00740234 ,  0.0421404  ])
38      , -24047.3    , array([ 0.0042697  ,  16.7329    ,  0.00740234 ,  0.0421404  ])
39      , -24048.3    , array([ 0.00427397 ,  16.7329    ,  0.00740234 ,  0.0421404  ])
40      , -24047.3    , array([ 0.0042697  ,  16.7496    ,  0.00740234 ,  0.0421404  ])
41      , -24046.3    , array([ 0.0042697  ,  16.7329    ,  0.00740974 ,  0.0421404  ])
42      , -24047      , array([ 0.0042697  ,  16.7329    ,  0.00740234 ,  0.0421826  ])
43      , -24039.6    , array([ 0.00352512 ,  17.0915    ,  0.00832419 ,  0.027478   ])
44      , -24039.6    , array([ 0.00352512 ,  17.0915    ,  0.00832419 ,  0.027478   ])
45      , -24036.9    , array([ 0.00352865 ,  17.0915    ,  0.00832419 ,  0.027478   ])
46      , -24039.6    , array([ 0.00352512 ,  17.1086    ,  0.00832419 ,  0.027478   ])
47      , -24042.3    , array([ 0.00352512 ,  17.0915    ,  0.00833252 ,  0.027478   ])
48      , -24040.8    , array([ 0.00352512 ,  17.0915    ,  0.00832419 ,  0.0275055  ])
49      , -23988.8    , array([ 0.00396298 ,  16.8715    ,  0.00774816 ,  0.0356822  ])
50      , -23988.8    , array([ 0.00396298 ,  16.8715    ,  0.00774816 ,  0.0356822  ])
51      , -23988.9    , array([ 0.00396694 ,  16.8715    ,  0.00774816 ,  0.0356822  ])
52      , -23988.8    , array([ 0.00396298 ,  16.8884    ,  0.00774816 ,  0.0356822  ])
53      , -23988.7    , array([ 0.00396298 ,  16.8715    ,  0.00775591 ,  0.0356822  ])
54      , -23988.9    , array([ 0.00396298 ,  16.8715    ,  0.00774816 ,  0.0357179  ])
61      , -23988.8    , array([ 0.00396298 ,  16.8715    ,  0.00774816 ,  0.0356822  ])
62      , -23988.8    , array([ 0.00396298 ,  16.8715    ,  0.00774816 ,  0.0356822  ])
63      , -23988.9    , array([ 0.00396694 ,  16.8715    ,  0.00774816 ,  0.0356822  ])
64      , -23988.8    , array([ 0.00396298 ,  16.8884    ,  0.00774816 ,  0.0356822  ])
65      , -23988.7    , array([ 0.00396298 ,  16.8715    ,  0.00775591 ,  0.0356822  ])
66      , -23988.9    , array([ 0.00396298 ,  16.8715    ,  0.00774816 ,  0.0357179  ])
67      , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
68      , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
69      , -23964.5    , array([ 0.00124465 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
70      , -23964.7    , array([ 0.00124341 ,  17.1469    ,  0.00246428 ,  0.0352051  ])
71      , -23964.9    , array([ 0.00124341 ,  17.1298    ,  0.00246674 ,  0.0352051  ])
72      , -23965      , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352403  ])
79      , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
80      , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
81      , -23964.5    , array([ 0.00124465 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
82      , -23964.7    , array([ 0.00124341 ,  17.1469    ,  0.00246428 ,  0.0352051  ])
83      , -23964.9    , array([ 0.00124341 ,  17.1298    ,  0.00246674 ,  0.0352051  ])
84      , -23965      , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352403  ])
91      , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
92      , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
93      , -23964.5    , array([ 0.00124465 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
94      , -23964.7    , array([ 0.00124341 ,  17.1469    ,  0.00246428 ,  0.0352051  ])
95      , -23964.9    , array([ 0.00124341 ,  17.1298    ,  0.00246674 ,  0.0352051  ])
96      , -23965      , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352403  ])
103     , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
104     , -23964.7    , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
105     , -23964.5    , array([ 0.00124465 ,  17.1298    ,  0.00246428 ,  0.0352051  ])
106     , -23964.7    , array([ 0.00124341 ,  17.1469    ,  0.00246428 ,  0.0352051  ])
107     , -23964.9    , array([ 0.00124341 ,  17.1298    ,  0.00246674 ,  0.0352051  ])
108     , -23965      , array([ 0.00124341 ,  17.1298    ,  0.00246428 ,  0.0352403  ])
111     , -23957.6    , array([ 0.00100069 ,  17.12      ,  0.00201085 ,  0.034167   ])
115     , -23962.3    , array([ 0.00115658 ,  17.1265    ,  0.0023035  ,  0.0348572  ])
116     , -23962.3    , array([ 0.00115658 ,  17.1265    ,  0.0023035  ,  0.0348572  ])
117     , -23962.1    , array([ 0.00115774 ,  17.1265    ,  0.0023035  ,  0.0348572  ])
118     , -23962.3    , array([ 0.00115658 ,  17.1437    ,  0.0023035  ,  0.0348572  ])
119     , -23962.6    , array([ 0.00115658 ,  17.1265    ,  0.00230581 ,  0.0348572  ])
120     , -23962.6    , array([ 0.00115658 ,  17.1265    ,  0.0023035  ,  0.0348921  ])
121     , -23959.3    , array([ 0.00105049 ,  17.1222    ,  0.00210592 ,  0.0344001  ])
122     , -23959.3    , array([ 0.00105049 ,  17.1222    ,  0.00210592 ,  0.0344001  ])
123     , -23959.1    , array([ 0.00105154 ,  17.1222    ,  0.00210592 ,  0.0344001  ])
124     , -23959.3    , array([ 0.00105049 ,  17.1393    ,  0.00210592 ,  0.0344001  ])
125     , -23959.6    , array([ 0.00105049 ,  17.1222    ,  0.00210803 ,  0.0344001  ])
126     , -23959.6    , array([ 0.00105049 ,  17.1222    ,  0.00210592 ,  0.0344345  ])
127     , -23958.3    , array([ 0.00101668 ,  17.1207    ,  0.00204268 ,  0.034246   ])
128     , -23958.3    , array([ 0.00101668 ,  17.1207    ,  0.00204268 ,  0.034246   ])
129     , -23958.1    , array([ 0.00101769 ,  17.1207    ,  0.00204268 ,  0.034246   ])
130     , -23958.3    , array([ 0.00101668 ,  17.1379    ,  0.00204268 ,  0.034246   ])
131     , -23958.6    , array([ 0.00101668 ,  17.1207    ,  0.00204473 ,  0.034246   ])
132     , -23958.6    , array([ 0.00101668 ,  17.1207    ,  0.00204268 ,  0.0342803  ])
133     , -23958      , array([ 0.00100543 ,  17.1203    ,  0.00202161 ,  0.0341938  ])
134     , -23958      , array([ 0.00100543 ,  17.1203    ,  0.00202161 ,  0.0341938  ])
135     , -23957.7    , array([ 0.00100644 ,  17.1203    ,  0.00202161 ,  0.0341938  ])
136     , -23958      , array([ 0.00100543 ,  17.1374    ,  0.00202161 ,  0.0341938  ])
137     , -23958.3    , array([ 0.00100543 ,  17.1203    ,  0.00202364 ,  0.0341938  ])
138     , -23958.3    , array([ 0.00100543 ,  17.1203    ,  0.00202161 ,  0.034228   ])
139     , -23957.9    , array([ 0.00100164 ,  17.1201    ,  0.0020145  ,  0.0341761  ])
140     , -23957.9    , array([ 0.00100164 ,  17.1201    ,  0.0020145  ,  0.0341761  ])
141     , -23957.6    , array([ 0.00100264 ,  17.1201    ,  0.0020145  ,  0.0341761  ])
142     , -23957.9    , array([ 0.00100164 ,  17.1372    ,  0.0020145  ,  0.0341761  ])
143     , -23958.2    , array([ 0.00100164 ,  17.1201    ,  0.00201652 ,  0.0341761  ])
144     , -23958.2    , array([ 0.00100164 ,  17.1201    ,  0.0020145  ,  0.0342103  ])
145     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
146     , -23957.8    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0341701  ])
147     , -23957.6    , array([ 0.00100135 ,  17.12      ,  0.00201209 ,  0.0341701  ])
148     , -23957.8    , array([ 0.00100035 ,  17.1372    ,  0.00201209 ,  0.0341701  ])
149     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.0020141  ,  0.0341701  ])
150     , -23958.1    , array([ 0.00100035 ,  17.12      ,  0.00201209 ,  0.0342043  ])
