Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-2020.29	4050.58	1362.63	7653.95	2.5426,0.2321,1.1536,3.6362,30.0
our_model	Round_1_Replicate_2	-1979.85	3969.7	1271.38	12092.93	1.6623,0.1133,1.8778,7.6284,29.9998
our_model	Round_1_Replicate_3	-1980.11	3970.22	1273.64	10681.3	1.8809,0.131,1.661,6.5828,30.0
our_model	Round_1_Replicate_4	-1421.89	2853.78	227.2	19876.21	0.9688,0.132,5.5932,0.4223,0.0574
our_model	Round_1_Replicate_5	-2053.66	4117.32	1429.47	9723.2	1.9769,0.1984,1.4548,4.2162,30.0
our_model	Round_1_Replicate_6	-1634.41	3278.82	639.65	19413.91	1.0102,0.1742,5.2833,0.3208,0.0762
our_model	Round_1_Replicate_7	-1433.74	2877.48	244.78	20669.88	0.7734,0.0721,5.8117,5.5307,0.0397
our_model	Round_1_Replicate_8	-1312.56	2635.12	3.27	19994.68	0.9939,0.1029,5.0607,2.1602,0.0503
our_model	Round_1_Replicate_9	-1318.76	2647.52	15.79	20063.38	0.9693,0.1033,5.2994,1.7921,0.0492
our_model	Round_1_Replicate_10	-2468.86	4947.72	2194.37	5678.8	3.1317,0.5213,0.8449,1.5199,30.0
our_model	Round_2_Replicate_1	-1316.03	2642.06	10.22	20051.9	0.958,0.1074,5.3006,2.0994,0.0536
our_model	Round_2_Replicate_2	-1395.14	2800.28	171.55	20062.71	1.0988,0.0658,3.9691,4.9579,0.032
our_model	Round_2_Replicate_3	-1332.44	2674.88	42.53	20027.86	0.9303,0.1171,5.2734,1.8337,0.0586
our_model	Round_2_Replicate_4	-1359.14	2728.28	94.18	19754.4	1.0069,0.1295,4.9834,1.6401,0.0661
our_model	Round_2_Replicate_5	-1343.12	2696.24	63.11	19768.82	1.0171,0.1237,4.9278,1.706,0.0614
our_model	Round_2_Replicate_6	-1649.96	3309.92	712.51	20415.48	0.8625,0.0375,1.647,6.7102,0.0158
our_model	Round_2_Replicate_7	-1634.41	3278.82	676.81	20112.74	1.3286,0.0364,1.1679,10.2332,0.0168
our_model	Round_2_Replicate_8	-1507.92	3025.84	415.51	19995.91	1.363,0.0519,2.9923,5.161,0.023
our_model	Round_2_Replicate_9	-1313.33	2636.66	4.82	20088.1	0.9671,0.1017,5.3394,2.4403,0.0518
our_model	Round_2_Replicate_10	-1542.21	3094.42	487.49	20147.39	1.1582,0.0472,2.6066,5.3165,0.0202
our_model	Round_3_Replicate_1	-1311.56	2633.12	1.25	20031.4	0.9885,0.0977,4.9756,2.689,0.0492
our_model	Round_3_Replicate_2	-1312.68	2635.36	3.52	20015.98	1.009,0.0947,4.9013,2.7129,0.0471
our_model	Round_3_Replicate_3	-1317.63	2645.26	13.28	19914.72	1.0026,0.1107,5.0298,2.0942,0.0554
our_model	Round_3_Replicate_4	-1311.26	2632.52	0.66	20022.18	0.997,0.0979,5.0084,2.5388,0.0487
our_model	Round_3_Replicate_5	-1351.19	2712.38	82.16	19918.68	1.1653,0.0828,4.648,2.5335,0.0382
our_model	Round_3_Replicate_6	-1342.85	2695.7	63.94	19843.97	1.008,0.1213,5.2021,1.4197,0.0578
our_model	Round_3_Replicate_7	-1311.82	2633.64	1.78	19956.68	1.0183,0.1023,5.0376,2.4347,0.0513
our_model	Round_3_Replicate_8	-1363.16	2736.32	106.57	19876.36	1.2215,0.0781,4.3869,3.2997,0.0369
our_model	Round_3_Replicate_9	-1338.98	2687.96	56.79	20049.01	1.0447,0.0796,4.4851,3.5309,0.0389
our_model	Round_3_Replicate_10	-1314.16	2638.32	6.44	20071.12	0.9776,0.0941,4.9525,2.921,0.0474
our_model	Round_3_Replicate_11	-1311.85	2633.7	1.84	19972.67	1.0021,0.1036,5.0469,2.3486,0.0516
our_model	Round_3_Replicate_12	-1322.62	2655.24	23.67	20052.74	1.0156,0.0887,4.8706,2.5542,0.0421
our_model	Round_3_Replicate_13	-1354.37	2718.74	89.06	20004.69	1.1028,0.0793,4.5654,2.6244,0.0361
our_model	Round_3_Replicate_14	-1311.22	2632.44	0.57	19985.94	1.0006,0.1021,5.0288,2.4061,0.0511
our_model	Round_3_Replicate_15	-1363.49	2736.98	107.0	20193.35	0.9861,0.0722,4.6018,4.2859,0.0359
our_model	Round_3_Replicate_16	-1315.77	2641.54	9.69	19871.89	1.0533,0.1054,4.9904,2.3608,0.0529
our_model	Round_3_Replicate_17	-1311.1	2632.2	0.34	19974.19	1.0141,0.1002,4.9758,2.4785,0.05
our_model	Round_3_Replicate_18	-1314.38	2638.76	6.89	20083.6	0.9744,0.094,5.021,2.9248,0.0473
our_model	Round_3_Replicate_19	-1311.71	2633.42	1.55	19981.76	1.006,0.1009,4.9843,2.6354,0.0515
our_model	Round_3_Replicate_20	-1318.2	2646.4	14.55	19921.17	1.0741,0.093,4.7799,3.0488,0.047
