Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-1354.61	2719.22	88.72	19968.27	0.9714,0.1145,5.3397,1.0113,0.051
our_model	Round_1_Replicate_2	-1442.66	2895.32	274.53	20173.73	0.8891,0.1337,6.5887,0.6336,0.0621
our_model	Round_1_Replicate_3	-1550.27	3110.54	469.71	19633.44	0.9553,0.1663,5.5231,0.6407,0.0783
our_model	Round_1_Replicate_4	-1483.47	2976.94	345.87	19801.65	0.9423,0.1494,5.6888,0.6173,0.0675
our_model	Round_1_Replicate_5	-2025.86	4061.72	1373.96	8213.03	2.364,0.2198,1.2359,3.8335,30.0
our_model	Round_1_Replicate_6	-2606.04	5222.08	2438.51	3198.58	5.4931,0.9986,0.4774,0.7845,30.0
our_model	Round_1_Replicate_7	-1986.16	3982.32	1289.65	6700.18	2.9666,0.2273,1.0286,3.7672,30.0
our_model	Round_1_Replicate_8	-1328.3	2666.6	34.81	19869.86	1.0196,0.1155,5.2148,1.8467,0.0568
our_model	Round_1_Replicate_9	-2361.59	4733.18	2003.41	3997.13	4.5249,0.6873,0.5926,1.1659,30.0
our_model	Round_1_Replicate_10	-2453.64	4917.28	2184.31	2247.63	8.164,1.2588,0.3282,0.6365,30.0
our_model	Round_2_Replicate_1	-1529.74	3069.48	423.62	19141.91	1.1531,0.1563,4.421,1.7124,0.089
our_model	Round_2_Replicate_2	-1328.44	2666.88	34.79	20015.49	1.0185,0.0856,4.3922,3.1785,0.0414
our_model	Round_2_Replicate_3	-1466.11	2942.22	319.02	20217.78	1.0445,0.0541,3.8328,6.9588,0.0274
our_model	Round_2_Replicate_4	-1312.47	2634.94	3.07	19904.12	1.0343,0.1028,4.8478,2.486,0.0515
our_model	Round_2_Replicate_5	-1311.12	2632.24	0.38	19994.5	0.9976,0.1017,5.0338,2.4187,0.0508
our_model	Round_2_Replicate_6	-2655.21	5320.42	2584.26	53436.59	0.3039,0.06,9.4411,11.4023,0.7577
our_model	Round_2_Replicate_7	-1364.78	2739.56	109.71	19904.94	1.1841,0.0765,4.1906,3.3855,0.0355
our_model	Round_2_Replicate_8	-1673.39	3356.78	768.51	20278.25	1.0512,0.0343,0.6501,7.9924,0.0145
our_model	Round_2_Replicate_9	-1460.41	2930.82	296.28	20241.75	0.8078,0.1402,6.0399,1.0589,0.0681
our_model	Round_2_Replicate_10	-1744.97	3499.94	950.74	20321.72	1.0841,0.029,0.01,8.4423,0.0121
our_model	Round_3_Replicate_1	-1627.77	3265.54	675.02	20409.18	0.8997,0.0391,2.6598,6.3664,0.0165
