1142    , -6100.82    , array([ 1.62204    ,  0.255847   ,  8.69525    ,  0.895484   ,  0.184054   ])
1143    , -6104.94    , array([ 1.62367    ,  0.255847   ,  8.69525    ,  0.895484   ,  0.184054   ])
1144    , -6106.39    , array([ 1.62204    ,  0.256103   ,  8.69525    ,  0.895484   ,  0.184054   ])
1145    , -6109.34    , array([ 1.62204    ,  0.255847   ,  8.70394    ,  0.895484   ,  0.184054   ])
1146    , -6101.4     , array([ 1.62204    ,  0.255847   ,  8.69525    ,  0.89638    ,  0.184054   ])
1147    , -6103.45    , array([ 1.62204    ,  0.255847   ,  8.69525    ,  0.895484   ,  0.184238   ])
1148    , -6100.82    , array([ 1.62204    ,  0.255847   ,  8.69525    ,  0.895484   ,  0.184054   ])
1149    , -4733.03    , array([ 1.12277    ,  0.15558    ,  4.06163    ,  0.849978   ,  0.145515   ])
1150    , -4733.03    , array([ 1.12277    ,  0.15558    ,  4.06163    ,  0.849978   ,  0.145515   ])
1151    , -4733.77    , array([ 1.12389    ,  0.15558    ,  4.06163    ,  0.849978   ,  0.145515   ])
1152    , -4720.31    , array([ 1.12277    ,  0.155736   ,  4.06163    ,  0.849978   ,  0.145515   ])
1153    , -4730.18    , array([ 1.12277    ,  0.15558    ,  4.06569    ,  0.849978   ,  0.145515   ])
1154    , -4730.69    , array([ 1.12277    ,  0.15558    ,  4.06163    ,  0.850828   ,  0.145515   ])
1155    , -4741.29    , array([ 1.12277    ,  0.15558    ,  4.06163    ,  0.849978   ,  0.145661   ])
1156    , -2793.98    , array([ 0.963095   ,  0.168975   ,  3.24362    ,  0.875723   ,  0.111903   ])
1157    , -2793.98    , array([ 0.963095   ,  0.168975   ,  3.24362    ,  0.875723   ,  0.111903   ])
1158    , -2792.83    , array([ 0.964058   ,  0.168975   ,  3.24362    ,  0.875723   ,  0.111903   ])
1159    , -2788.1     , array([ 0.963095   ,  0.169144   ,  3.24362    ,  0.875723   ,  0.111903   ])
1160    , -2791.67    , array([ 0.963095   ,  0.168975   ,  3.24686    ,  0.875723   ,  0.111903   ])
1161    , -2792.89    , array([ 0.963095   ,  0.168975   ,  3.24362    ,  0.876599   ,  0.111903   ])
1162    , -2798.99    , array([ 0.963095   ,  0.168975   ,  3.24362    ,  0.875723   ,  0.112015   ])
1163    , -2643.32    , array([ 1.7174     ,  0.116032   ,  2.83458    ,  0.85776    ,  0.0351883  ])
1164    , -2643.32    , array([ 1.7174     ,  0.116032   ,  2.83458    ,  0.85776    ,  0.0351883  ])
1165    , -2643.76    , array([ 1.71912    ,  0.116032   ,  2.83458    ,  0.85776    ,  0.0351883  ])
1166    , -2651.27    , array([ 1.7174     ,  0.116148   ,  2.83458    ,  0.85776    ,  0.0351883  ])
1167    , -2643.76    , array([ 1.7174     ,  0.116032   ,  2.83741    ,  0.85776    ,  0.0351883  ])
1168    , -2643.63    , array([ 1.7174     ,  0.116032   ,  2.83458    ,  0.858618   ,  0.0351883  ])
1169    , -2636.34    , array([ 1.7174     ,  0.116032   ,  2.83458    ,  0.85776    ,  0.0352235  ])
1170    , -1608       , array([ 1.23205    ,  0.143984   ,  3.06269    ,  0.868029   ,  0.0683769  ])
1171    , -1608       , array([ 1.23205    ,  0.143984   ,  3.06269    ,  0.868029   ,  0.0683769  ])
1172    , -1607.95    , array([ 1.23328    ,  0.143984   ,  3.06269    ,  0.868029   ,  0.0683769  ])
1173    , -1606.92    , array([ 1.23205    ,  0.144128   ,  3.06269    ,  0.868029   ,  0.0683769  ])
1174    , -1607.38    , array([ 1.23205    ,  0.143984   ,  3.06576    ,  0.868029   ,  0.0683769  ])
1175    , -1607.81    , array([ 1.23205    ,  0.143984   ,  3.06269    ,  0.868897   ,  0.0683769  ])
1176    , -1609.51    , array([ 1.23205    ,  0.143984   ,  3.06269    ,  0.868029   ,  0.0684453  ])
1184    , -1607.99    , array([ 1.23204    ,  0.143983   ,  3.06272    ,  0.868027   ,  0.0683763  ])
1185    , -1607.99    , array([ 1.23204    ,  0.143983   ,  3.06272    ,  0.868027   ,  0.0683763  ])
1186    , -1607.94    , array([ 1.23327    ,  0.143983   ,  3.06272    ,  0.868027   ,  0.0683763  ])
1187    , -1606.91    , array([ 1.23204    ,  0.144127   ,  3.06272    ,  0.868027   ,  0.0683763  ])
1188    , -1607.37    , array([ 1.23204    ,  0.143983   ,  3.06579    ,  0.868027   ,  0.0683763  ])
1189    , -1607.8     , array([ 1.23204    ,  0.143983   ,  3.06272    ,  0.868896   ,  0.0683763  ])
1190    , -1609.51    , array([ 1.23204    ,  0.143983   ,  3.06272    ,  0.868027   ,  0.0684448  ])
1191    , -1443.77    , array([ 0.914842   ,  0.116527   ,  4.23851    ,  0.813509   ,  0.0536093  ])
1192    , -1443.77    , array([ 0.914842   ,  0.116527   ,  4.23851    ,  0.813509   ,  0.0536093  ])
1193    , -1443.26    , array([ 0.915758   ,  0.116527   ,  4.23851    ,  0.813509   ,  0.0536093  ])
1194    , -1442.77    , array([ 0.914842   ,  0.116644   ,  4.23851    ,  0.813509   ,  0.0536093  ])
1195    , -1443.28    , array([ 0.914842   ,  0.116527   ,  4.24275    ,  0.813509   ,  0.0536093  ])
1196    , -1443.63    , array([ 0.914842   ,  0.116527   ,  4.23851    ,  0.814323   ,  0.0536093  ])
1197    , -1444.8     , array([ 0.914842   ,  0.116527   ,  4.23851    ,  0.813509   ,  0.0536629  ])
1198    , -9787.49    , array([ 0.786836   ,  0.217864   ,  4.43286    ,  0.00815213 ,  0.037714   ])
1199    , -9787.49    , array([ 0.786836   ,  0.217864   ,  4.43286    ,  0.00815213 ,  0.037714   ])
1200    , -9788.07    , array([ 0.787623   ,  0.217864   ,  4.43286    ,  0.00815213 ,  0.037714   ])
1201    , -9805       , array([ 0.786836   ,  0.218082   ,  4.43286    ,  0.00815213 ,  0.037714   ])
1202    , -9789.15    , array([ 0.786836   ,  0.217864   ,  4.43729    ,  0.00815213 ,  0.037714   ])
1203    , -9787.5     , array([ 0.786836   ,  0.217864   ,  4.43286    ,  0.00816029 ,  0.037714   ])
1204    , -9771.5     , array([ 0.786836   ,  0.217864   ,  4.43286    ,  0.00815213 ,  0.0377517  ])
1205    , -1439.1     , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1206    , -1439.1     , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1207    , -1438.59    , array([ 0.913257   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1208    , -1438.43    , array([ 0.912344   ,  0.117975   ,  4.24196    ,  0.748345   ,  0.0532684  ])
1209    , -1438.65    , array([ 0.912344   ,  0.117858   ,  4.2462     ,  0.748345   ,  0.0532684  ])
1210    , -1439       , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.749094   ,  0.0532684  ])
1211    , -1439.9     , array([ 0.912344   ,  0.117858   ,  4.24196    ,  0.748345   ,  0.0533217  ])
1212    , -1430.2     , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0526862  ])
1213    , -1430.2     , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0526862  ])
1214    , -1429.72    , array([ 0.91986    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0526862  ])
1215    , -1429.54    , array([ 0.91894    ,  0.11691    ,  4.25437    ,  0.760987   ,  0.0526862  ])
1216    , -1429.76    , array([ 0.91894    ,  0.116793   ,  4.25862    ,  0.760987   ,  0.0526862  ])
1217    , -1430.1     , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.761749   ,  0.0526862  ])
1218    , -1430.96    , array([ 0.91894    ,  0.116793   ,  4.25437    ,  0.760987   ,  0.0527389  ])
1219    , -1400.12    , array([ 0.945804   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504206  ])
1220    , -1400.12    , array([ 0.945804   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504206  ])
1221    , -1399.77    , array([ 0.946751   ,  0.11263    ,  4.30436    ,  0.813728   ,  0.0504206  ])
1222    , -1399.57    , array([ 0.945804   ,  0.112742   ,  4.30436    ,  0.813728   ,  0.0504206  ])
