1369    , -11206.3    , array([ 3.01016    ,  0.314166   ,  0.829787   ,  5.15606    ,  0.381857   ])
1370    , -11211.5    , array([ 3.01318    ,  0.314166   ,  0.829787   ,  5.15606    ,  0.381857   ])
1371    , -11219.6    , array([ 3.01016    ,  0.31448    ,  0.829787   ,  5.15606    ,  0.381857   ])
1372    , -11206.1    , array([ 3.01016    ,  0.314166   ,  0.830617   ,  5.15606    ,  0.381857   ])
1373    , -11216.3    , array([ 3.01016    ,  0.314166   ,  0.829787   ,  5.16122    ,  0.381857   ])
1374    , -11207.9    , array([ 3.01016    ,  0.314166   ,  0.829787   ,  5.15606    ,  0.382239   ])
1375    , -11206.3    , array([ 3.01016    ,  0.314166   ,  0.829787   ,  5.15606    ,  0.381857   ])
1376    , -8942.04    , array([ 2.23351    ,  0.14548    ,  0.840364   ,  2.90411    ,  0.347967   ])
1377    , -8942.04    , array([ 2.23351    ,  0.14548    ,  0.840364   ,  2.90411    ,  0.347967   ])
1378    , -8945.87    , array([ 2.23575    ,  0.14548    ,  0.840364   ,  2.90411    ,  0.347967   ])
1379    , -8931.02    , array([ 2.23351    ,  0.145626   ,  0.840364   ,  2.90411    ,  0.347967   ])
1380    , -8939.96    , array([ 2.23351    ,  0.14548    ,  0.841205   ,  2.90411    ,  0.347967   ])
1381    , -8931.91    , array([ 2.23351    ,  0.14548    ,  0.840364   ,  2.90701    ,  0.347967   ])
1382    , -8944.08    , array([ 2.23351    ,  0.14548    ,  0.840364   ,  2.90411    ,  0.348315   ])
1383    , -6650.41    , array([ 0.999994   ,  0.134333   ,  1.04408    ,  3.2848     ,  0.249878   ])
1384    , -6650.41    , array([ 0.999994   ,  0.134333   ,  1.04408    ,  3.2848     ,  0.249878   ])
1385    , -6648.12    , array([ 1.00099    ,  0.134333   ,  1.04408    ,  3.2848     ,  0.249878   ])
1386    , -6641.65    , array([ 0.999994   ,  0.134468   ,  1.04408    ,  3.2848     ,  0.249878   ])
1387    , -6647.64    , array([ 0.999994   ,  0.134333   ,  1.04512    ,  3.2848     ,  0.249878   ])
1388    , -6642.06    , array([ 0.999994   ,  0.134333   ,  1.04408    ,  3.28808    ,  0.249878   ])
1389    , -6652.4     , array([ 0.999994   ,  0.134333   ,  1.04408    ,  3.2848     ,  0.250128   ])
1390    , -2383.74    , array([ 0.85352    ,  0.0897834  ,  3.21628    ,  4.75813    ,  0.0782986  ])
1391    , -2383.74    , array([ 0.85352    ,  0.0897834  ,  3.21628    ,  4.75813    ,  0.0782986  ])
1392    , -2382.81    , array([ 0.854374   ,  0.0897834  ,  3.21628    ,  4.75813    ,  0.0782986  ])
1393    , -2377.94    , array([ 0.85352    ,  0.0898732  ,  3.21628    ,  4.75813    ,  0.0782986  ])
1394    , -2382.55    , array([ 0.85352    ,  0.0897834  ,  3.2195     ,  4.75813    ,  0.0782986  ])
1395    , -2381.41    , array([ 0.85352    ,  0.0897834  ,  3.21628    ,  4.76289    ,  0.0782986  ])
1396    , -2386.74    , array([ 0.85352    ,  0.0897834  ,  3.21628    ,  4.75813    ,  0.078377   ])
1404    , -2383.62    , array([ 0.853517   ,  0.089783   ,  3.21637    ,  4.75814    ,  0.0782957  ])
1405    , -2383.62    , array([ 0.853517   ,  0.089783   ,  3.21637    ,  4.75814    ,  0.0782957  ])
1406    , -2382.69    , array([ 0.854371   ,  0.089783   ,  3.21637    ,  4.75814    ,  0.0782957  ])
1407    , -2377.82    , array([ 0.853517   ,  0.0898728  ,  3.21637    ,  4.75814    ,  0.0782957  ])
1408    , -2382.42    , array([ 0.853517   ,  0.089783   ,  3.21959    ,  4.75814    ,  0.0782957  ])
1409    , -2381.29    , array([ 0.853517   ,  0.089783   ,  3.21637    ,  4.7629     ,  0.0782957  ])
1410    , -2386.62    , array([ 0.853517   ,  0.089783   ,  3.21637    ,  4.75814    ,  0.078374   ])
1411    , -2874       , array([ 0.769709   ,  0.0801294  ,  6.8506     ,  5.01783    ,  0.0282093  ])
1412    , -2874       , array([ 0.769709   ,  0.0801294  ,  6.8506     ,  5.01783    ,  0.0282093  ])
1413    , -2873.97    , array([ 0.770479   ,  0.0801294  ,  6.8506     ,  5.01783    ,  0.0282093  ])
1414    , -2882.36    , array([ 0.769709   ,  0.0802096  ,  6.8506     ,  5.01783    ,  0.0282093  ])
1415    , -2874.96    , array([ 0.769709   ,  0.0801294  ,  6.85745    ,  5.01783    ,  0.0282093  ])
1416    , -2875.54    , array([ 0.769709   ,  0.0801294  ,  6.8506     ,  5.02285    ,  0.0282093  ])
1417    , -2867.83    , array([ 0.769709   ,  0.0801294  ,  6.8506     ,  5.01783    ,  0.0282375  ])
1418    , -1421.8     , array([ 0.813352   ,  0.085144   ,  4.57622    ,  4.87754    ,  0.0486375  ])
1419    , -1421.8     , array([ 0.813352   ,  0.085144   ,  4.57622    ,  4.87754    ,  0.0486375  ])
1420    , -1421.22    , array([ 0.814166   ,  0.085144   ,  4.57622    ,  4.87754    ,  0.0486375  ])
1421    , -1421.69    , array([ 0.813352   ,  0.0852292  ,  4.57622    ,  4.87754    ,  0.0486375  ])
1422    , -1421.57    , array([ 0.813352   ,  0.085144   ,  4.5808     ,  4.87754    ,  0.0486375  ])
1423    , -1421.92    , array([ 0.813352   ,  0.085144   ,  4.57622    ,  4.88242    ,  0.0486375  ])
1424    , -1422.02    , array([ 0.813352   ,  0.085144   ,  4.57622    ,  4.87754    ,  0.0486861  ])
1432    , -1421.8     , array([ 0.813347   ,  0.0851456  ,  4.57645    ,  4.87741    ,  0.048639   ])
1433    , -1421.8     , array([ 0.813347   ,  0.0851456  ,  4.57645    ,  4.87741    ,  0.048639   ])
1434    , -1421.21    , array([ 0.81416    ,  0.0851456  ,  4.57645    ,  4.87741    ,  0.048639   ])
1435    , -1421.68    , array([ 0.813347   ,  0.0852307  ,  4.57645    ,  4.87741    ,  0.048639   ])
1436    , -1421.56    , array([ 0.813347   ,  0.0851456  ,  4.58103    ,  4.87741    ,  0.048639   ])
1437    , -1421.92    , array([ 0.813347   ,  0.0851456  ,  4.57645    ,  4.88229    ,  0.048639   ])
