16024   , -79089.4    , array([ 7.83288    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16025   , -79089.4    , array([ 7.83288    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16026   , -79089.4    , array([ 8.83288    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16027   , -79089.4    , array([ 10.4509    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16028   , -79089.4    , array([ 8.83288    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16029   , -79089.4    , array([ 9.45091    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16030   , -79089.4    , array([ 9.83288    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16031   , -79089.4    , array([ 10.0689    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16032   , -79089.4    , array([ 10.2148    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16033   , -79089.4    , array([ 10.305     ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16034   , -79089.4    , array([ 10.3607    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16035   , -79089.4    , array([ 10.3952    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16036   , -79089.4    , array([ 10.4208    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16037   , -79089.4    , array([ 10.4208    ,  0.101789   ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16038   , -79089.4    , array([ 10.4208    ,  1.10179    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16039   , -79089.4    , array([ 10.4208    ,  2.71982    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16040   , -79089.4    , array([ 10.4208    ,  1.10179    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16041   , -79089.4    , array([ 10.4208    ,  1.71982    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16042   , -79089.4    , array([ 10.4208    ,  2.10179    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16043   , -79089.4    , array([ 10.4208    ,  2.33786    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16044   , -79089.4    , array([ 10.4208    ,  2.48375    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16045   , -79089.4    , array([ 10.4208    ,  2.57392    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16046   , -79089.4    , array([ 10.4208    ,  2.62965    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16047   , -79089.4    , array([ 10.4208    ,  2.66409    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16048   , -79089.4    , array([ 10.4208    ,  2.68972    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16049   , -79089.4    , array([ 10.4208    ,  2.68972    ,  0.139414   ,  1.86645e-22,  6.48482e-29])
16050   , -79089.4    , array([ 10.4208    ,  2.68972    ,  1.13941    ,  1.86645e-22,  6.48482e-29])
16051   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.75745    ,  1.86645e-22,  6.48482e-29])
16052   , -79089.4    , array([ 10.4208    ,  2.68972    ,  1.13941    ,  1.86645e-22,  6.48482e-29])
16053   , -79089.4    , array([ 10.4208    ,  2.68972    ,  1.75745    ,  1.86645e-22,  6.48482e-29])
16054   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.13941    ,  1.86645e-22,  6.48482e-29])
16055   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.37548    ,  1.86645e-22,  6.48482e-29])
16056   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.52138    ,  1.86645e-22,  6.48482e-29])
16057   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.61155    ,  1.86645e-22,  6.48482e-29])
16058   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.66728    ,  1.86645e-22,  6.48482e-29])
16059   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.70172    ,  1.86645e-22,  6.48482e-29])
16060   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  1.86645e-22,  6.48482e-29])
16061   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  1.86645e-22,  6.48482e-29])
16062   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  1          ,  6.48482e-29])
16063   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.61803    ,  6.48482e-29])
16064   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  1          ,  6.48482e-29])
16065   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  1.61803    ,  6.48482e-29])
16066   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2          ,  6.48482e-29])
16067   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.23607    ,  6.48482e-29])
16068   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.38197    ,  6.48482e-29])
16069   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.47214    ,  6.48482e-29])
16070   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.52786    ,  6.48482e-29])
16071   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.56231    ,  6.48482e-29])
16072   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  6.48482e-29])
16073   , -79089.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  6.48482e-29])
16074   , -68519.5    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  1          ])
16075   , -64708.6    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  2.61803    ])
16076   , -66223.4    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  2.18433    ])
16078   , -64708.6    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  2.61803    ])
16079   , -61183.5    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  3.61803    ])
16080   , -59129.7    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.23607    ])
16081   , -57930      , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.61803    ])
16082   , -57218      , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.8541     ])
16084   , -57487.2    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.76393    ])
16085   , -57053.3    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16087   , -57053.3    , array([ 10.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16088   , -57800.3    , array([ 11.4208    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16089   , -55616.8    , array([ 8.80278    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16090   , -52419.3    , array([ 6.18474    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16091   , -43129.7    , array([ 1.94867    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16093   , -43129.7    , array([ 1.94867    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16095   , -47372.8    , array([ 3.56671    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16096   , -45285.8    , array([ 2.75754    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16097   , -42815.8    , array([ 0.948673   ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16098   , -42109.5    , array([ 1.32791    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16099   , -42160      , array([ 1.41884    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16100   , -42120.7    , array([ 1.23698    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16101   , -42109.5    , array([ 1.32791    ,  2.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16102   , -48298.5    , array([ 1.32791    ,  3.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16103   , -21578.7    , array([ 1.32791    ,  1.07168    ,  2.72734    ,  2.58793    ,  4.90983    ])
16105   , -21578.7    , array([ 1.32791    ,  1.07168    ,  2.72734    ,  2.58793    ,  4.90983    ])
16106   , -21790.4    , array([ 1.32791    ,  0.0716839  ,  2.72734    ,  2.58793    ,  4.90983    ])
16107   , -31904.6    , array([ 1.32791    ,  1.68972    ,  2.72734    ,  2.58793    ,  4.90983    ])
16108   , -9741.69    , array([ 1.32791    ,  0.581809   ,  2.72734    ,  2.58793    ,  4.90983    ])
16109   , -9175.54    , array([ 1.32791    ,  0.560729   ,  2.72734    ,  2.58793    ,  4.90983    ])
16110   , -4565.98    , array([ 1.32791    ,  0.373931   ,  2.72734    ,  2.58793    ,  4.90983    ])
16111   , -3339.28    , array([ 1.32791    ,  0.258483   ,  2.72734    ,  2.58793    ,  4.90983    ])
16112   , -4240.86    , array([ 1.32791    ,  0.201926   ,  2.72734    ,  2.58793    ,  4.90983    ])
16113   , -3356.43    , array([ 1.32791    ,  0.282795   ,  2.72734    ,  2.58793    ,  4.90983    ])
16114   , -3533.2     , array([ 1.32791    ,  0.23417    ,  2.72734    ,  2.58793    ,  4.90983    ])
16115   , -3339.28    , array([ 1.32791    ,  0.258483   ,  2.72734    ,  2.58793    ,  4.90983    ])
16116   , -4702.67    , array([ 1.32791    ,  0.258483   ,  3.72734    ,  2.58793    ,  4.90983    ])
16117   , -3792.22    , array([ 1.32791    ,  0.258483   ,  1.10931    ,  2.58793    ,  4.90983    ])
16118   , -3339.28    , array([ 1.32791    ,  0.258483   ,  2.72734    ,  2.58793    ,  4.90983    ])
16119   , -2908.98    , array([ 1.32791    ,  0.258483   ,  2.10931    ,  2.58793    ,  4.90983    ])
16120   , -2944.37    , array([ 1.32791    ,  0.258483   ,  1.72734    ,  2.58793    ,  4.90983    ])
16121   , -2888.94    , array([ 1.32791    ,  0.258483   ,  1.97704    ,  2.58793    ,  4.90983    ])
16122   , -2888.71    , array([ 1.32791    ,  0.258483   ,  1.9657     ,  2.58793    ,  4.90983    ])
16123   , -2888.69    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.58793    ,  4.90983    ])
16124   , -2888.78    , array([ 1.32791    ,  0.258483   ,  1.95039    ,  2.58793    ,  4.90983    ])
16125   , -2888.69    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.58793    ,  4.90983    ])
16126   , -2967.26    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  3.58793    ,  4.90983    ])
16127   , -10688.9    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  0.969895   ,  4.90983    ])
16128   , -2888.69    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.58793    ,  4.90983    ])
16129   , -3984.11    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  1.96989    ,  4.90983    ])
16130   , -2731.14    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.96989    ,  4.90983    ])
16131   , -2734.36    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.93055    ,  4.90983    ])
16132   , -2730.47    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.99267    ,  4.90983    ])
16133   , -2730.43    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.9988     ,  4.90983    ])
16134   , -2730.45    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  3.00291    ,  4.90983    ])
16135   , -2730.43    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.9988     ,  4.90983    ])
16137   , -2810.34    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.9988     ,  3.2918     ])
16138   , -2730.43    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.9988     ,  4.90983    ])
16139   , -2749.07    , array([ 1.32791    ,  0.258483   ,  1.95808    ,  2.9988     ,  4.2918     ])
