16109   , -79089.4    , array([ 0.196584   ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16110   , -79089.4    , array([ 0.196584   ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16111   , -79089.4    , array([ 1.19658    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16112   , -79089.4    , array([ 2.81462    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16113   , -79089.4    , array([ 1.19658    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16114   , -79089.4    , array([ 1.81462    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16115   , -79089.4    , array([ 2.19658    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16116   , -79089.4    , array([ 2.43265    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16117   , -79089.4    , array([ 2.57855    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16118   , -79089.4    , array([ 2.66872    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16119   , -79089.4    , array([ 2.72445    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16120   , -79089.4    , array([ 2.75889    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16121   , -79089.4    , array([ 2.78451    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16122   , -79089.4    , array([ 2.78451    ,  11.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16123   , -79089.4    , array([ 2.78451    ,  12.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16124   , -79089.4    , array([ 2.78451    ,  13.8667    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16125   , -79089.4    , array([ 2.78451    ,  12.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16126   , -79089.4    , array([ 2.78451    ,  12.8667    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16127   , -79089.4    , array([ 2.78451    ,  13.2487    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16128   , -79089.4    , array([ 2.78451    ,  13.4848    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16129   , -79089.4    , array([ 2.78451    ,  13.6307    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16130   , -79089.4    , array([ 2.78451    ,  13.7208    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16131   , -79089.4    , array([ 2.78451    ,  13.7765    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16132   , -79089.4    , array([ 2.78451    ,  13.811     ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16133   , -79089.4    , array([ 2.78451    ,  13.8366    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
16134   , -79089.4    , array([ 2.78451    ,  13.8366    ,  4.20107e-32,  1.67654e-33,  1.12151e-19])
