18319   , -79089.4    , array([ 5.37829    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18320   , -79089.4    , array([ 5.37829    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18321   , -79089.4    , array([ 6.37829    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18322   , -79089.4    , array([ 7.99632    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18323   , -79089.4    , array([ 6.37829    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18324   , -79089.4    , array([ 6.99632    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18325   , -79089.4    , array([ 7.37829    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18326   , -79089.4    , array([ 7.61435    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18327   , -79089.4    , array([ 7.76025    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18328   , -79089.4    , array([ 7.85042    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18329   , -79089.4    , array([ 7.90615    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18330   , -79089.4    , array([ 7.94059    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18331   , -79089.4    , array([ 7.96621    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18332   , -79089.4    , array([ 7.96621    ,  3.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18333   , -79089.4    , array([ 7.96621    ,  4.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18334   , -79089.4    , array([ 7.96621    ,  5.6465     ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18335   , -79089.4    , array([ 7.96621    ,  4.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18336   , -79089.4    , array([ 7.96621    ,  4.6465     ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18337   , -79089.4    , array([ 7.96621    ,  5.02846    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18338   , -79089.4    , array([ 7.96621    ,  5.26453    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18339   , -79089.4    , array([ 7.96621    ,  5.41043    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18340   , -79089.4    , array([ 7.96621    ,  5.5006     ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18341   , -79089.4    , array([ 7.96621    ,  5.55633    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18342   , -79089.4    , array([ 7.96621    ,  5.59077    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18343   , -79089.4    , array([ 7.96621    ,  5.61639    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
18344   , -79089.4    , array([ 7.96621    ,  5.61639    ,  4.8233e-14 ,  6.08499e-65,  1.06953e-48])
