19236   , -79089.4    , array([ 0.641702   ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19237   , -79089.4    , array([ 0.641702   ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19238   , -79089.4    , array([ 1.6417     ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19239   , -79089.4    , array([ 3.25974    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19240   , -79089.4    , array([ 1.6417     ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19241   , -79089.4    , array([ 2.25974    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19242   , -79089.4    , array([ 2.6417     ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19243   , -79089.4    , array([ 2.87777    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19244   , -79089.4    , array([ 3.02367    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19245   , -79089.4    , array([ 3.11384    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19246   , -79089.4    , array([ 3.16957    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19247   , -79089.4    , array([ 3.20401    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19248   , -79089.4    , array([ 3.22963    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19249   , -79089.4    , array([ 3.22963    ,  0.0495838  ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19250   , -79089.4    , array([ 3.22963    ,  1.04958    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19251   , -79089.4    , array([ 3.22963    ,  2.66762    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19252   , -79089.4    , array([ 3.22963    ,  1.04958    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19253   , -79089.4    , array([ 3.22963    ,  1.66762    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19254   , -79089.4    , array([ 3.22963    ,  2.04958    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19255   , -79089.4    , array([ 3.22963    ,  2.28565    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19256   , -79089.4    , array([ 3.22963    ,  2.43155    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19257   , -79089.4    , array([ 3.22963    ,  2.52172    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19258   , -79089.4    , array([ 3.22963    ,  2.57745    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19259   , -79089.4    , array([ 3.22963    ,  2.61189    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19260   , -79089.4    , array([ 3.22963    ,  2.63751    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19261   , -79089.4    , array([ 3.22963    ,  2.63751    ,  5.57809e-27,  1.55901e-43,  2.98019e-27])
19262   , -79089.4    , array([ 3.22963    ,  2.63751    ,  1          ,  1.55901e-43,  2.98019e-27])
19263   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.61803    ,  1.55901e-43,  2.98019e-27])
19264   , -79089.4    , array([ 3.22963    ,  2.63751    ,  1          ,  1.55901e-43,  2.98019e-27])
19265   , -79089.4    , array([ 3.22963    ,  2.63751    ,  1.61803    ,  1.55901e-43,  2.98019e-27])
19266   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2          ,  1.55901e-43,  2.98019e-27])
19267   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.23607    ,  1.55901e-43,  2.98019e-27])
19268   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.38197    ,  1.55901e-43,  2.98019e-27])
19269   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.47214    ,  1.55901e-43,  2.98019e-27])
19270   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.52786    ,  1.55901e-43,  2.98019e-27])
19271   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.56231    ,  1.55901e-43,  2.98019e-27])
19272   , -79089.4    , array([ 3.22963    ,  2.63751    ,  2.58793    ,  1.55901e-43,  2.98019e-27])
