24322   , -79089.4    , array([ 0.126295   ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24323   , -79089.4    , array([ 0.126295   ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24324   , -79089.4    , array([ 1.1263     ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24325   , -79089.4    , array([ 2.74433    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24326   , -79089.4    , array([ 1.1263     ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24327   , -79089.4    , array([ 1.74433    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24328   , -79089.4    , array([ 2.1263     ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24329   , -79089.4    , array([ 2.36236    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24330   , -79089.4    , array([ 2.50826    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24331   , -79089.4    , array([ 2.59843    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24332   , -79089.4    , array([ 2.65416    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24333   , -79089.4    , array([ 2.6886     ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24334   , -79089.4    , array([ 2.71422    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24335   , -79089.4    , array([ 2.71422    ,  19.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24336   , -79089.4    , array([ 2.71422    ,  20.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24337   , -79089.4    , array([ 2.71422    ,  21.7757    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24338   , -79089.4    , array([ 2.71422    ,  20.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24339   , -79089.4    , array([ 2.71422    ,  20.7757    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24340   , -79089.4    , array([ 2.71422    ,  21.1576    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24341   , -79089.4    , array([ 2.71422    ,  21.3937    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24342   , -79089.4    , array([ 2.71422    ,  21.5396    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24343   , -79089.4    , array([ 2.71422    ,  21.6298    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24344   , -79089.4    , array([ 2.71422    ,  21.6855    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24345   , -79089.4    , array([ 2.71422    ,  21.7199    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24346   , -79089.4    , array([ 2.71422    ,  21.7456    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24347   , -79089.4    , array([ 2.71422    ,  21.7456    ,  3.80593e-21,  9.4228e-67 ,  9.43105e-28])
24348   , -79089.4    , array([ 2.71422    ,  21.7456    ,  1          ,  9.4228e-67 ,  9.43105e-28])
24349   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.61803    ,  9.4228e-67 ,  9.43105e-28])
24350   , -79089.4    , array([ 2.71422    ,  21.7456    ,  1          ,  9.4228e-67 ,  9.43105e-28])
24351   , -79089.4    , array([ 2.71422    ,  21.7456    ,  1.61803    ,  9.4228e-67 ,  9.43105e-28])
24352   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2          ,  9.4228e-67 ,  9.43105e-28])
24353   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.23607    ,  9.4228e-67 ,  9.43105e-28])
24354   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.38197    ,  9.4228e-67 ,  9.43105e-28])
24355   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.47214    ,  9.4228e-67 ,  9.43105e-28])
24356   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.52786    ,  9.4228e-67 ,  9.43105e-28])
24357   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.56231    ,  9.4228e-67 ,  9.43105e-28])
24358   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.58793    ,  9.4228e-67 ,  9.43105e-28])
24359   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.58793    ,  9.4228e-67 ,  9.43105e-28])
24360   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.58793    ,  1          ,  9.43105e-28])
24361   , -79089.4    , array([ 2.71422    ,  21.7456    ,  2.58793    ,  2.61803    ,  9.43105e-28])
