28142   , -79089.4    , array([ 1.48476    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28143   , -79089.4    , array([ 1.48476    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28144   , -79089.4    , array([ 2.48476    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28145   , -79089.4    , array([ 4.10279    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28146   , -79089.4    , array([ 2.48476    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28147   , -79089.4    , array([ 3.10279    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28148   , -79089.4    , array([ 3.48476    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28149   , -79089.4    , array([ 2.91181    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28150   , -79089.4    , array([ 2.81371    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28151   , -79089.4    , array([ 2.86276    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28152   , -79089.4    , array([ 2.84403    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28153   , -79089.4    , array([ 2.83043    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28154   , -79089.4    , array([ 2.83043    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28155   , -79089.4    , array([ 2.83043    ,  1.02164    ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28157   , -79089.4    , array([ 2.83043    ,  0.0216442  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28159   , -79089.4    , array([ 2.83043    ,  0.40361    ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28160   , -79089.4    , array([ 2.83043    ,  0.212627   ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28163   , -79089.4    , array([ 2.83043    ,  0.0945932  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28165   , -79089.4    , array([ 2.83043    ,  0.0495082  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28167   , -79089.4    , array([ 2.83043    ,  0.0322873  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28168   , -79089.4    , array([ 2.83043    ,  0.0166192  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28169   , -79089.4    , array([ 2.83043    ,  0.0135135  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28170   , -79089.4    , array([ 2.83043    ,  0.0115942  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28171   , -79089.4    , array([ 2.83043    ,  0.0104079  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28173   , -79089.4    , array([ 2.83043    ,  0.010861   ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28174   , -79089.4    , array([ 2.83043    ,  0.0101279  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
28176   , -79089.4    , array([ 2.83043    ,  0.0102431  ,  5.05754e-37,  2.19866e-76,  2.98067e-16])
