36057   , -79089.4    , array([ 0.211327   ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36058   , -79089.4    , array([ 0.211327   ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36059   , -79089.4    , array([ 1.21133    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36060   , -79089.4    , array([ 2.82936    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36061   , -79089.4    , array([ 1.21133    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36062   , -79089.4    , array([ 1.82936    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36063   , -79089.4    , array([ 2.21133    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36064   , -79089.4    , array([ 2.44739    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36065   , -79089.4    , array([ 2.59329    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36066   , -79089.4    , array([ 2.68346    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36067   , -79089.4    , array([ 2.73919    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36068   , -79089.4    , array([ 2.77363    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36069   , -79089.4    , array([ 2.79926    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36070   , -79089.4    , array([ 2.79926    ,  0.575244   ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36071   , -79089.4    , array([ 2.79926    ,  1.57524    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36072   , -79089.4    , array([ 2.79926    ,  3.19328    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36073   , -79089.4    , array([ 2.79926    ,  1.57524    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36074   , -79089.4    , array([ 2.79926    ,  2.19328    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36075   , -79089.4    , array([ 2.79926    ,  2.57524    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36076   , -79089.4    , array([ 2.79926    ,  2.81131    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36077   , -79089.4    , array([ 2.79926    ,  2.95721    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36078   , -79089.4    , array([ 2.79926    ,  3.04738    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36079   , -79089.4    , array([ 2.79926    ,  3.10311    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36080   , -79089.4    , array([ 2.79926    ,  3.13755    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36081   , -79089.4    , array([ 2.79926    ,  3.16317    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36082   , -79089.4    , array([ 2.79926    ,  3.16317    ,  6.01182e-38,  2.93631e-57,  3.0033e-31 ])
36083   , -79089.4    , array([ 2.79926    ,  3.16317    ,  1          ,  2.93631e-57,  3.0033e-31 ])
36084   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.61803    ,  2.93631e-57,  3.0033e-31 ])
36085   , -79089.4    , array([ 2.79926    ,  3.16317    ,  1          ,  2.93631e-57,  3.0033e-31 ])
36086   , -79089.4    , array([ 2.79926    ,  3.16317    ,  1.61803    ,  2.93631e-57,  3.0033e-31 ])
36087   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2          ,  2.93631e-57,  3.0033e-31 ])
36088   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.23607    ,  2.93631e-57,  3.0033e-31 ])
36089   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.38197    ,  2.93631e-57,  3.0033e-31 ])
36090   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.47214    ,  2.93631e-57,  3.0033e-31 ])
36091   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.52786    ,  2.93631e-57,  3.0033e-31 ])
36092   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.56231    ,  2.93631e-57,  3.0033e-31 ])
36093   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.93631e-57,  3.0033e-31 ])
36094   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.93631e-57,  3.0033e-31 ])
36095   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  1          ,  3.0033e-31 ])
36096   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.61803    ,  3.0033e-31 ])
36097   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  1          ,  3.0033e-31 ])
36098   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  1.61803    ,  3.0033e-31 ])
36099   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2          ,  3.0033e-31 ])
36100   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.23607    ,  3.0033e-31 ])
36101   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.38197    ,  3.0033e-31 ])
36102   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.47214    ,  3.0033e-31 ])
36103   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.52786    ,  3.0033e-31 ])
36104   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.56231    ,  3.0033e-31 ])
36105   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  3.0033e-31 ])
36106   , -79089.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  3.0033e-31 ])
36107   , -56694.4    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  1          ])
36108   , -54598.3    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  2.61803    ])
36109   , -56153.2    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  1.88939    ])
36111   , -54598.3    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  2.61803    ])
36112   , -52159      , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  3.61803    ])
36113   , -50697.2    , array([ 2.79926    ,  3.16317    ,  2.58793    ,  2.58793    ,  4.23607    ])
