40713   , -79089.4    , array([ 0.0262696  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40714   , -79089.4    , array([ 0.0262696  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40715   , -79089.4    , array([ 1.02627    ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40717   , -79089.4    , array([ 0.0262696  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40719   , -79089.4    , array([ 0.408236   ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40720   , -79089.4    , array([ 0.217253   ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40723   , -79089.4    , array([ 0.0992186  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40725   , -79089.4    , array([ 0.0541336  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40726   , -79089.4    , array([ 0.013114   ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40728   , -79089.4    , array([ 0.018139   ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40729   , -79089.4    , array([ 0.0100084  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40731   , -79089.4    , array([ 0.0111946  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40733   , -79089.4    , array([ 0.0104615  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40735   , -79089.4    , array([ 0.0101814  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40736   , -79089.4    , array([ 0.0100084  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40737   , -79089.4    , array([ 0.0100084  ,  1.9277     ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40739   , -79089.4    , array([ 0.0100084  ,  0.927704   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40740   , -79089.4    , array([ 0.0100084  ,  0.30967    ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40742   , -79089.4    , array([ 0.0100084  ,  0.618687   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40743   , -79089.4    , array([ 0.0100084  ,  0.163772   ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40744   , -79089.4    , array([ 0.0100084  ,  0.0736016  ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40745   , -79089.4    , array([ 0.0100084  ,  0.0178736  ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40747   , -79089.4    , array([ 0.0100084  ,  0.0391598  ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40749   , -79089.4    , array([ 0.0100084  ,  0.0269719  ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
40750   , -79089.4    , array([ 0.0100084  ,  0.0178736  ,  1.12673e-51,  6.71622e-42,  6.42753e-15])
