51872   , -79089.4    , array([ 2.54407    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51873   , -79089.4    , array([ 2.54407    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51874   , -79089.4    , array([ 3.54407    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51875   , -79089.4    , array([ 5.1621     ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51876   , -79089.4    , array([ 3.54407    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51877   , -79089.4    , array([ 4.1621     ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51878   , -79089.4    , array([ 4.54407    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51879   , -79089.4    , array([ 4.78014    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51880   , -79089.4    , array([ 4.92604    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51881   , -79089.4    , array([ 5.01621    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51882   , -79089.4    , array([ 5.07193    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51883   , -79089.4    , array([ 5.10638    ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51884   , -79089.4    , array([ 5.132      ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51885   , -79089.4    , array([ 5.132      ,  2.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51886   , -79089.4    , array([ 5.132      ,  3.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51887   , -79089.4    , array([ 5.132      ,  5.0823     ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51888   , -79089.4    , array([ 5.132      ,  3.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51889   , -79089.4    , array([ 5.132      ,  4.0823     ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51890   , -79089.4    , array([ 5.132      ,  4.46426    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51891   , -79089.4    , array([ 5.132      ,  4.70033    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51892   , -79089.4    , array([ 5.132      ,  4.84623    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51893   , -79089.4    , array([ 5.132      ,  4.9364     ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51894   , -79089.4    , array([ 5.132      ,  4.99213    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51895   , -79089.4    , array([ 5.132      ,  5.02657    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51896   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51897   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.68568e-40,  3.81748e-36,  4.51918e-44])
51898   , -79089.4    , array([ 5.132      ,  5.05219    ,  1          ,  3.81748e-36,  4.51918e-44])
51899   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.61803    ,  3.81748e-36,  4.51918e-44])
51900   , -79089.4    , array([ 5.132      ,  5.05219    ,  1          ,  3.81748e-36,  4.51918e-44])
51901   , -79089.4    , array([ 5.132      ,  5.05219    ,  1.61803    ,  3.81748e-36,  4.51918e-44])
51902   , -79089.4    , array([ 5.132      ,  5.05219    ,  2          ,  3.81748e-36,  4.51918e-44])
51903   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.23607    ,  3.81748e-36,  4.51918e-44])
51904   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.38197    ,  3.81748e-36,  4.51918e-44])
51905   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.47214    ,  3.81748e-36,  4.51918e-44])
51906   , -79089.4    , array([ 5.132      ,  5.05219    ,  2.52786    ,  3.81748e-36,  4.51918e-44])
