40393   , -79089.4    , array([ 1.63301    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40394   , -79089.4    , array([ 1.63301    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40395   , -79089.4    , array([ 2.63301    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40396   , -79089.4    , array([ 4.25104    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40397   , -79089.4    , array([ 2.63301    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40398   , -79089.4    , array([ 3.25104    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40399   , -79089.4    , array([ 3.63301    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40400   , -79089.4    , array([ 3.86908    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40401   , -79089.4    , array([ 4.01497    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40402   , -79089.4    , array([ 4.10514    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40403   , -79089.4    , array([ 4.16087    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40404   , -79089.4    , array([ 4.19531    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40405   , -79089.4    , array([ 4.22094    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40406   , -79089.4    , array([ 4.22094    ,  0.229614   ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40407   , -79089.4    , array([ 4.22094    ,  1.22961    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40408   , -79089.4    , array([ 4.22094    ,  2.84765    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40409   , -79089.4    , array([ 4.22094    ,  1.22961    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40410   , -79089.4    , array([ 4.22094    ,  1.84765    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40411   , -79089.4    , array([ 4.22094    ,  2.22961    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40412   , -79089.4    , array([ 4.22094    ,  2.46568    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40413   , -79089.4    , array([ 4.22094    ,  2.61158    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40414   , -79089.4    , array([ 4.22094    ,  2.70175    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
40415   , -79089.4    , array([ 4.22094    ,  2.75748    ,  2.03438e-24,  5.50099e-30,  9.40917e-20])
