43230   , -79089.4    , array([ 0.185074   ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43231   , -79089.4    , array([ 0.185074   ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43232   , -79089.4    , array([ 1.18507    ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43234   , -79089.4    , array([ 0.185074   ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43236   , -79089.4    , array([ 0.56704    ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43237   , -79089.4    , array([ 0.376057   ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43239   , -79089.4    , array([ 0.0949045  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43240   , -79089.4    , array([ 0.0391764  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43242   , -79089.4    , array([ 0.0604626  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43243   , -79089.4    , array([ 0.0260208  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43244   , -79089.4    , array([ 0.0178902  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43245   , -79089.4    , array([ 0.0128652  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43247   , -79089.4    , array([ 0.0147845  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43248   , -79089.4    , array([ 0.0128652  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43249   , -79089.4    , array([ 0.0128652  ,  1.24425    ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43251   , -79089.4    , array([ 0.0128652  ,  0.244254   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43253   , -79089.4    , array([ 0.0128652  ,  0.62622    ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43254   , -79089.4    , array([ 0.0128652  ,  0.435237   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43256   , -79089.4    , array([ 0.0128652  ,  0.154084   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43257   , -79089.4    , array([ 0.0128652  ,  0.098356   ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43258   , -79089.4    , array([ 0.0128652  ,  0.0639142  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43259   , -79089.4    , array([ 0.0128652  ,  0.0426279  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43260   , -79089.4    , array([ 0.0128652  ,  0.0294723  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43261   , -79089.4    , array([ 0.0128652  ,  0.0213417  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43262   , -79089.4    , array([ 0.0128652  ,  0.0163167  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43263   , -79089.4    , array([ 0.0128652  ,  0.0132111  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43264   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43265   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  4.38385e-74,  6.16408e-84,  1.04491e-11])
43266   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  1          ,  6.16408e-84,  1.04491e-11])
43267   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  2.61803    ,  6.16408e-84,  1.04491e-11])
43269   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  2.61803    ,  6.16408e-84,  1.04491e-11])
43273   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  6.3722     ,  6.16408e-84,  1.04491e-11])
43274   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  4.49511    ,  6.16408e-84,  1.04491e-11])
43275   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  8.6924     ,  6.16408e-84,  1.04491e-11])
43277   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  7.80616    ,  6.16408e-84,  1.04491e-11])
43278   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  9.24012    ,  6.16408e-84,  1.04491e-11])
43279   , -79089.4    , array([ 0.0128652  ,  0.0109007  ,  9.57863    ,  6.16408e-84,  1.04491e-11])
