11312   , -79089.4    , array([ 0.234826   ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11313   , -79089.4    , array([ 0.234826   ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11314   , -79089.4    , array([ 1.23483    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11315   , -79089.4    , array([ 2.85286    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11316   , -79089.4    , array([ 1.23483    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11317   , -79089.4    , array([ 1.85286    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11318   , -79089.4    , array([ 2.23483    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11319   , -79089.4    , array([ 2.47089    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11320   , -79089.4    , array([ 2.61679    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11321   , -79089.4    , array([ 2.70696    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11322   , -79089.4    , array([ 2.76269    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11323   , -79089.4    , array([ 2.79713    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11324   , -79089.4    , array([ 2.82276    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11325   , -79089.4    , array([ 2.82276    ,  0.399991   ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11326   , -79089.4    , array([ 2.82276    ,  1.39999    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11327   , -79089.4    , array([ 2.82276    ,  3.01802    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11328   , -79089.4    , array([ 2.82276    ,  1.39999    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11329   , -79089.4    , array([ 2.82276    ,  2.01802    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11330   , -79089.4    , array([ 2.82276    ,  2.39999    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11331   , -79089.4    , array([ 2.82276    ,  2.63606    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11332   , -79089.4    , array([ 2.82276    ,  2.78196    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11333   , -79089.4    , array([ 2.82276    ,  2.87213    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11334   , -79089.4    , array([ 2.82276    ,  2.92785    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11335   , -79089.4    , array([ 2.82276    ,  2.9623     ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11336   , -79089.4    , array([ 2.82276    ,  2.98792    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11337   , -79089.4    , array([ 2.82276    ,  2.98792    ,  1.8491e-21 ,  2.76675e-08,  4.75252e-60])
11338   , -79089.4    , array([ 2.82276    ,  2.98792    ,  1          ,  2.76675e-08,  4.75252e-60])
11339   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.61803    ,  2.76675e-08,  4.75252e-60])
11340   , -79089.4    , array([ 2.82276    ,  2.98792    ,  1          ,  2.76675e-08,  4.75252e-60])
11341   , -79089.4    , array([ 2.82276    ,  2.98792    ,  1.61803    ,  2.76675e-08,  4.75252e-60])
11342   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2          ,  2.76675e-08,  4.75252e-60])
11343   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.23607    ,  2.76675e-08,  4.75252e-60])
11344   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.38197    ,  2.76675e-08,  4.75252e-60])
11345   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.47214    ,  2.76675e-08,  4.75252e-60])
11346   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.52786    ,  2.76675e-08,  4.75252e-60])
11347   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.56231    ,  2.76675e-08,  4.75252e-60])
11348   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  2.76675e-08,  4.75252e-60])
11349   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  2.76675e-08,  4.75252e-60])
11350   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  1          ,  4.75252e-60])
11351   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  2.61803    ,  4.75252e-60])
11352   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  1          ,  4.75252e-60])
11353   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  1.61803    ,  4.75252e-60])
11354   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  2          ,  4.75252e-60])
11355   , -79089.4    , array([ 2.82276    ,  2.98792    ,  2.58793    ,  2.23607    ,  4.75252e-60])
