165831  , -79089.4    , array([ 27.7437    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165832  , -79089.4    , array([ 27.7437    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165833  , -79089.4    , array([ 28.7437    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165834  , -79089.4    , array([ 26.1257    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165835  , -79089.4    , array([ 23.5076    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165836  , -79089.4    , array([ 19.2716    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165837  , -79089.4    , array([ 12.4175    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165838  , -79089.4    , array([ 1.32729    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165840  , -79089.4    , array([ 1.32729    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165842  , -79089.4    , array([ 5.56335    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165843  , -79089.4    , array([ 3.44532    ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165845  , -79089.4    , array([ 0.327286   ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165847  , -79089.4    , array([ 0.709252   ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165848  , -79089.4    , array([ 0.0531217  ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165849  , -79089.4    , array([ 0.0531217  ,  2.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165850  , -79089.4    , array([ 0.0531217  ,  3.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165851  , -79089.4    , array([ 0.0531217  ,  0.485644   ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165853  , -79089.4    , array([ 0.0531217  ,  0.485644   ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165855  , -79089.4    , array([ 0.0531217  ,  1.10368    ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165856  , -79089.4    , array([ 0.0531217  ,  0.794661   ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165857  , -79089.4    , array([ 0.0531217  ,  0.103678   ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165859  , -79089.4    , array([ 0.0531217  ,  0.249576   ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165860  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165862  , -79089.4    , array([ 0.0531217  ,  0.0479495  ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165864  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  4.09496e-45,  4.40589e-13,  1.3198e-12 ])
165865  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  1          ,  4.40589e-13,  1.3198e-12 ])
165866  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  2.61803    ,  4.40589e-13,  1.3198e-12 ])
165867  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  5.23607    ,  4.40589e-13,  1.3198e-12 ])
165869  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  5.23607    ,  4.40589e-13,  1.3198e-12 ])
165872  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  8.00958    ,  4.40589e-13,  1.3198e-12 ])
165873  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  6.62282    ,  4.40589e-13,  1.3198e-12 ])
165874  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.7237     ,  4.40589e-13,  1.3198e-12 ])
165876  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.06896    ,  4.40589e-13,  1.3198e-12 ])
165878  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.47361    ,  4.40589e-13,  1.3198e-12 ])
165879  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.87826    ,  4.40589e-13,  1.3198e-12 ])
165880  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  4.40589e-13,  1.3198e-12 ])
165881  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  4.40589e-13,  1.3198e-12 ])
165882  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  1          ,  1.3198e-12 ])
165884  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  4.40589e-13,  1.3198e-12 ])
165886  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.381966   ,  1.3198e-12 ])
165887  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.190983   ,  1.3198e-12 ])
165890  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.072949   ,  1.3198e-12 ])
165892  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.027864   ,  1.3198e-12 ])
165893  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.0106431  ,  1.3198e-12 ])
165895  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00406531 ,  1.3198e-12 ])
165896  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00657781 ,  1.3198e-12 ])
165897  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.0025125  ,  1.3198e-12 ])
165898  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00566878 ,  1.3198e-12 ])
165899  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00467778 ,  1.3198e-12 ])
165900  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00347219 ,  1.3198e-12 ])
165901  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00429925 ,  1.3198e-12 ])
165902  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00383876 ,  1.3198e-12 ])
165903  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  1.3198e-12 ])
165904  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00390877 ,  1.3198e-12 ])
165905  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.0039953  ,  1.3198e-12 ])
165906  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  1.3198e-12 ])
165907  , -112803     , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  1          ])
165909  , -79089.4    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  1.3198e-12 ])
165911  , -119867     , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.381966   ])
165912  , -149269     , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.190653   ])
165915  , -147958     , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.072823   ])
165917  , -63943.6    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.0278159  ])
165918  , -102393     , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.0450071  ])
165919  , -40293      , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.0183139  ])
165920  , -33008.6    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.0155516  ])
165921  , -16750.8    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00961141 ])
165922  , -7641.48    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00594018 ])
165923  , -5510.52    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00367123 ])
165924  , -6595.59    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00299683 ])
165925  , -5443.75    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00426328 ])
165926  , -5393.61    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
165927  , -5394.72    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00405514 ])
165928  , -5395.36    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00397484 ])
165930  , -5393.61    , array([ 0.0531217  ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
165931  , -2922.91    , array([ 1.05312    ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
165932  , -2989.89    , array([ 2.67116    ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
165933  , -2922.91    , array([ 1.05312    ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
165934  , -2961.97    , array([ 1.67116    ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
165935  , -2873.52    , array([ 0.671156   ,  0.0135076  ,  9.97705    ,  0.00395203 ,  0.00401499 ])
