140215  , -79089.4    , array([ 2.46326    ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140216  , -79089.4    , array([ 2.46326    ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140217  , -79089.4    , array([ 3.46326    ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140218  , -79089.4    , array([ 0.845221   ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140220  , -79089.4    , array([ 0.845221   ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140222  , -79089.4    , array([ 1.46326    ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140223  , -79089.4    , array([ 1.15424    ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140224  , -79089.4    , array([ 0.463255   ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140225  , -79089.4    , array([ 0.227187   ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140226  , -79089.4    , array([ 0.0812894  ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140228  , -79089.4    , array([ 0.137017   ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140229  , -79089.4    , array([ 0.0468475  ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140230  , -79089.4    , array([ 0.0226835  ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140231  , -79089.4    , array([ 0.0226835  ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140232  , -79089.4    , array([ 0.0226835  ,  1.04878    ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140234  , -79089.4    , array([ 0.0226835  ,  0.048778   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140236  , -79089.4    , array([ 0.0226835  ,  0.430744   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140237  , -79089.4    , array([ 0.0226835  ,  0.239761   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140240  , -79089.4    , array([ 0.0226835  ,  0.121727   ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140241  , -79089.4    , array([ 0.0226835  ,  0.0143362  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140243  , -79089.4    , array([ 0.0226835  ,  0.0274918  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140245  , -79089.4    , array([ 0.0226835  ,  0.0193612  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140246  , -79089.4    , array([ 0.0226835  ,  0.0112306  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140248  , -79089.4    , array([ 0.0226835  ,  0.0124168  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140249  , -79089.4    , array([ 0.0226835  ,  0.0104974  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140250  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140251  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  2.8913e-29 ,  2.57376e-07,  4.4741e-14 ])
140252  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  1          ,  2.57376e-07,  4.4741e-14 ])
140253  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  2.61803    ,  2.57376e-07,  4.4741e-14 ])
140254  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  5.23607    ,  2.57376e-07,  4.4741e-14 ])
140255  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  2.61803    ,  2.57376e-07,  4.4741e-14 ])
140256  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  3.61803    ,  2.57376e-07,  4.4741e-14 ])
140257  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  2          ,  2.57376e-07,  4.4741e-14 ])
140258  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  3.0524     ,  2.57376e-07,  4.4741e-14 ])
140259  , -79089.4    , array([ 0.0226835  ,  0.0100443  ,  2.38197    ,  2.57376e-07,  4.4741e-14 ])
