215708  , -79089.4    , array([ 1.29426    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215709  , -79089.4    , array([ 1.29426    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215710  , -79089.4    , array([ 2.29426    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215711  , -79089.4    , array([ 3.91229    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215712  , -79089.4    , array([ 2.29426    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215713  , -79089.4    , array([ 2.91229    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215714  , -79089.4    , array([ 3.29426    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215715  , -79089.4    , array([ 3.53033    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215716  , -79089.4    , array([ 3.67622    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215717  , -79089.4    , array([ 3.76639    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215718  , -79089.4    , array([ 3.82212    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215719  , -79089.4    , array([ 3.85656    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215720  , -79089.4    , array([ 3.88219    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215721  , -79089.4    , array([ 3.88219    ,  0.0135787  ,  3.17265e-32,  0.000402232,  4.71316e-25])
215722  , -79089.4    , array([ 3.88219    ,  1.01358    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215723  , -79089.4    , array([ 3.88219    ,  2.63161    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215724  , -79089.4    , array([ 3.88219    ,  1.01358    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215725  , -79089.4    , array([ 3.88219    ,  1.63161    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215726  , -79089.4    , array([ 3.88219    ,  2.01358    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215727  , -79089.4    , array([ 3.88219    ,  2.24965    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215728  , -79089.4    , array([ 3.88219    ,  2.39554    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215729  , -79089.4    , array([ 3.88219    ,  2.48571    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215730  , -79089.4    , array([ 3.88219    ,  2.54144    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215731  , -79089.4    , array([ 3.88219    ,  2.57588    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215732  , -79089.4    , array([ 3.88219    ,  2.60151    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215733  , -79089.4    , array([ 3.88219    ,  2.60151    ,  3.17265e-32,  0.000402232,  4.71316e-25])
215734  , -79089.4    , array([ 3.88219    ,  2.60151    ,  1          ,  0.000402232,  4.71316e-25])
215735  , -79089.4    , array([ 3.88219    ,  2.60151    ,  2.61803    ,  0.000402232,  4.71316e-25])
215736  , -79089.4    , array([ 3.88219    ,  2.60151    ,  1          ,  0.000402232,  4.71316e-25])
215737  , -79089.4    , array([ 3.88219    ,  2.60151    ,  1.61803    ,  0.000402232,  4.71316e-25])
215738  , -79089.4    , array([ 3.88219    ,  2.60151    ,  2          ,  0.000402232,  4.71316e-25])
215739  , -79089.4    , array([ 3.88219    ,  2.60151    ,  2.23607    ,  0.000402232,  4.71316e-25])
215740  , -79089.4    , array([ 3.88219    ,  2.60151    ,  2.38197    ,  0.000402232,  4.71316e-25])
