18018   , -79089.4    , array([ 17.6106    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18019   , -79089.4    , array([ 17.6106    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18020   , -79089.4    , array([ 18.6106    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18021   , -79089.4    , array([ 20.2287    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18022   , -79089.4    , array([ 18.6106    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18023   , -79089.4    , array([ 19.2287    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18024   , -79089.4    , array([ 19.6106    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18025   , -79089.4    , array([ 19.8467    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18026   , -79089.4    , array([ 19.9926    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18027   , -79089.4    , array([ 20.0828    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18028   , -79089.4    , array([ 20.1385    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18029   , -79089.4    , array([ 20.1729    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18030   , -79089.4    , array([ 20.1986    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18031   , -79089.4    , array([ 20.1986    ,  0.125846   ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18032   , -79089.4    , array([ 20.1986    ,  1.12585    ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18033   , -79089.4    , array([ 20.1986    ,  2.74388    ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18034   , -79089.4    , array([ 20.1986    ,  1.12585    ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18035   , -79089.4    , array([ 20.1986    ,  1.74388    ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18036   , -79089.4    , array([ 20.1986    ,  2.12585    ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
18037   , -79089.4    , array([ 20.1986    ,  2.36191    ,  4.4938e-15 ,  4.32683e-35,  1.33095e-18])
