202229  , -79087.2    , array([ 0.124413   ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202230  , -79087.2    , array([ 0.124413   ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202231  , -79089      , array([ 1.12441    ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202233  , -79087.2    , array([ 0.124413   ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202235  , -79088.7    , array([ 0.506379   ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202236  , -79088.4    , array([ 0.315396   ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202238  , -79082      , array([ 0.0342432  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202240  , -79085.6    , array([ 0.0686851  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202241  , -79070.1    , array([ 0.012957   ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202243  , -79077.5    , array([ 0.0210876  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202245  , -79073.8    , array([ 0.0160626  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202246  , -79066.8    , array([ 0.0110376  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202248  , -79066.8    , array([ 0.0110376  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202249  , -79066.9    , array([ 0.0110376  ,  2.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202251  , -79066.8    , array([ 0.0110376  ,  1.44713    ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202252  , -79066.6    , array([ 0.0110376  ,  0.829097   ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202253  , -79066.2    , array([ 0.0110376  ,  0.447131   ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202254  , -79065.3    , array([ 0.0110376  ,  0.211063   ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202255  , -79061.5    , array([ 0.0110376  ,  0.065165   ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202257  , -79064.1    , array([ 0.0110376  ,  0.120893   ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202258  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202260  , -79059      , array([ 0.0110376  ,  0.0448872  ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202261  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  1.0574e-92 ,  2.14134    ,  3.09421e-07])
202262  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  1          ,  2.14134    ,  3.09421e-07])
202263  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  2.61803    ,  2.14134    ,  3.09421e-07])
202265  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  2.61803    ,  2.14134    ,  3.09421e-07])
202269  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  6.3722     ,  2.14134    ,  3.09421e-07])
202270  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  4.49511    ,  2.14134    ,  3.09421e-07])
202271  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  8.6924     ,  2.14134    ,  3.09421e-07])
202273  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  7.80616    ,  2.14134    ,  3.09421e-07])
202274  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.24012    ,  2.14134    ,  3.09421e-07])
202275  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.57863    ,  2.14134    ,  3.09421e-07])
202276  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.78784    ,  2.14134    ,  3.09421e-07])
202277  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  2.14134    ,  3.09421e-07])
202279  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  2.14134    ,  3.09421e-07])
202280  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  3.14134    ,  3.09421e-07])
202281  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.52331    ,  3.09421e-07])
202283  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.52331    ,  3.09421e-07])
202289  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  1.14134    ,  3.09421e-07])
202290  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.832327   ,  3.09421e-07])
202292  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.314098   ,  3.09421e-07])
202293  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.184797   ,  3.09421e-07])
202294  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.104885   ,  3.09421e-07])
202295  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.055497   ,  3.09421e-07])
202296  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.0249733  ,  3.09421e-07])
202297  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  3.09421e-07])
202298  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  3.09421e-07])
202299  , -113659     , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  1          ])
202301  , -79055.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  3.09421e-07])
202303  , -121095     , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.381966   ])
202304  , -148560     , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.190643   ])
202307  , -139768     , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.0728194  ])
202309  , -114527     , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.0278147  ])
202311  , -76574.1    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.0106245  ])
202312  , -60256.5    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00664275 ])
202313  , -54607.3    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00549145 ])
202314  , -43514.2    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00339402 ])
202315  , -37755.1    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00209774 ])
202316  , -37512.9    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00129659 ])
202317  , -36974.7    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00162062 ])
202318  , -36981.8    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00166044 ])
202319  , -36976      , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00163682 ])
202320  , -36975.6    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00160441 ])
202322  , -36974.7    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00162062 ])
202323  , -38751.8    , array([ 1.01104    ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00162062 ])
202325  , -36974.7    , array([ 0.0110376  ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00162062 ])
202327  , -38042.9    , array([ 0.393004   ,  0.0307231  ,  9.91715    ,  0.00380961 ,  0.00162062 ])
