60802   , -79089.4    , array([ 9.01919    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60803   , -79089.4    , array([ 9.01919    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60804   , -79089.4    , array([ 10.0192    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60805   , -79089.4    , array([ 11.6372    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60806   , -79089.4    , array([ 10.0192    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60807   , -79089.4    , array([ 10.6372    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60808   , -79089.4    , array([ 11.0192    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60809   , -79089.4    , array([ 11.2553    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60810   , -79089.4    , array([ 11.4012    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60811   , -79089.4    , array([ 11.4913    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60812   , -79089.4    , array([ 11.547     ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60813   , -79089.4    , array([ 11.5815    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60814   , -79089.4    , array([ 11.6071    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60815   , -79089.4    , array([ 11.6071    ,  0.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60816   , -79089.4    , array([ 11.6071    ,  1.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60817   , -79089.4    , array([ 11.6071    ,  2.7246     ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60818   , -79089.4    , array([ 11.6071    ,  1.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60819   , -79089.4    , array([ 11.6071    ,  1.7246     ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60820   , -79089.4    , array([ 11.6071    ,  2.10657    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60821   , -79089.4    , array([ 11.6071    ,  2.34264    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60822   , -79089.4    , array([ 11.6071    ,  2.48854    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60823   , -79089.4    , array([ 11.6071    ,  2.57871    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60824   , -79089.4    , array([ 11.6071    ,  2.63443    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60825   , -79089.4    , array([ 11.6071    ,  2.66888    ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60826   , -79089.4    , array([ 11.6071    ,  2.6945     ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60827   , -79089.4    , array([ 11.6071    ,  2.6945     ,  1.73673e-09,  3.6809e-49 ,  1.68318e-18])
60828   , -79089.4    , array([ 11.6071    ,  2.6945     ,  1          ,  3.6809e-49 ,  1.68318e-18])
60829   , -79089.4    , array([ 11.6071    ,  2.6945     ,  2.61803    ,  3.6809e-49 ,  1.68318e-18])
60830   , -79089.4    , array([ 11.6071    ,  2.6945     ,  1          ,  3.6809e-49 ,  1.68318e-18])
60831   , -79089.4    , array([ 11.6071    ,  2.6945     ,  1.61803    ,  3.6809e-49 ,  1.68318e-18])
60832   , -79089.4    , array([ 11.6071    ,  2.6945     ,  2          ,  3.6809e-49 ,  1.68318e-18])
60833   , -79089.4    , array([ 11.6071    ,  2.6945     ,  2.23607    ,  3.6809e-49 ,  1.68318e-18])
60834   , -79089.4    , array([ 11.6071    ,  2.6945     ,  2.38197    ,  3.6809e-49 ,  1.68318e-18])
