11060   , -79089.4    , array([ 0.173142   ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11061   , -79089.4    , array([ 0.173142   ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11062   , -79089.4    , array([ 1.17314    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11063   , -79089.4    , array([ 2.79118    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11064   , -79089.4    , array([ 1.17314    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11065   , -79089.4    , array([ 1.79118    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11066   , -79089.4    , array([ 2.17314    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11067   , -79089.4    , array([ 2.40921    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11068   , -79089.4    , array([ 2.55511    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11069   , -79089.4    , array([ 2.64528    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11070   , -79089.4    , array([ 2.70101    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11071   , -79089.4    , array([ 2.73545    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11072   , -79089.4    , array([ 2.76107    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11073   , -79089.4    , array([ 2.76107    ,  0.121093   ,  1.30243e-66,  0.000136073,  4.21272e-29])
11074   , -79089.4    , array([ 2.76107    ,  1.12109    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11075   , -79089.4    , array([ 2.76107    ,  2.73913    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11076   , -79089.4    , array([ 2.76107    ,  1.12109    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11077   , -79089.4    , array([ 2.76107    ,  1.73913    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11078   , -79089.4    , array([ 2.76107    ,  2.12109    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11079   , -79089.4    , array([ 2.76107    ,  2.35716    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11080   , -79089.4    , array([ 2.76107    ,  2.50306    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11081   , -79089.4    , array([ 2.76107    ,  2.59323    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11082   , -79089.4    , array([ 2.76107    ,  2.64896    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11083   , -79089.4    , array([ 2.76107    ,  2.6834     ,  1.30243e-66,  0.000136073,  4.21272e-29])
11084   , -79089.4    , array([ 2.76107    ,  2.70902    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11085   , -79089.4    , array([ 2.76107    ,  2.70902    ,  1.30243e-66,  0.000136073,  4.21272e-29])
11086   , -79089.4    , array([ 2.76107    ,  2.70902    ,  1          ,  0.000136073,  4.21272e-29])
11087   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.61803    ,  0.000136073,  4.21272e-29])
11088   , -79089.4    , array([ 2.76107    ,  2.70902    ,  1          ,  0.000136073,  4.21272e-29])
11089   , -79089.4    , array([ 2.76107    ,  2.70902    ,  1.61803    ,  0.000136073,  4.21272e-29])
11090   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2          ,  0.000136073,  4.21272e-29])
11091   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.23607    ,  0.000136073,  4.21272e-29])
11092   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.38197    ,  0.000136073,  4.21272e-29])
11093   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.47214    ,  0.000136073,  4.21272e-29])
11094   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.52786    ,  0.000136073,  4.21272e-29])
11095   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.56231    ,  0.000136073,  4.21272e-29])
11096   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  0.000136073,  4.21272e-29])
11097   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  0.000136073,  4.21272e-29])
11098   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  1.00014    ,  4.21272e-29])
11099   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.61817    ,  4.21272e-29])
11100   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  1.00014    ,  4.21272e-29])
11101   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  1.61817    ,  4.21272e-29])
11102   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.00014    ,  4.21272e-29])
11103   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.2362     ,  4.21272e-29])
11104   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.3821     ,  4.21272e-29])
11105   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.47227    ,  4.21272e-29])
11106   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.528      ,  4.21272e-29])
11107   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.56244    ,  4.21272e-29])
11108   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.58807    ,  4.21272e-29])
11109   , -79089.4    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.58807    ,  4.21272e-29])
11110   , -52786.5    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.58807    ,  1          ])
11111   , -50323.3    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.58807    ,  2.61803    ])
11112   , -51948.2    , array([ 2.76107    ,  2.70902    ,  2.58793    ,  2.58807    ,  1.88943    ])
