45678   , -79089.4    , array([ 0.262622   ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45679   , -79089.4    , array([ 0.262622   ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45680   , -79089.4    , array([ 1.26262    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45681   , -79089.4    , array([ 2.88066    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45682   , -79089.4    , array([ 1.26262    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45683   , -79089.4    , array([ 1.88066    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45684   , -79089.4    , array([ 2.26262    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45685   , -79089.4    , array([ 2.49869    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45686   , -79089.4    , array([ 2.64459    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45687   , -79089.4    , array([ 2.73476    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45688   , -79089.4    , array([ 2.79049    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45689   , -79089.4    , array([ 2.82493    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45690   , -79089.4    , array([ 2.85055    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45691   , -79089.4    , array([ 2.85055    ,  4.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45692   , -79089.4    , array([ 2.85055    ,  5.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45693   , -79089.4    , array([ 2.85055    ,  7.31269    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45694   , -79089.4    , array([ 2.85055    ,  5.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45695   , -79089.4    , array([ 2.85055    ,  6.31269    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45696   , -79089.4    , array([ 2.85055    ,  6.69465    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45697   , -79089.4    , array([ 2.85055    ,  6.93072    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45698   , -79089.4    , array([ 2.85055    ,  7.07662    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45699   , -79089.4    , array([ 2.85055    ,  7.16679    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45700   , -79089.4    , array([ 2.85055    ,  7.22252    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45701   , -79089.4    , array([ 2.85055    ,  7.25696    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45702   , -79089.4    , array([ 2.85055    ,  7.28258    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45703   , -79089.4    , array([ 2.85055    ,  7.28258    ,  6.57031e-18,  1.53212e-16,  9.94303e-58])
45704   , -79089.4    , array([ 2.85055    ,  7.28258    ,  1          ,  1.53212e-16,  9.94303e-58])
