1       , -79089.4    , array([ 2.20714    ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
2       , -79089.4    , array([ 2.20714    ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
3       , -79089.4    , array([ 3.20714    ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
4       , -79089.4    , array([ 0.589103   ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
6       , -79089.4    , array([ 0.589103   ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
8       , -79089.4    , array([ 1.20714    ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
9       , -79089.4    , array([ 0.89812    ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
10      , -79089.4    , array([ 0.207137   ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
12      , -79089.4    , array([ 0.353035   ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
13      , -79089.4    , array([ 0.116967   ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
14      , -79089.4    , array([ 0.0612392  ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
15      , -79089.4    , array([ 0.0267973  ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
17      , -79089.4    , array([ 0.0267973  ,  2.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
18      , -79089.4    , array([ 0.0267973  ,  3.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
19      , -79089.4    , array([ 0.0267973  ,  0.593517   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
21      , -79089.4    , array([ 0.0267973  ,  0.593517   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
23      , -79089.4    , array([ 0.0267973  ,  1.21155    ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
24      , -79089.4    , array([ 0.0267973  ,  0.902534   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
25      , -79089.4    , array([ 0.0267973  ,  0.211551   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
27      , -79089.4    , array([ 0.0267973  ,  0.357449   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
28      , -79089.4    , array([ 0.0267973  ,  0.121381   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
29      , -79089.4    , array([ 0.0267973  ,  0.065653   ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
30      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
32      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  2.0493e-32 ,  4.04643e-12,  1.67782e-10])
33      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  1          ,  4.04643e-12,  1.67782e-10])
34      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  2.61803    ,  4.04643e-12,  1.67782e-10])
35      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  5.23607    ,  4.04643e-12,  1.67782e-10])
36      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.47214    ,  4.04643e-12,  1.67782e-10])
38      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.47214    ,  4.04643e-12,  1.67782e-10])
44      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  7.8541     ,  4.04643e-12,  1.67782e-10])
45      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  8.66312    ,  4.04643e-12,  1.67782e-10])
48      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.16312    ,  4.04643e-12,  1.67782e-10])
49      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.68135    ,  4.04643e-12,  1.67782e-10])
50      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.81065    ,  4.04643e-12,  1.67782e-10])
51      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  4.04643e-12,  1.67782e-10])
52      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  4.04643e-12,  1.67782e-10])
53      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  1          ,  1.67782e-10])
55      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  4.04643e-12,  1.67782e-10])
57      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  0.381966   ,  1.67782e-10])
58      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  0.190983   ,  1.67782e-10])
61      , -79089.4    , array([ 0.0267973  ,  0.0312112  ,  9.90876    ,  0.072949   ,  1.67782e-10])
