31834   , -79089.4    , array([ 0.556884   ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31835   , -79089.4    , array([ 0.556884   ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31836   , -79089.4    , array([ 1.55688    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31837   , -79089.4    , array([ 3.17492    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31838   , -79089.4    , array([ 1.55688    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31839   , -79089.4    , array([ 2.17492    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31840   , -79089.4    , array([ 2.55688    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31841   , -79089.4    , array([ 2.79295    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31842   , -79089.4    , array([ 2.93885    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31843   , -79089.4    , array([ 3.02902    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31844   , -79089.4    , array([ 3.08475    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31845   , -79089.4    , array([ 3.11919    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31846   , -79089.4    , array([ 3.14481    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31847   , -79089.4    , array([ 3.14481    ,  3.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31848   , -79089.4    , array([ 3.14481    ,  4.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31849   , -79089.4    , array([ 3.14481    ,  6.0285     ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31850   , -79089.4    , array([ 3.14481    ,  4.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31851   , -79089.4    , array([ 3.14481    ,  5.0285     ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31852   , -79089.4    , array([ 3.14481    ,  5.41047    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31853   , -79089.4    , array([ 3.14481    ,  5.64654    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31854   , -79089.4    , array([ 3.14481    ,  5.79244    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31855   , -79089.4    , array([ 3.14481    ,  5.88261    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31856   , -79089.4    , array([ 3.14481    ,  5.93833    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31857   , -79089.4    , array([ 3.14481    ,  5.97278    ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31858   , -79089.4    , array([ 3.14481    ,  5.9984     ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31859   , -79089.4    , array([ 3.14481    ,  5.9984     ,  9.22445e-20,  7.08701e-22,  2.5092e-32 ])
31860   , -79089.4    , array([ 3.14481    ,  5.9984     ,  1          ,  7.08701e-22,  2.5092e-32 ])
31861   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.61803    ,  7.08701e-22,  2.5092e-32 ])
31862   , -79089.4    , array([ 3.14481    ,  5.9984     ,  1          ,  7.08701e-22,  2.5092e-32 ])
31863   , -79089.4    , array([ 3.14481    ,  5.9984     ,  1.61803    ,  7.08701e-22,  2.5092e-32 ])
31864   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2          ,  7.08701e-22,  2.5092e-32 ])
31865   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.23607    ,  7.08701e-22,  2.5092e-32 ])
31866   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.38197    ,  7.08701e-22,  2.5092e-32 ])
31867   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.47214    ,  7.08701e-22,  2.5092e-32 ])
31868   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.52786    ,  7.08701e-22,  2.5092e-32 ])
31869   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.56231    ,  7.08701e-22,  2.5092e-32 ])
31870   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  7.08701e-22,  2.5092e-32 ])
31871   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  7.08701e-22,  2.5092e-32 ])
31872   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  1          ,  2.5092e-32 ])
31873   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.61803    ,  2.5092e-32 ])
31874   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  1          ,  2.5092e-32 ])
31875   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  1.61803    ,  2.5092e-32 ])
31876   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2          ,  2.5092e-32 ])
31877   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.23607    ,  2.5092e-32 ])
31878   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.38197    ,  2.5092e-32 ])
31879   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.47214    ,  2.5092e-32 ])
31880   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.52786    ,  2.5092e-32 ])
31881   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.56231    ,  2.5092e-32 ])
31882   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  2.5092e-32 ])
31883   , -79089.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  2.5092e-32 ])
31884   , -71385.2    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  1          ])
31885   , -70998.8    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  2.61803    ])
31886   , -72223.6    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  1.85089    ])
31887   , -71385.2    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  1          ])
31888   , -68654.6    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.618034   ])
31889   , -65133.8    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.381966   ])
31890   , -62255.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.236068   ])
31891   , -61280.2    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.145898   ])
31892   , -66232.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.0478073  ])
31893   , -61794.3    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.108431   ])
31894   , -61302.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.162853   ])
31895   , -61274.5    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.152008   ])
31896   , -61274.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31897   , -61275.2    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.148983   ])
31898   , -83946.9    , array([ 5.73274    ,  8.58633    ,  5.17586    ,  5.17586    ,  0.300977   ])
31899   , -61274.4    , array([ 3.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31900   , -64242.9    , array([ 4.14481    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31901   , -53036.2    , array([ 1.52678    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31903   , -53036.2    , array([ 1.52678    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31904   , -48887.1    , array([ 0.526779   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31906   , -49507.5    , array([ 1.02676    ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31907   , -48084.4    , array([ 0.670092   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31908   , -48130.4    , array([ 0.744423   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31909   , -48123.8    , array([ 0.645345   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31910   , -48074.9    , array([ 0.694839   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31911   , -48090.9    , array([ 0.719339   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31912   , -48074.9    , array([ 0.694839   ,  5.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31913   , -49015.8    , array([ 0.694839   ,  6.9984     ,  2.58793    ,  2.58793    ,  0.150488   ])
31914   , -45754.6    , array([ 0.694839   ,  4.38037    ,  2.58793    ,  2.58793    ,  0.150488   ])
31915   , -35280.1    , array([ 0.694839   ,  1.76233    ,  2.58793    ,  2.58793    ,  0.150488   ])
31917   , -35280.1    , array([ 0.694839   ,  1.76233    ,  2.58793    ,  2.58793    ,  0.150488   ])
31918   , -4286.44    , array([ 0.694839   ,  0.144298   ,  2.58793    ,  2.58793    ,  0.150488   ])
31920   , -24991.1    , array([ 0.694839   ,  0.953064   ,  2.58793    ,  2.58793    ,  0.150488   ])
31922   , -11724.4    , array([ 0.694839   ,  0.453219   ,  2.58793    ,  2.58793    ,  0.150488   ])
31924   , -4969.28    , array([ 0.694839   ,  0.262295   ,  2.58793    ,  2.58793    ,  0.150488   ])
31925   , -11119.9    , array([ 0.694839   ,  0.0857567  ,  2.58793    ,  2.58793    ,  0.150488   ])
31926   , -3649.8     , array([ 0.694839   ,  0.202839   ,  2.58793    ,  2.58793    ,  0.150488   ])
31927   , -3649.8     , array([ 0.694839   ,  0.202839   ,  2.58793    ,  2.58793    ,  0.150488   ])
31928   , -2902.26    , array([ 0.694839   ,  0.202839   ,  3.58793    ,  2.58793    ,  0.150488   ])
31929   , -2504       , array([ 0.694839   ,  0.202839   ,  5.20596    ,  2.58793    ,  0.150488   ])
31930   , -2509.43    , array([ 0.694839   ,  0.202839   ,  5.03953    ,  2.58793    ,  0.150488   ])
31931   , -3142.63    , array([ 0.694839   ,  0.202839   ,  7.824      ,  2.58793    ,  0.150488   ])
31932   , -2504       , array([ 0.694839   ,  0.202839   ,  5.20596    ,  2.58793    ,  0.150488   ])
31933   , -2604.12    , array([ 0.694839   ,  0.202839   ,  6.20596    ,  2.58793    ,  0.150488   ])
31934   , -2561.14    , array([ 0.694839   ,  0.202839   ,  4.58793    ,  2.58793    ,  0.150488   ])
31935   , -2503.83    , array([ 0.694839   ,  0.202839   ,  5.28535    ,  2.58793    ,  0.150488   ])
31936   , -2504.11    , array([ 0.694839   ,  0.202839   ,  5.31232    ,  2.58793    ,  0.150488   ])
31937   , -2503.72    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  2.58793    ,  0.150488   ])
31938   , -2503.72    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  2.58793    ,  0.150488   ])
31939   , -3252.62    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  3.58793    ,  0.150488   ])
31940   , -2418.54    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  0.969895   ,  0.150488   ])
31941   , -2211.91    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.67995    ,  0.150488   ])
31942   , -2211.91    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.67995    ,  0.150488   ])
31943   , -2265.64    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  2.02676    ,  0.150488   ])
31944   , -2233.31    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.40873    ,  0.150488   ])
31945   , -2211.3     , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.64861    ,  0.150488   ])
31946   , -2211.27    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.150488   ])
31947   , -2211.31    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.62973    ,  0.150488   ])
31948   , -2211.27    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.150488   ])
31949   , -6048.28    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  1.15049    ])
31951   , -2211.27    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.150488   ])
31953   , -4677.71    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.532454   ])
31954   , -3698.25    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.341451   ])
31956   , -4973.22    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.0603184  ])
31957   , -2746.16    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.22343    ])
31958   , -2262.38    , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.116047   ])
31959   , -2188.2     , array([ 0.694839   ,  0.202839   ,  5.25837    ,  1.63922    ,  0.142304   ])
