32818   , -79089.4    , array([ 18.4896    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32819   , -79089.4    , array([ 18.4896    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32820   , -79089.4    , array([ 19.4896    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32821   , -79089.4    , array([ 21.1076    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32822   , -79089.4    , array([ 19.4896    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32823   , -79089.4    , array([ 20.1076    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32824   , -79089.4    , array([ 20.4896    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32825   , -79089.4    , array([ 20.7256    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32826   , -79089.4    , array([ 20.8715    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32827   , -79089.4    , array([ 20.9617    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32828   , -79089.4    , array([ 21.0174    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32829   , -79089.4    , array([ 21.0519    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32830   , -79089.4    , array([ 21.0775    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32831   , -79089.4    , array([ 21.0775    ,  3.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32832   , -79089.4    , array([ 21.0775    ,  4.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32833   , -79089.4    , array([ 21.0775    ,  6.04194    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32834   , -79089.4    , array([ 21.0775    ,  4.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32835   , -79089.4    , array([ 21.0775    ,  5.04194    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32836   , -79089.4    , array([ 21.0775    ,  5.4239     ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32837   , -79089.4    , array([ 21.0775    ,  5.65997    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32838   , -79089.4    , array([ 21.0775    ,  5.80587    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32839   , -79089.4    , array([ 21.0775    ,  5.89604    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32840   , -79089.4    , array([ 21.0775    ,  5.95177    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32841   , -79089.4    , array([ 21.0775    ,  5.98621    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32842   , -79089.4    , array([ 21.0775    ,  6.01183    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32843   , -79089.4    , array([ 21.0775    ,  6.01183    ,  1.15764e-05,  1.35379e-17,  1.32375e-20])
32844   , -79089.4    , array([ 21.0775    ,  6.01183    ,  1.00001    ,  1.35379e-17,  1.32375e-20])
32845   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.61805    ,  1.35379e-17,  1.32375e-20])
32846   , -79089.4    , array([ 21.0775    ,  6.01183    ,  1.00001    ,  1.35379e-17,  1.32375e-20])
32847   , -79089.4    , array([ 21.0775    ,  6.01183    ,  1.61805    ,  1.35379e-17,  1.32375e-20])
32848   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.00001    ,  1.35379e-17,  1.32375e-20])
32849   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.23608    ,  1.35379e-17,  1.32375e-20])
32850   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.38198    ,  1.35379e-17,  1.32375e-20])
32851   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.47215    ,  1.35379e-17,  1.32375e-20])
32852   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.52788    ,  1.35379e-17,  1.32375e-20])
32853   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.56232    ,  1.35379e-17,  1.32375e-20])
32854   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.58794    ,  1.35379e-17,  1.32375e-20])
32855   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.58794    ,  1.35379e-17,  1.32375e-20])
32856   , -79089.4    , array([ 21.0775    ,  6.01183    ,  2.58794    ,  1          ,  1.32375e-20])
