56993   , -79089.4    , array([ 0.0597053  ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
56994   , -79089.4    , array([ 0.0597053  ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
56995   , -79089.4    , array([ 1.05971    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
56996   , -79089.4    , array([ 2.67774    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
56997   , -79089.4    , array([ 1.05971    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
56998   , -79089.4    , array([ 1.67774    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
56999   , -79089.4    , array([ 2.05971    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57000   , -79089.4    , array([ 2.29577    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57001   , -79089.4    , array([ 2.44167    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57002   , -79089.4    , array([ 2.53184    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57003   , -79089.4    , array([ 2.58757    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57004   , -79089.4    , array([ 2.62201    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57005   , -79089.4    , array([ 2.64763    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57006   , -79089.4    , array([ 2.64763    ,  0.0711705  ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57007   , -79089.4    , array([ 2.64763    ,  1.07117    ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57008   , -79089.4    , array([ 2.64763    ,  2.6892     ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57009   , -79089.4    , array([ 2.64763    ,  1.07117    ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57010   , -79089.4    , array([ 2.64763    ,  1.6892     ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57011   , -79089.4    , array([ 2.64763    ,  2.07117    ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
57012   , -79089.4    , array([ 2.64763    ,  2.30724    ,  1.69704e-95,  0.000491763,  1.0193e-34 ])
