2302    , -79089.4    , array([ 0.516962   ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2303    , -79089.4    , array([ 0.516962   ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2304    , -79089.4    , array([ 1.51696    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2305    , -79089.4    , array([ 3.135      ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2306    , -79089.4    , array([ 1.51696    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2307    , -79089.4    , array([ 2.135      ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2308    , -79089.4    , array([ 2.51696    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2309    , -79089.4    , array([ 2.75303    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2310    , -79089.4    , array([ 2.89893    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2311    , -79089.4    , array([ 2.9891     ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2312    , -79089.4    , array([ 3.04483    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2313    , -79089.4    , array([ 3.07927    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2314    , -79089.4    , array([ 3.10489    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2315    , -79089.4    , array([ 3.10489    ,  0.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2316    , -79089.4    , array([ 3.10489    ,  1.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2317    , -79089.4    , array([ 3.10489    ,  2.84679    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2318    , -79089.4    , array([ 3.10489    ,  1.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2319    , -79089.4    , array([ 3.10489    ,  1.84679    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2320    , -79089.4    , array([ 3.10489    ,  2.22876    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2321    , -79089.4    , array([ 3.10489    ,  2.46483    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2322    , -79089.4    , array([ 3.10489    ,  2.61073    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2323    , -79089.4    , array([ 3.10489    ,  2.7009     ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2324    , -79089.4    , array([ 3.10489    ,  2.75662    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2325    , -79089.4    , array([ 3.10489    ,  2.79107    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2326    , -79089.4    , array([ 3.10489    ,  2.81669    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2327    , -79089.4    , array([ 3.10489    ,  2.81669    ,  1.7672e-22 ,  4.66474e-27,  9.35957e-70])
2328    , -79089.4    , array([ 3.10489    ,  2.81669    ,  1          ,  4.66474e-27,  9.35957e-70])
2329    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.61803    ,  4.66474e-27,  9.35957e-70])
2330    , -79089.4    , array([ 3.10489    ,  2.81669    ,  1          ,  4.66474e-27,  9.35957e-70])
2331    , -79089.4    , array([ 3.10489    ,  2.81669    ,  1.61803    ,  4.66474e-27,  9.35957e-70])
2332    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2          ,  4.66474e-27,  9.35957e-70])
2333    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.23607    ,  4.66474e-27,  9.35957e-70])
2334    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.38197    ,  4.66474e-27,  9.35957e-70])
2335    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.47214    ,  4.66474e-27,  9.35957e-70])
2336    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.52786    ,  4.66474e-27,  9.35957e-70])
2337    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.56231    ,  4.66474e-27,  9.35957e-70])
2338    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  4.66474e-27,  9.35957e-70])
2339    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  4.66474e-27,  9.35957e-70])
2340    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  1          ,  9.35957e-70])
2341    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.61803    ,  9.35957e-70])
2342    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  1          ,  9.35957e-70])
2343    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  1.61803    ,  9.35957e-70])
2344    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2          ,  9.35957e-70])
2345    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.23607    ,  9.35957e-70])
2346    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.38197    ,  9.35957e-70])
2347    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.47214    ,  9.35957e-70])
2348    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.52786    ,  9.35957e-70])
2349    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.56231    ,  9.35957e-70])
2350    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  9.35957e-70])
2351    , -79089.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  9.35957e-70])
2352    , -55078.3    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  1          ])
2353    , -52576.6    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  2.61803    ])
2354    , -54232.1    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  1.89911    ])
2356    , -52576.6    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  2.61803    ])
2357    , -50057.8    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  3.61803    ])
2358    , -48579.1    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  4.23607    ])
2359    , -47735.5    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  4.61803    ])
2360    , -47246.9    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  4.8541     ])
2362    , -47430.4    , array([ 3.10489    ,  2.81669    ,  2.58793    ,  2.58793    ,  4.76393    ])
