48022   , -79089.4    , array([ 2.36763    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48023   , -79089.4    , array([ 2.36763    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48024   , -79089.4    , array([ 3.36763    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48025   , -79089.4    , array([ 4.98567    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48026   , -79089.4    , array([ 3.36763    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48027   , -79089.4    , array([ 3.98567    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48028   , -79089.4    , array([ 4.36763    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48029   , -79089.4    , array([ 4.6037     ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48030   , -79089.4    , array([ 4.7496     ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48031   , -79089.4    , array([ 4.83977    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48032   , -79089.4    , array([ 4.8955     ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48033   , -79089.4    , array([ 4.92994    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48034   , -79089.4    , array([ 4.95556    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48035   , -79089.4    , array([ 4.95556    ,  0.131775   ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48036   , -79089.4    , array([ 4.95556    ,  1.13177    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48037   , -79089.4    , array([ 4.95556    ,  2.74981    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48038   , -79089.4    , array([ 4.95556    ,  1.13177    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48039   , -79089.4    , array([ 4.95556    ,  1.74981    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48040   , -79089.4    , array([ 4.95556    ,  2.13177    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48041   , -79089.4    , array([ 4.95556    ,  2.36784    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48042   , -79089.4    , array([ 4.95556    ,  2.51374    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48043   , -79089.4    , array([ 4.95556    ,  2.60391    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48044   , -79089.4    , array([ 4.95556    ,  2.65964    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48045   , -79089.4    , array([ 4.95556    ,  2.69408    ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48046   , -79089.4    , array([ 4.95556    ,  2.7197     ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48047   , -79089.4    , array([ 4.95556    ,  2.7197     ,  1.15085e-69,  7.55021e-33,  9.25234e-42])
48048   , -79089.4    , array([ 4.95556    ,  2.7197     ,  1          ,  7.55021e-33,  9.25234e-42])
48049   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.61803    ,  7.55021e-33,  9.25234e-42])
48050   , -79089.4    , array([ 4.95556    ,  2.7197     ,  1          ,  7.55021e-33,  9.25234e-42])
48051   , -79089.4    , array([ 4.95556    ,  2.7197     ,  1.61803    ,  7.55021e-33,  9.25234e-42])
48052   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2          ,  7.55021e-33,  9.25234e-42])
48053   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.23607    ,  7.55021e-33,  9.25234e-42])
48054   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.38197    ,  7.55021e-33,  9.25234e-42])
48055   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.47214    ,  7.55021e-33,  9.25234e-42])
48056   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.52786    ,  7.55021e-33,  9.25234e-42])
48057   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.56231    ,  7.55021e-33,  9.25234e-42])
48058   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  7.55021e-33,  9.25234e-42])
48059   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  7.55021e-33,  9.25234e-42])
48060   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  1          ,  9.25234e-42])
48061   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.61803    ,  9.25234e-42])
48062   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  1          ,  9.25234e-42])
48063   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  1.61803    ,  9.25234e-42])
48064   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2          ,  9.25234e-42])
48065   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.23607    ,  9.25234e-42])
48066   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.38197    ,  9.25234e-42])
48067   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.47214    ,  9.25234e-42])
48068   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.52786    ,  9.25234e-42])
48069   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.56231    ,  9.25234e-42])
48070   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  9.25234e-42])
48071   , -79089.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  9.25234e-42])
48072   , -59882.1    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  1          ])
48073   , -56784.5    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  2.61803    ])
48074   , -58616      , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  1.95393    ])
48076   , -56784.5    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  2.61803    ])
48077   , -53879.3    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  3.61803    ])
48078   , -52167.4    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.23607    ])
48079   , -51170.9    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.61803    ])
48080   , -50583.5    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.8541     ])
48082   , -50805.1    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.76393    ])
48083   , -50448.3    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48085   , -50448.3    , array([ 4.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48086   , -52228.9    , array([ 5.95556    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48087   , -46803.9    , array([ 3.33753    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48088   , -45183.6    , array([ 0.719492   ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48089   , -42252.1    , array([ 1.22599    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48090   , -42252.1    , array([ 1.22599    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48091   , -43325.1    , array([ 2.03253    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48092   , -42336.9    , array([ 1.53406    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48093   , -42204.2    , array([ 1.31501    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48094   , -42204.4    , array([ 1.35142    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48095   , -42215      , array([ 1.27861    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48096   , -42204.2    , array([ 1.31501    ,  2.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48097   , -48273.6    , array([ 1.31501    ,  3.7197     ,  2.58793    ,  2.58793    ,  4.90983    ])
48098   , -22072.4    , array([ 1.31501    ,  1.10167    ,  2.58793    ,  2.58793    ,  4.90983    ])
48100   , -22072.4    , array([ 1.31501    ,  1.10167    ,  2.58793    ,  2.58793    ,  4.90983    ])
48101   , -13413.3    , array([ 1.31501    ,  0.10167    ,  2.58793    ,  2.58793    ,  4.90983    ])
48103   , -10148.4    , array([ 1.31501    ,  0.601626   ,  2.58793    ,  2.58793    ,  4.90983    ])
48104   , -6384.45    , array([ 1.31501    ,  0.45914    ,  2.58793    ,  2.58793    ,  4.90983    ])
48105   , -4703.28    , array([ 1.31501    ,  0.387076   ,  2.58793    ,  2.58793    ,  4.90983    ])
48106   , -3198.41    , array([ 1.31501    ,  0.27806    ,  2.58793    ,  2.58793    ,  4.90983    ])
48107   , -4097.89    , array([ 1.31501    ,  0.201343   ,  2.58793    ,  2.58793    ,  4.90983    ])
48108   , -3352.15    , array([ 1.31501    ,  0.302477   ,  2.58793    ,  2.58793    ,  4.90983    ])
48109   , -3213.55    , array([ 1.31501    ,  0.253644   ,  2.58793    ,  2.58793    ,  4.90983    ])
48110   , -3198.41    , array([ 1.31501    ,  0.27806    ,  2.58793    ,  2.58793    ,  4.90983    ])
48111   , -4468.15    , array([ 1.31501    ,  0.27806    ,  3.58793    ,  2.58793    ,  4.90983    ])
48112   , -4234.05    , array([ 1.31501    ,  0.27806    ,  0.969895   ,  2.58793    ,  4.90983    ])
48113   , -3198.41    , array([ 1.31501    ,  0.27806    ,  2.58793    ,  2.58793    ,  4.90983    ])
48114   , -2905.86    , array([ 1.31501    ,  0.27806    ,  1.96989    ,  2.58793    ,  4.90983    ])
48115   , -3068.15    , array([ 1.31501    ,  0.27806    ,  1.58793    ,  2.58793    ,  4.90983    ])
48116   , -2906.93    , array([ 1.31501    ,  0.27806    ,  2.01542    ,  2.58793    ,  4.90983    ])
48117   , -2905.77    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.58793    ,  4.90983    ])
48118   , -2905.82    , array([ 1.31501    ,  0.27806    ,  1.98756    ,  2.58793    ,  4.90983    ])
48119   , -2905.77    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.58793    ,  4.90983    ])
48120   , -3386.01    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  3.58793    ,  4.90983    ])
48121   , -9547.15    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  0.969895   ,  4.90983    ])
48122   , -2905.77    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.58793    ,  4.90983    ])
48123   , -3661.15    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  1.96989    ,  4.90983    ])
48124   , -2919.39    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.96989    ,  4.90983    ])
48125   , -2878.3     , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.76474    ,  4.90983    ])
48126   , -2878.22    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75977    ,  4.90983    ])
48127   , -2878.18    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.90983    ])
48128   , -2878.19    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.7525     ,  4.90983    ])
48129   , -2878.19    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75582    ,  4.90983    ])
48130   , -2878.18    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.90983    ])
48132   , -2962.53    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  3.2918     ])
48133   , -2878.18    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.90983    ])
48134   , -2897.97    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.2918     ])
48136   , -2886.84    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.60081    ])
48138   , -2881.24    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.7918     ])
48139   , -2876.84    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.96556    ])
48141   , -2877.35    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.94427    ])
48142   , -2876.53    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.97871    ])
48143   , -2876.34    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.98684    ])
48144   , -2876.22    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99187    ])
48145   , -2876.15    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99498    ])
48146   , -2876.11    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99689    ])
48147   , -2876.08    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99808    ])
48148   , -2876.06    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48150   , -2876.06    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48151   , -3177.33    , array([ 2.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48153   , -2876.06    , array([ 1.31501    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48154   , -6189.08    , array([ 0.696977   ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48155   , -2713.11    , array([ 1.69698    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48156   , -2709.26    , array([ 1.54923    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48157   , -2702.91    , array([ 1.61636    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48158   , -2702.88    , array([ 1.61335    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48159   , -2702.89    , array([ 1.61036    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48160   , -2702.88    , array([ 1.61335    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48161   , -25113.3    , array([ 1.61335    ,  1.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48163   , -2702.88    , array([ 1.61335    ,  0.27806    ,  1.9815     ,  2.75416    ,  4.99896    ])
48165   , -11210.8    , array([ 1.61335    ,  0.660026   ,  1.9815     ,  2.75416    ,  4.99896    ])
48166   , -6135.83    , array([ 1.61335    ,  0.468975   ,  1.9815     ,  2.75416    ,  4.99896    ])
48167   , -35571.2    , array([ 1.61335    ,  0.0419925  ,  1.9815     ,  2.75416    ,  4.99896    ])
48168   , -4029.83    , array([ 1.61335    ,  0.18789    ,  1.9815     ,  2.75416    ,  4.99896    ])
48169   , -2808       , array([ 1.61335    ,  0.296228   ,  1.9815     ,  2.75416    ,  4.99896    ])
48170   , -2686.86    , array([ 1.61335    ,  0.271858   ,  1.9815     ,  2.75416    ,  4.99896    ])
48171   , -2682.31    , array([ 1.61335    ,  0.265128   ,  1.9815     ,  2.75416    ,  4.99896    ])
48172   , -2682.1     , array([ 1.61335    ,  0.2662     ,  1.9815     ,  2.75416    ,  4.99896    ])
48173   , -2682.1     , array([ 1.61335    ,  0.266319   ,  1.9815     ,  2.75416    ,  4.99896    ])
48174   , -2682.1     , array([ 1.61335    ,  0.266436   ,  1.9815     ,  2.75416    ,  4.99896    ])
48175   , -2682.1     , array([ 1.61335    ,  0.266319   ,  1.9815     ,  2.75416    ,  4.99896    ])
48176   , -3948.34    , array([ 1.61335    ,  0.266319   ,  2.9815     ,  2.75416    ,  4.99896    ])
48177   , -5748.36    , array([ 1.61335    ,  0.266319   ,  0.363464   ,  2.75416    ,  4.99896    ])
48178   , -2682.1     , array([ 1.61335    ,  0.266319   ,  1.9815     ,  2.75416    ,  4.99896    ])
48179   , -2673.45    , array([ 1.61335    ,  0.266319   ,  1.36346    ,  2.75416    ,  4.99896    ])
48180   , -3194.09    , array([ 1.61335    ,  0.266319   ,  0.981498   ,  2.75416    ,  4.99896    ])
48181   , -2571.16    , array([ 1.61335    ,  0.266319   ,  1.6674     ,  2.75416    ,  4.99896    ])
48182   , -2571.07    , array([ 1.61335    ,  0.266319   ,  1.66426    ,  2.75416    ,  4.99896    ])
48183   , -2570.93    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.75416    ,  4.99896    ])
48184   , -2584.97    , array([ 1.61335    ,  0.266319   ,  1.54294    ,  2.75416    ,  4.99896    ])
48185   , -2570.93    , array([ 1.61335    ,  0.266319   ,  1.65058    ,  2.75416    ,  4.99896    ])
48186   , -2570.95    , array([ 1.61335    ,  0.266319   ,  1.65714    ,  2.75416    ,  4.99896    ])
48187   , -2570.93    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.75416    ,  4.99896    ])
48188   , -2930.81    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  3.75416    ,  4.99896    ])
48189   , -8908.57    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  1.13612    ,  4.99896    ])
48190   , -2570.93    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.75416    ,  4.99896    ])
48191   , -3350.7     , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.13612    ,  4.99896    ])
48192   , -2543.91    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  3.13612    ,  4.99896    ])
48193   , -2524.02    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97483    ,  4.99896    ])
48194   , -2524.03    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.98535    ,  4.99896    ])
48195   , -2524       , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99896    ])
48196   , -2524.01    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.98193    ,  4.99896    ])
48197   , -2524.01    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97742    ,  4.99896    ])
48198   , -2524       , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99896    ])
48200   , -2678.58    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  3.38093    ])
48201   , -2524       , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99896    ])
48202   , -2560.54    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.38093    ])
48204   , -2540.05    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.68995    ])
48206   , -2529.68    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.88093    ])
48208   , -2526.11    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.95388    ])
48210   , -2524.8     , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.98174    ])
48212   , -2524.31    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99239    ])
48214   , -2524.12    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99645    ])
48216   , -2524.05    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.998      ])
48217   , -2523.98    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99942    ])
48218   , -2523.97    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.9997     ])
48219   , -2523.96    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99987    ])
48220   , -2523.96    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99998    ])
48222   , -2523.96    , array([ 1.61335    ,  0.266319   ,  1.65386    ,  2.97967    ,  4.99994    ])
