39695   , -79089.4    , array([ 12.0451    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39696   , -79089.4    , array([ 12.0451    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39697   , -79089.4    , array([ 13.0451    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39698   , -79089.4    , array([ 14.6631    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39699   , -79089.4    , array([ 13.0451    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39700   , -79089.4    , array([ 13.6631    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39701   , -79089.4    , array([ 14.0451    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39702   , -79089.4    , array([ 14.2812    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39703   , -79089.4    , array([ 14.4271    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39704   , -79089.4    , array([ 14.5172    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39705   , -79089.4    , array([ 14.573     ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39706   , -79089.4    , array([ 14.6074    ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39707   , -79089.4    , array([ 14.633     ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39708   , -79089.4    , array([ 14.633     ,  0.583748   ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39709   , -79089.4    , array([ 14.633     ,  1.58375    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39710   , -79089.4    , array([ 14.633     ,  3.20178    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39711   , -79089.4    , array([ 14.633     ,  1.58375    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39712   , -79089.4    , array([ 14.633     ,  2.20178    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39713   , -79089.4    , array([ 14.633     ,  2.58375    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39714   , -79089.4    , array([ 14.633     ,  2.81982    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39715   , -79089.4    , array([ 14.633     ,  2.96571    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39716   , -79089.4    , array([ 14.633     ,  3.05588    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39717   , -79089.4    , array([ 14.633     ,  3.11161    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39718   , -79089.4    , array([ 14.633     ,  3.14605    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39719   , -79089.4    , array([ 14.633     ,  3.17168    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39720   , -79089.4    , array([ 14.633     ,  3.17168    ,  1.1227e-44 ,  2.94548e-46,  6.7807e-26 ])
39721   , -79089.4    , array([ 14.633     ,  3.17168    ,  1          ,  2.94548e-46,  6.7807e-26 ])
39722   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.61803    ,  2.94548e-46,  6.7807e-26 ])
39723   , -79089.4    , array([ 14.633     ,  3.17168    ,  1          ,  2.94548e-46,  6.7807e-26 ])
39724   , -79089.4    , array([ 14.633     ,  3.17168    ,  1.61803    ,  2.94548e-46,  6.7807e-26 ])
39725   , -79089.4    , array([ 14.633     ,  3.17168    ,  2          ,  2.94548e-46,  6.7807e-26 ])
39726   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.23607    ,  2.94548e-46,  6.7807e-26 ])
39727   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.38197    ,  2.94548e-46,  6.7807e-26 ])
39728   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.47214    ,  2.94548e-46,  6.7807e-26 ])
39729   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.52786    ,  2.94548e-46,  6.7807e-26 ])
39730   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.56231    ,  2.94548e-46,  6.7807e-26 ])
39731   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.94548e-46,  6.7807e-26 ])
39732   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.94548e-46,  6.7807e-26 ])
39733   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  1          ,  6.7807e-26 ])
39734   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.61803    ,  6.7807e-26 ])
39735   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  1          ,  6.7807e-26 ])
39736   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  1.61803    ,  6.7807e-26 ])
39737   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2          ,  6.7807e-26 ])
39738   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.23607    ,  6.7807e-26 ])
39739   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.38197    ,  6.7807e-26 ])
39740   , -79089.4    , array([ 14.633     ,  3.17168    ,  2.58793    ,  2.47214    ,  6.7807e-26 ])
