40332   , -79089.4    , array([ 0.0421355  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40333   , -79089.4    , array([ 0.0421355  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40334   , -79089.4    , array([ 1.04214    ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40336   , -79089.4    , array([ 0.0421355  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40338   , -79089.4    , array([ 0.424102   ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40339   , -79089.4    , array([ 0.233119   ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40342   , -79089.4    , array([ 0.115085   ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40344   , -79089.4    , array([ 0.0699996  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40345   , -79089.4    , array([ 0.0289799  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40346   , -79089.4    , array([ 0.0208493  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40347   , -79089.4    , array([ 0.0158243  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40348   , -79089.4    , array([ 0.0127187  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40349   , -79089.4    , array([ 0.0107993  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40351   , -79089.4    , array([ 0.0115324  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40352   , -79089.4    , array([ 0.0103462  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40353   , -79089.4    , array([ 0.0100283  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40354   , -79089.4    , array([ 0.0100283  ,  1.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
40355   , -79089.4    , array([ 0.0100283  ,  2.09611    ,  9.92381e-62,  2.4714e-45 ,  4.24019e-11])
