85266   , -79089.4    , array([ 0.263975   ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85267   , -79089.4    , array([ 0.263975   ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85268   , -79089.4    , array([ 1.26397    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85269   , -79089.4    , array([ 2.88201    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85270   , -79089.4    , array([ 1.26397    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85271   , -79089.4    , array([ 1.88201    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85272   , -79089.4    , array([ 2.26397    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85273   , -79089.4    , array([ 2.50004    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85274   , -79089.4    , array([ 2.64594    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85275   , -79089.4    , array([ 2.73611    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85276   , -79089.4    , array([ 2.79184    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85277   , -79089.4    , array([ 2.82628    ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85278   , -79089.4    , array([ 2.8519     ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85279   , -79089.4    , array([ 2.8519     ,  2.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85280   , -79089.4    , array([ 2.8519     ,  3.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85281   , -79089.4    , array([ 2.8519     ,  4.87742    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85282   , -79089.4    , array([ 2.8519     ,  3.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85283   , -79089.4    , array([ 2.8519     ,  3.87742    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85284   , -79089.4    , array([ 2.8519     ,  4.25939    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85285   , -79089.4    , array([ 2.8519     ,  4.49546    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85286   , -79089.4    , array([ 2.8519     ,  4.64135    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85287   , -79089.4    , array([ 2.8519     ,  4.73152    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85288   , -79089.4    , array([ 2.8519     ,  4.78725    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85289   , -79089.4    , array([ 2.8519     ,  4.82169    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85290   , -79089.4    , array([ 2.8519     ,  4.84732    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85291   , -79089.4    , array([ 2.8519     ,  4.84732    ,  1.2573e-05 ,  2.5664e-95 ,  2.08094e-43])
85292   , -79089.4    , array([ 2.8519     ,  4.84732    ,  1.00001    ,  2.5664e-95 ,  2.08094e-43])
85293   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.61805    ,  2.5664e-95 ,  2.08094e-43])
85294   , -79089.4    , array([ 2.8519     ,  4.84732    ,  1.00001    ,  2.5664e-95 ,  2.08094e-43])
85295   , -79089.4    , array([ 2.8519     ,  4.84732    ,  1.61805    ,  2.5664e-95 ,  2.08094e-43])
85296   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.00001    ,  2.5664e-95 ,  2.08094e-43])
85297   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.23608    ,  2.5664e-95 ,  2.08094e-43])
85298   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.38198    ,  2.5664e-95 ,  2.08094e-43])
85299   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.47215    ,  2.5664e-95 ,  2.08094e-43])
85300   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.52788    ,  2.5664e-95 ,  2.08094e-43])
85301   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.56232    ,  2.5664e-95 ,  2.08094e-43])
85302   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.5664e-95 ,  2.08094e-43])
85303   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.5664e-95 ,  2.08094e-43])
85304   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  1          ,  2.08094e-43])
85305   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.61803    ,  2.08094e-43])
85306   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  1          ,  2.08094e-43])
85307   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  1.61803    ,  2.08094e-43])
85308   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2          ,  2.08094e-43])
85309   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.23607    ,  2.08094e-43])
85310   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.38197    ,  2.08094e-43])
85311   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.47214    ,  2.08094e-43])
85312   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.52786    ,  2.08094e-43])
85313   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.56231    ,  2.08094e-43])
85314   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  2.08094e-43])
85315   , -79089.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  2.08094e-43])
85316   , -66090.6    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  1          ])
85317   , -65105.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  2.61803    ])
85318   , -66439.8    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  1.87334    ])
85319   , -66090.6    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  1          ])
85320   , -63836.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.618034   ])
85321   , -60821.1    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.381966   ])
85322   , -58442.6    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.236068   ])
85323   , -57968.6    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.145898   ])
85324   , -58110.5    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.134814   ])
85325   , -57882.1    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.176245   ])
85326   , -58016.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.199096   ])
85327   , -57870.7    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.169757   ])
85328   , -57870      , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85329   , -57870.4    , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.166379   ])
85330   , -83433.6    , array([ 5.43983    ,  7.43525    ,  5.17587    ,  5.17586    ,  0.336118   ])
85331   , -57870      , array([ 2.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85332   , -61127.3    , array([ 3.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85333   , -49184.4    , array([ 1.23387    ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85335   , -49184.4    , array([ 1.23387    ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85336   , -63293.9    , array([ 0.23387    ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85337   , -53060.2    , array([ 1.8519     ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85338   , -49570.3    , array([ 1.29395    ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85339   , -47161.3    , array([ 0.851904   ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85340   , -47329.6    , array([ 0.615836   ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85341   , -46988.9    , array([ 0.770525   ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85342   , -46974.9    , array([ 0.749711   ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85343   , -46976      , array([ 0.728689   ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85344   , -46974.9    , array([ 0.749711   ,  4.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85345   , -48412.5    , array([ 0.749711   ,  5.84732    ,  2.58794    ,  2.58793    ,  0.168059   ])
85346   , -43078.8    , array([ 0.749711   ,  3.22928    ,  2.58794    ,  2.58793    ,  0.168059   ])
85347   , -16048      , array([ 0.749711   ,  0.611249   ,  2.58794    ,  2.58793    ,  0.168059   ])
85349   , -16048      , array([ 0.749711   ,  0.611249   ,  2.58794    ,  2.58793    ,  0.168059   ])
85351   , -33596.1    , array([ 0.749711   ,  1.61125    ,  2.58794    ,  2.58793    ,  0.168059   ])
85352   , -27165.4    , array([ 0.749711   ,  1.11088    ,  2.58794    ,  2.58793    ,  0.168059   ])
85354   , -8191.23    , array([ 0.749711   ,  0.375181   ,  2.58794    ,  2.58793    ,  0.168059   ])
85355   , -3732.43    , array([ 0.749711   ,  0.229283   ,  2.58794    ,  2.58793    ,  0.168059   ])
85356   , -4669.47    , array([ 0.749711   ,  0.139113   ,  2.58794    ,  2.58793    ,  0.168059   ])
