94432   , -79089.4    , array([ 4.84776    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94433   , -79089.4    , array([ 4.84776    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94434   , -79089.4    , array([ 5.84776    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94435   , -79089.4    , array([ 7.4658     ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94436   , -79089.4    , array([ 5.84776    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94437   , -79089.4    , array([ 6.4658     ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94438   , -79089.4    , array([ 6.84776    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94439   , -79089.4    , array([ 7.08383    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94440   , -79089.4    , array([ 7.22973    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94441   , -79089.4    , array([ 7.3199     ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94442   , -79089.4    , array([ 7.37563    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94443   , -79089.4    , array([ 7.41007    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94444   , -79089.4    , array([ 7.43569    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94445   , -79089.4    , array([ 7.43569    ,  38.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94446   , -79089.4    , array([ 7.43569    ,  39.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94447   , -79089.4    , array([ 7.43569    ,  41.1537    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94448   , -79089.4    , array([ 7.43569    ,  39.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94449   , -79089.4    , array([ 7.43569    ,  40.1537    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94450   , -79089.4    , array([ 7.43569    ,  40.5356    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94451   , -79089.4    , array([ 7.43569    ,  40.7717    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94452   , -79089.4    , array([ 7.43569    ,  40.9176    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94453   , -79089.4    , array([ 7.43569    ,  41.0078    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94454   , -79089.4    , array([ 7.43569    ,  41.0635    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94455   , -79089.4    , array([ 7.43569    ,  41.0979    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94456   , -79089.4    , array([ 7.43569    ,  41.1236    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94457   , -79089.4    , array([ 7.43569    ,  41.1236    ,  5.1623e-34 ,  1.30346e-48,  5.19673e-54])
94458   , -79089.4    , array([ 7.43569    ,  41.1236    ,  1          ,  1.30346e-48,  5.19673e-54])
