99431   , -79089.4    , array([ 18.8887    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99432   , -79089.4    , array([ 18.8887    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99433   , -79089.4    , array([ 19.8887    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99434   , -79089.4    , array([ 21.5067    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99435   , -79089.4    , array([ 19.8887    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99436   , -79089.4    , array([ 20.5067    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99437   , -79089.4    , array([ 20.8887    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99438   , -79089.4    , array([ 21.1247    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99439   , -79089.4    , array([ 21.2706    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99440   , -79089.4    , array([ 21.3608    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99441   , -79089.4    , array([ 21.4165    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99442   , -79089.4    , array([ 21.451     ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99443   , -79089.4    , array([ 21.4766    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99444   , -79089.4    , array([ 21.4766    ,  3.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99445   , -79089.4    , array([ 21.4766    ,  4.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99446   , -79089.4    , array([ 21.4766    ,  6.44895    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99447   , -79089.4    , array([ 21.4766    ,  4.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99448   , -79089.4    , array([ 21.4766    ,  5.44895    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99449   , -79089.4    , array([ 21.4766    ,  5.83092    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99450   , -79089.4    , array([ 21.4766    ,  6.06698    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99451   , -79089.4    , array([ 21.4766    ,  6.21288    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99452   , -79089.4    , array([ 21.4766    ,  6.30305    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99453   , -79089.4    , array([ 21.4766    ,  6.35878    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99454   , -79089.4    , array([ 21.4766    ,  6.39322    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99455   , -79089.4    , array([ 21.4766    ,  6.41884    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99456   , -79089.4    , array([ 21.4766    ,  6.41884    ,  1.87281e-51,  1.64707e-24,  5.994e-39  ])
99457   , -79089.4    , array([ 21.4766    ,  6.41884    ,  1          ,  1.64707e-24,  5.994e-39  ])
