97180   , -79089.4    , array([ 4.93872    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97181   , -79089.4    , array([ 4.93872    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97182   , -79089.4    , array([ 5.93872    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97183   , -79089.4    , array([ 7.55675    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97184   , -79089.4    , array([ 5.93872    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97185   , -79089.4    , array([ 6.55675    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97186   , -79089.4    , array([ 6.93872    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97187   , -79089.4    , array([ 7.17479    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97188   , -79089.4    , array([ 7.32068    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97189   , -79089.4    , array([ 7.41085    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97190   , -79089.4    , array([ 7.46658    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97191   , -79089.4    , array([ 7.50102    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97192   , -79089.4    , array([ 7.52665    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97193   , -79089.4    , array([ 7.52665    ,  0.203502   ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97194   , -79089.4    , array([ 7.52665    ,  1.2035     ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97195   , -79089.4    , array([ 7.52665    ,  2.82154    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97196   , -79089.4    , array([ 7.52665    ,  1.2035     ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97197   , -79089.4    , array([ 7.52665    ,  1.82154    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97198   , -79089.4    , array([ 7.52665    ,  2.2035     ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97199   , -79089.4    , array([ 7.52665    ,  2.43957    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97200   , -79089.4    , array([ 7.52665    ,  2.58547    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97201   , -79089.4    , array([ 7.52665    ,  2.67564    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97202   , -79089.4    , array([ 7.52665    ,  2.73137    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97203   , -79089.4    , array([ 7.52665    ,  2.76581    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97204   , -79089.4    , array([ 7.52665    ,  2.79143    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97205   , -79089.4    , array([ 7.52665    ,  2.79143    ,  1.40562e-18,  2.5971e-35 ,  2.44091e-42])
97206   , -79089.4    , array([ 7.52665    ,  2.79143    ,  1          ,  2.5971e-35 ,  2.44091e-42])
97207   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.61803    ,  2.5971e-35 ,  2.44091e-42])
97208   , -79089.4    , array([ 7.52665    ,  2.79143    ,  1          ,  2.5971e-35 ,  2.44091e-42])
97209   , -79089.4    , array([ 7.52665    ,  2.79143    ,  1.61803    ,  2.5971e-35 ,  2.44091e-42])
97210   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2          ,  2.5971e-35 ,  2.44091e-42])
97211   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.23607    ,  2.5971e-35 ,  2.44091e-42])
97212   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.38197    ,  2.5971e-35 ,  2.44091e-42])
97213   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.47214    ,  2.5971e-35 ,  2.44091e-42])
97214   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.52786    ,  2.5971e-35 ,  2.44091e-42])
97215   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.56231    ,  2.5971e-35 ,  2.44091e-42])
97216   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.5971e-35 ,  2.44091e-42])
97217   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.5971e-35 ,  2.44091e-42])
97218   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  1          ,  2.44091e-42])
97219   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.61803    ,  2.44091e-42])
97220   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  1          ,  2.44091e-42])
97221   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  1.61803    ,  2.44091e-42])
97222   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2          ,  2.44091e-42])
97223   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.23607    ,  2.44091e-42])
97224   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.38197    ,  2.44091e-42])
97225   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.47214    ,  2.44091e-42])
97226   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.52786    ,  2.44091e-42])
97227   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.56231    ,  2.44091e-42])
97228   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  2.44091e-42])
97229   , -79089.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  2.44091e-42])
97230   , -65737.5    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  1          ])
97231   , -62429.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  2.61803    ])
97232   , -64204.1    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  2.0457     ])
97234   , -62429.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  2.61803    ])
97235   , -59197.8    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  3.61803    ])
97236   , -57287.4    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.23607    ])
97237   , -56164.5    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.61803    ])
97238   , -55496.2    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.8541     ])
97240   , -55749      , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.76393    ])
97241   , -55341.5    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97243   , -55341.5    , array([ 7.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97244   , -56529      , array([ 8.52665    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97245   , -52973.5    , array([ 5.90861    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97246   , -47392.2    , array([ 3.29058    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97248   , -47392.2    , array([ 3.29058    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97249   , -43119.4    , array([ 1.67254    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97250   , -46360.9    , array([ 0.672544   ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97251   , -43593.6    , array([ 1.89389    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97252   , -42904.6    , array([ 1.54023    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97253   , -42790      , array([ 1.2088     ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97254   , -42737.5    , array([ 1.31177    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97255   , -42749.9    , array([ 1.37391    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97256   , -42737.5    , array([ 1.31177    ,  2.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
97257   , -48612.9    , array([ 1.31177    ,  3.79143    ,  2.58793    ,  2.58793    ,  4.90983    ])
