82988   , -79089.4    , array([ 0.873417   ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82989   , -79089.4    , array([ 0.873417   ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82990   , -79089.4    , array([ 1.87342    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82991   , -79089.4    , array([ 3.49145    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82992   , -79089.4    , array([ 1.87342    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82993   , -79089.4    , array([ 2.49145    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82994   , -79089.4    , array([ 2.87342    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82995   , -79089.4    , array([ 3.10948    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82996   , -79089.4    , array([ 3.25538    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82997   , -79089.4    , array([ 3.34555    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82998   , -79089.4    , array([ 3.40128    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
82999   , -79089.4    , array([ 3.43572    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83000   , -79089.4    , array([ 3.46135    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83001   , -79089.4    , array([ 3.46135    ,  1.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83002   , -79089.4    , array([ 3.46135    ,  2.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83003   , -79089.4    , array([ 3.46135    ,  4.34605    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83004   , -79089.4    , array([ 3.46135    ,  2.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83005   , -79089.4    , array([ 3.46135    ,  3.34605    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83006   , -79089.4    , array([ 3.46135    ,  3.72801    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83007   , -79089.4    , array([ 3.46135    ,  3.96408    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83008   , -79089.4    , array([ 3.46135    ,  4.10998    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83009   , -79089.4    , array([ 3.46135    ,  4.20015    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83010   , -79089.4    , array([ 3.46135    ,  4.25588    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83011   , -79089.4    , array([ 3.46135    ,  4.29032    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83012   , -79089.4    , array([ 3.46135    ,  4.31594    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83013   , -79089.4    , array([ 3.46135    ,  4.31594    ,  3.70104e-29,  0.0305407  ,  3.36084e-27])
83014   , -79089.4    , array([ 3.46135    ,  4.31594    ,  1          ,  0.0305407  ,  3.36084e-27])
83015   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.61803    ,  0.0305407  ,  3.36084e-27])
83016   , -79089.4    , array([ 3.46135    ,  4.31594    ,  1          ,  0.0305407  ,  3.36084e-27])
83017   , -79089.4    , array([ 3.46135    ,  4.31594    ,  1.61803    ,  0.0305407  ,  3.36084e-27])
83018   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2          ,  0.0305407  ,  3.36084e-27])
83019   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.23607    ,  0.0305407  ,  3.36084e-27])
83020   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.38197    ,  0.0305407  ,  3.36084e-27])
83021   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.47214    ,  0.0305407  ,  3.36084e-27])
83022   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.52786    ,  0.0305407  ,  3.36084e-27])
83023   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.56231    ,  0.0305407  ,  3.36084e-27])
83024   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  0.0305407  ,  3.36084e-27])
83025   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  0.0305407  ,  3.36084e-27])
83026   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  1.03054    ,  3.36084e-27])
83027   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.64857    ,  3.36084e-27])
83028   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  1.03054    ,  3.36084e-27])
83029   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  1.64857    ,  3.36084e-27])
83030   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.03054    ,  3.36084e-27])
83031   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.26661    ,  3.36084e-27])
83032   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.41251    ,  3.36084e-27])
83033   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.50268    ,  3.36084e-27])
83034   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.5584     ,  3.36084e-27])
83035   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.59285    ,  3.36084e-27])
83036   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  3.36084e-27])
83037   , -79089.4    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  3.36084e-27])
83038   , -66540.2    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  1          ])
83039   , -65199.9    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  2.61803    ])
83040   , -66622.1    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  1.90153    ])
83041   , -66540.2    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  1          ])
83042   , -64415.9    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.618034   ])
83043   , -61488.6    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.381966   ])
83044   , -59158.6    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.236068   ])
83045   , -58685.5    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.145898   ])
83046   , -58847.7    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.133231   ])
83047   , -58604.5    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.176041   ])
83048   , -58737.7    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.198969   ])
83049   , -58592.8    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.169358   ])
83050   , -58592.2    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83051   , -58592.5    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.165988   ])
83052   , -83799.7    , array([ 6.04927    ,  6.90387    ,  5.17586    ,  5.2064     ,  0.335329   ])
83053   , -58592.2    , array([ 3.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83054   , -61137.2    , array([ 4.46135    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83055   , -51821.2    , array([ 1.84331    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83057   , -51821.2    , array([ 1.84331    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83058   , -46190.9    , array([ 0.843312   ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83059   , -63684.6    , array([ 0.225278   ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83060   , -47979.2    , array([ 1.20909    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83061   , -46516.4    , array([ 0.607244   ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83062   , -46087.8    , array([ 0.79148    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83063   , -46062.1    , array([ 0.762994   ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83064   , -46062.2    , array([ 0.73601    ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83065   , -46062.1    , array([ 0.762994   ,  4.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83066   , -47799.8    , array([ 0.762994   ,  5.31594    ,  2.58793    ,  2.61847    ,  0.167664   ])
83067   , -41049.2    , array([ 0.762994   ,  2.69791    ,  2.58793    ,  2.61847    ,  0.167664   ])
83068   , -13054.9    , array([ 0.762994   ,  0.079872   ,  2.58793    ,  2.61847    ,  0.167664   ])
83070   , -13054.9    , array([ 0.762994   ,  0.079872   ,  2.58793    ,  2.61847    ,  0.167664   ])
83072   , -26679.7    , array([ 0.762994   ,  1.07987    ,  2.58793    ,  2.61847    ,  0.167664   ])
83073   , -15087.6    , array([ 0.762994   ,  0.579583   ,  2.58793    ,  2.61847    ,  0.167664   ])
83074   , -3558.72    , array([ 0.762994   ,  0.223258   ,  2.58793    ,  2.61847    ,  0.167664   ])
83075   , -6202.27    , array([ 0.762994   ,  0.319418   ,  2.58793    ,  2.61847    ,  0.167664   ])
83076   , -4477.61    , array([ 0.762994   ,  0.264185   ,  2.58793    ,  2.61847    ,  0.167664   ])
83077   , -3477.74    , array([ 0.762994   ,  0.16849    ,  2.58793    ,  2.61847    ,  0.167664   ])
83078   , -5400.75    , array([ 0.762994   ,  0.127015   ,  2.58793    ,  2.61847    ,  0.167664   ])
83079   , -3477.74    , array([ 0.762994   ,  0.16849    ,  2.58793    ,  2.61847    ,  0.167664   ])
83080   , -2611.66    , array([ 0.762994   ,  0.16849    ,  3.58793    ,  2.61847    ,  0.167664   ])
83081   , -2075.85    , array([ 0.762994   ,  0.16849    ,  5.20596    ,  2.61847    ,  0.167664   ])
83082   , -2075.73    , array([ 0.762994   ,  0.16849    ,  5.20732    ,  2.61847    ,  0.167664   ])
83083   , -2075.54    , array([ 0.762994   ,  0.16849    ,  5.2095     ,  2.61847    ,  0.167664   ])
83084   , -2061.96    , array([ 0.762994   ,  0.16849    ,  5.44798    ,  2.61847    ,  0.167664   ])
83085   , -2060.24    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.61847    ,  0.167664   ])
83086   , -2063.46    , array([ 0.762994   ,  0.16849    ,  5.7419     ,  2.61847    ,  0.167664   ])
83087   , -2060.24    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.61847    ,  0.167664   ])
83088   , -2060.61    , array([ 0.762994   ,  0.16849    ,  5.62963    ,  2.61847    ,  0.167664   ])
83089   , -2060.56    , array([ 0.762994   ,  0.16849    ,  5.51736    ,  2.61847    ,  0.167664   ])
83090   , -2060.27    , array([ 0.762994   ,  0.16849    ,  5.58997    ,  2.61847    ,  0.167664   ])
83091   , -2060.24    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.61847    ,  0.167664   ])
83092   , -2179.55    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  3.61847    ,  0.167664   ])
83093   , -3531.4     , array([ 0.762994   ,  0.16849    ,  5.56025    ,  1.00044    ,  0.167664   ])
83094   , -2060.24    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.61847    ,  0.167664   ])
83095   , -2298.77    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.00044    ,  0.167664   ])
83096   , -2044.65    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  3.00044    ,  0.167664   ])
83097   , -2040.36    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.8686     ,  0.167664   ])
83098   , -2040.34    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87907    ,  0.167664   ])
83099   , -2040.34    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.167664   ])
83100   , -2040.34    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87386    ,  0.167664   ])
83101   , -2040.34    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.167664   ])
83102   , -4615.58    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  1.16766    ])
83104   , -2040.34    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.167664   ])
83106   , -3679.74    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.54963    ])
83107   , -3093.97    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.358634   ])
83109   , -2671.93    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.0774945  ])
83110   , -2243.96    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.201212   ])
83111   , -1978.84    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.155721   ])
83112   , -1903.11    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.125841   ])
83113   , -1911.09    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.120506   ])
83114   , -1902.8     , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.129711   ])
83115   , -1902.42    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83116   , -1902.44    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128433   ])
83117   , -1902.44    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.12764    ])
83119   , -1902.42    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83120   , -2802.79    , array([ 1.76299    ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83122   , -1902.42    , array([ 0.762994   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83123   , -22251.1    , array([ 0.14496    ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83124   , -2011.36    , array([ 1.14496    ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83125   , -1852.47    , array([ 0.949683   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83126   , -1838.56    , array([ 0.903599   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83127   , -1837       , array([ 0.88937    ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83128   , -1836.78    , array([ 0.879331   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83129   , -1836.76    , array([ 0.881259   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83130   , -1836.77    , array([ 0.882442   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83131   , -1836.76    , array([ 0.881259   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83132   , -32636.9    , array([ 0.881259   ,  1.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83134   , -1836.76    , array([ 0.881259   ,  0.16849    ,  5.56025    ,  2.87644    ,  0.128036   ])
83136   , -17758.1    , array([ 0.881259   ,  0.550456   ,  5.56025    ,  2.87644    ,  0.128036   ])
83137   , -9718.39    , array([ 0.881259   ,  0.359344   ,  5.56025    ,  2.87644    ,  0.128036   ])
83139   , -8289.09    , array([ 0.881259   ,  0.0783196  ,  5.56025    ,  2.87644    ,  0.128036   ])
83140   , -3002.03    , array([ 0.881259   ,  0.212499   ,  5.56025    ,  2.87644    ,  0.128036   ])
83141   , -1892.84    , array([ 0.881259   ,  0.172374   ,  5.56025    ,  2.87644    ,  0.128036   ])
83142   , -2031.12    , array([ 0.881259   ,  0.134048   ,  5.56025    ,  2.87644    ,  0.128036   ])
83143   , -1747.36    , array([ 0.881259   ,  0.156655   ,  5.56025    ,  2.87644    ,  0.128036   ])
83144   , -1746.58    , array([ 0.881259   ,  0.153942   ,  5.56025    ,  2.87644    ,  0.128036   ])
83145   , -1745.92    , array([ 0.881259   ,  0.15501    ,  5.56025    ,  2.87644    ,  0.128036   ])
83146   , -1745.93    , array([ 0.881259   ,  0.155145   ,  5.56025    ,  2.87644    ,  0.128036   ])
83147   , -1745.93    , array([ 0.881259   ,  0.154875   ,  5.56025    ,  2.87644    ,  0.128036   ])
