129245  , -79089.4    , array([ 3.655      ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129246  , -79089.4    , array([ 3.655      ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129247  , -79089.4    , array([ 4.655      ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129248  , -79089.4    , array([ 2.03697    ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129250  , -79089.4    , array([ 2.03697    ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129251  , -79089.4    , array([ 1.03697    ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129252  , -79089.4    , array([ 0.418936   ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129253  , -79089.1    , array([ 0.0369699  ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129255  , -79089.3    , array([ 0.182868   ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129257  , -79089.3    , array([ 0.092698   ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129259  , -79089.1    , array([ 0.0369699  ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129260  , -79089.1    , array([ 0.0369699  ,  1.44797    ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129262  , -79089.1    , array([ 0.0369699  ,  0.447973   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129264  , -79089.1    , array([ 0.0369699  ,  0.829939   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129265  , -79089.1    , array([ 0.0369699  ,  0.638956   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129266  , -79089.1    , array([ 0.0369699  ,  0.211905   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129267  , -79088.9    , array([ 0.0369699  ,  0.0660075  ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129269  , -79089      , array([ 0.0369699  ,  0.121736   ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129270  , -79088.6    , array([ 0.0369699  ,  0.0315656  ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129271  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129273  , -79088.2    , array([ 0.0369699  ,  0.01841    ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129275  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  3.54051e-08,  3.17661e-32,  1.40461e-08])
129276  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  1          ,  3.17661e-32,  1.40461e-08])
129277  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  2.61803    ,  3.17661e-32,  1.40461e-08])
129279  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  2.61803    ,  3.17661e-32,  1.40461e-08])
129283  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  6.3722     ,  3.17661e-32,  1.40461e-08])
129284  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  4.49511    ,  3.17661e-32,  1.40461e-08])
129285  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  8.6924     ,  3.17661e-32,  1.40461e-08])
129287  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  7.80616    ,  3.17661e-32,  1.40461e-08])
129288  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.24012    ,  3.17661e-32,  1.40461e-08])
129289  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.57863    ,  3.17661e-32,  1.40461e-08])
129290  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.78784    ,  3.17661e-32,  1.40461e-08])
129291  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  3.17661e-32,  1.40461e-08])
129293  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  3.17661e-32,  1.40461e-08])
129294  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  1          ,  1.40461e-08])
129296  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  3.17661e-32,  1.40461e-08])
129298  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.381966   ,  1.40461e-08])
129299  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.190983   ,  1.40461e-08])
129302  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.072949   ,  1.40461e-08])
129304  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.027864   ,  1.40461e-08])
129306  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.0106431  ,  1.40461e-08])
129308  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.00406531 ,  1.40461e-08])
129310  , -79087.5    , array([ 0.0369699  ,  0.0102794  ,  9.91715    ,  0.00155281 ,  1.40461e-08])
