92713   , -79089.4    , array([ 2.13346    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92714   , -79089.4    , array([ 2.13346    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92715   , -79089.4    , array([ 3.13346    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92716   , -79089.4    , array([ 4.75149    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92717   , -79089.4    , array([ 3.13346    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92718   , -79089.4    , array([ 3.75149    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92719   , -79089.4    , array([ 4.13346    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92720   , -79089.4    , array([ 4.36953    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92721   , -79089.4    , array([ 4.51543    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92722   , -79089.4    , array([ 4.6056     ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92723   , -79089.4    , array([ 4.66132    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92724   , -79089.4    , array([ 4.69577    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92725   , -79089.4    , array([ 4.72139    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92726   , -79089.4    , array([ 4.72139    ,  10.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92727   , -79089.4    , array([ 4.72139    ,  11.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92728   , -79089.4    , array([ 4.72139    ,  12.7296    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92729   , -79089.4    , array([ 4.72139    ,  11.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92730   , -79089.4    , array([ 4.72139    ,  11.7296    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
92731   , -79089.4    , array([ 4.72139    ,  12.1115    ,  2.45134e-95,  4.72157e-86,  1.0436e-54 ])
