7925    , -78099.1    , array([ 17.1348    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7926    , -78099.1    , array([ 17.1348    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7927    , -78101.1    , array([ 18.1348    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7928    , -78095.5    , array([ 15.5167    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7929    , -78087.5    , array([ 12.8987    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7930    , -78064.6    , array([ 8.66262    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7931    , -77801.1    , array([ 1.80851    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7933    , -77801.1    , array([ 1.80851    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7935    , -77997.8    , array([ 4.42655    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7936    , -77940.6    , array([ 3.11752    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7937    , -75134.1    , array([ 0.19048    ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7939    , -77394.7    , array([ 0.808514   ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7941    , -76749.8    , array([ 0.426548   ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7942    , -60452.4    , array([ 0.0210377  ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7943    , -60452.4    , array([ 0.0210377  ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7944    , -60774      , array([ 0.0210377  ,  1.95068    ,  4.01545e-05,  3.20705e-60,  0.000770179])
7946    , -60452.4    , array([ 0.0210377  ,  0.950683   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7947    , -59304.8    , array([ 0.0210377  ,  0.332649   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7949    , -60152.2    , array([ 0.0210377  ,  0.641662   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7950    , -57961.9    , array([ 0.0210377  ,  0.186751   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7951    , -55228.1    , array([ 0.0210377  ,  0.096581   ,  4.01545e-05,  3.20705e-60,  0.000770179])
7952    , -48321.6    , array([ 0.0210377  ,  0.0408529  ,  4.01545e-05,  3.20705e-60,  0.000770179])
7954    , -52284.6    , array([ 0.0210377  ,  0.0621391  ,  4.01545e-05,  3.20705e-60,  0.000770179])
