125458  , -79089.4    , array([ 2.00374    ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125459  , -79089.4    , array([ 2.00374    ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125460  , -79089.4    , array([ 3.00374    ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125461  , -79089.4    , array([ 0.385708   ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125463  , -79089.4    , array([ 0.385708   ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125465  , -79089.4    , array([ 1.00374    ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125466  , -79089.4    , array([ 0.694725   ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125468  , -79089.4    , array([ 0.23981    ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125469  , -79089.4    , array([ 0.14964    ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125470  , -79089.4    , array([ 0.0939118  ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125471  , -79089.4    , array([ 0.0594699  ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125472  , -79089.4    , array([ 0.0381837  ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125473  , -79089.4    , array([ 0.0381837  ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125474  , -79089.4    , array([ 0.0381837  ,  1.45696    ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125476  , -79089.4    , array([ 0.0381837  ,  0.456959   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125478  , -79089.4    , array([ 0.0381837  ,  0.838925   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125479  , -79089.4    , array([ 0.0381837  ,  0.647942   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125480  , -79089.4    , array([ 0.0381837  ,  0.220891   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125481  , -79089.4    , array([ 0.0381837  ,  0.0749926  ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125483  , -79089.4    , array([ 0.0381837  ,  0.130721   ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125484  , -79089.4    , array([ 0.0381837  ,  0.0405507  ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125485  , -79089.4    , array([ 0.0381837  ,  0.0192645  ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125487  , -79089.4    , array([ 0.0381837  ,  0.0273951  ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125488  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125489  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  8.3393e-79 ,  9.68592e-66,  1.96998e-11])
125490  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  1          ,  9.68592e-66,  1.96998e-11])
125491  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  2.61803    ,  9.68592e-66,  1.96998e-11])
125492  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  5.23607    ,  9.68592e-66,  1.96998e-11])
125493  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.47214    ,  9.68592e-66,  1.96998e-11])
125495  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.47214    ,  9.68592e-66,  1.96998e-11])
125501  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  7.8541     ,  9.68592e-66,  1.96998e-11])
125502  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  8.66312    ,  9.68592e-66,  1.96998e-11])
125505  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.16312    ,  9.68592e-66,  1.96998e-11])
125506  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.68135    ,  9.68592e-66,  1.96998e-11])
125507  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.81065    ,  9.68592e-66,  1.96998e-11])
125508  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  9.68592e-66,  1.96998e-11])
125509  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  9.68592e-66,  1.96998e-11])
125510  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  1          ,  1.96998e-11])
125512  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  9.68592e-66,  1.96998e-11])
125514  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.381966   ,  1.96998e-11])
125515  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.190983   ,  1.96998e-11])
125518  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.072949   ,  1.96998e-11])
125520  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.027864   ,  1.96998e-11])
125522  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.0106431  ,  1.96998e-11])
125524  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00406531 ,  1.96998e-11])
125525  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00380143 ,  1.96998e-11])
125526  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00657781 ,  1.96998e-11])
125527  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.005025   ,  1.96998e-11])
125528  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00443188 ,  1.96998e-11])
125529  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00420533 ,  1.96998e-11])
125530  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00396452 ,  1.96998e-11])
125531  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  1.96998e-11])
125532  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  1.96998e-11])
125533  , -109864     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  1          ])
125535  , -79089.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  1.96998e-11])
125537  , -117281     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.381966   ])
125538  , -147545     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.190674   ])
125541  , -149185     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.072831   ])
125543  , -68327.2    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.027819   ])
125544  , -105618     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.045012   ])
125545  , -42346.8    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.0173161  ])
125546  , -36356.1    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.0150804  ])
125547  , -20086.7    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00932022 ])
125548  , -10631.4    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00576021 ])
125549  , -8016.58    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00356001 ])
125550  , -11045.2    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00232775 ])
125551  , -8085.6     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00410072 ])
125552  , -7976.6     , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00373053 ])
125553  , -7976.05    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00376784 ])
125554  , -7978.31    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00380551 ])
125556  , -7976.05    , array([ 0.0381837  ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00376784 ])
125557  , -3747.22    , array([ 1.03818    ,  0.0142395  ,  9.90876    ,  0.00400416 ,  0.00376784 ])
