124460  , -70903.6    , array([ 2.25409    ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124461  , -70903.6    , array([ 2.25409    ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124462  , -71290.4    , array([ 3.25409    ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124463  , -67936.2    , array([ 0.636051   ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124465  , -67936.2    , array([ 0.636051   ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124467  , -69929.6    , array([ 1.25409    ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124468  , -69237.9    , array([ 0.945042   ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124469  , -62878.4    , array([ 0.254085   ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124470  , -61742.9    , array([ 0.0180175  ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124472  , -55607.8    , array([ 0.108187   ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124473  , -57353.7    , array([ 0.131235   ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124474  , -53699.2    , array([ 0.0867284  ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124475  , -51238.9    , array([ 0.0604832  ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124476  , -51238.9    , array([ 0.0604832  ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124477  , -53459.2    , array([ 0.0604832  ,  1.66601    ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124479  , -51238.9    , array([ 0.0604832  ,  0.666005   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124480  , -22421      , array([ 0.0604832  ,  0.0479714  ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124482  , -48237.3    , array([ 0.0604832  ,  0.356899   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124484  , -41691.7    , array([ 0.0604832  ,  0.165971   ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124486  , -33946      , array([ 0.0604832  ,  0.0930434  ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124487  , -12033.5    , array([ 0.0604832  ,  0.0266852  ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124488  , -4996.33    , array([ 0.0604832  ,  0.0135296  ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124490  , -8062.43    , array([ 0.0604832  ,  0.0200543  ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124491  , -4996.33    , array([ 0.0604832  ,  0.0135296  ,  4.03175e-40,  6.9996e-38 ,  0.00415216 ])
124492  , -4967.27    , array([ 0.0604832  ,  0.0135296  ,  1          ,  6.9996e-38 ,  0.00415216 ])
124493  , -4922.78    , array([ 0.0604832  ,  0.0135296  ,  2.61803    ,  6.9996e-38 ,  0.00415216 ])
124495  , -4922.78    , array([ 0.0604832  ,  0.0135296  ,  2.61803    ,  6.9996e-38 ,  0.00415216 ])
124497  , -4842.78    , array([ 0.0604832  ,  0.0135296  ,  5.85217    ,  6.9996e-38 ,  0.00415216 ])
124498  , -4881.34    , array([ 0.0604832  ,  0.0135296  ,  4.23511    ,  6.9996e-38 ,  0.00415216 ])
124499  , -4798.96    , array([ 0.0604832  ,  0.0135296  ,  7.85097    ,  6.9996e-38 ,  0.00415216 ])
124500  , -4773.92    , array([ 0.0604832  ,  0.0135296  ,  9.0863     ,  6.9996e-38 ,  0.00415216 ])
124501  , -4759.19    , array([ 0.0604832  ,  0.0135296  ,  9.84978    ,  6.9996e-38 ,  0.00415216 ])
124503  , -4764.75    , array([ 0.0604832  ,  0.0135296  ,  9.55815    ,  6.9996e-38 ,  0.00415216 ])
124505  , -4761.31    , array([ 0.0604832  ,  0.0135296  ,  9.73839    ,  6.9996e-38 ,  0.00415216 ])
